ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,note,number,pages,publisher,series,title,url,volume,year
article,SIGAYRET2022104505,"In recent years, computer programming has reappeared in school curricula with the aim of transmitting knowledge and skills beyond the simple ability to code. However, there are different ways of teaching this subject and very few experimental studies compare plugged-in and unplugged programming learning. The purpose of this study is to highlight the impact of plugged-in or unplugged learning on students' performance and subjective experience. To this end, we designed an experimental study with 217 primary school students divided into two groups and we measured their knowledge of computational concepts, ability to solve algorithmic problem, motivation toward the instruction, self-belief and attitude toward science. The programming sessions were designed to be similar between the two conditions, only the tools were different. Computers and Scratch software were used in the plugged-in group while the unplugged group used paper instructions, pictures, figurines and body movements instead. The results show better learning performance in the plugged-in group. Furthermore, although motivation dropped slightly in both groups, this drop was only significant in the unplugged condition. Gender also seems to be an important factor, as girls exhibit a lower post-test motivation and a lower willingness to pursue their practice in programming outside the school context. However, this effect on motivation was only observable in the plugged-in group which suggests that educational programming software may have a positive but gendered motivational impact.",,Kevin Sigayret and André Tricot and Nathalie Blanc,,https://doi.org/10.1016/j.compedu.2022.104505,,,,0360-1315,Computers & Education,"Elementary education, Improving classroom teaching, Programming and programming languages, Teaching/learning strategies",,,104505,,,Unplugged or plugged-in programming learning: A comparative experimental study,https://www.sciencedirect.com/science/article/pii/S0360131522000768,184,2022
article,GOBL2023100604,"Digital literacy and respective education are of growing interest in our increasingly digitalized world. Recent works stress the importance of aiming beyond the acquisition of corresponding technical competences and call for fostering children’s empowerment and participation in digitalization. Computational Empowerment (CE) pursues that goal through a creative and reflexive participatory design approach. However, remaining conceptual vagueness with regard to what CE entails may hinder its implementation in formal education. This paper addresses this gap, with the aim to demonstrate what is needed to advance CE’s position in this context. To this end, we elaborate on our understanding of CE’s vision, approach and impact. We then examine CE in the context of formal education, and contrast it with selected contemporary educational theory and practice. Specifically, we position CE in relation to an established learning framework (Bloom’s revised taxonomy), educational policy (DigComp) and practices in the classroom. This is complemented by an analysis of four different projects: we present lessons learned in the context of pedagogical interventions and take a closer look at the accompanying empowerment processes. As a result, this paper provides a foundation to make CE’s ideas more tangible and, thus, actionable, for researchers, policy makers and educators.",,Barbara Göbl and Elisabeth Anna Guenther and Fares Kayali and Christopher Frauenberger,,https://doi.org/10.1016/j.ijcci.2023.100604,,,,2212-8689,International Journal of Child-Computer Interaction,"Computational empowerment, Digital competences, Digital literacy, Empowerment, Participatory design",,,100604,,,Situating computational empowerment in formal education: A multi-perspective view,https://www.sciencedirect.com/science/article/pii/S2212868923000417,38,2023
article,DITTRICH2020100948,,,Yvonne Dittrich and Antonio Piccinno,,https://doi.org/10.1016/j.cola.2020.100948,,,,2590-1184,Journal of Computer Languages,,,,100948,,,"Special issue on semiotics, human–computer interaction and end-user development",https://www.sciencedirect.com/science/article/pii/S2590118420300083,56,2020
article,KONG2022104598,"To improve programming performance for a larger student population, this study shed light on the commonalities of high achievers in programming classes. To the best of our knowledge, few studies have investigated high achievers in primary school programming classes. This study adapted the hedonic-motivation system adoption model to identify high achievers' perceived attitudes, flow experience, programming intentions and perceived teacher support. With a response rate of 72%, 54 primary schools participated in the study. A survey was conducted and four hundred and thirty-two students were included in the moderated mediation analysis. The results showed that high achievers' attitudes towards programming positively related to their flow experience, which further positively associated with their programming intentions. In addition, teacher support moderated the relationship between high achievers’ attitudes and their flow experience; such that when teacher support increased, the flow experience was weaker for those with comparatively higher positive attitudes. The practical implications of the findings and future research directions are discussed.",,Siu-Cheung Kong and Tingjun Lin,,https://doi.org/10.1016/j.compedu.2022.104598,,,,0360-1315,Computers & Education,"Hedonic-motivation system adoption model, Moderated mediation analysis, Perceived teacher support, Primary school, Programming education",,,104598,,,"High achievers’ attitudes, flow experience, programming intentions and perceived teacher support in primary school: A moderated mediation analysis",https://www.sciencedirect.com/science/article/pii/S0360131522001695,190,2022
incollection,HWU20231,"This chapter introduces the book by first giving an account of the historic events that pushed heterogeneous parallel computing into the mainstream. It distinguishes between latency-oriented multicore CPUs and throughput oriented many-thread GPUs, the two main styles of computing devices in modern heterogeneous computing systems. The chapter then goes into the main reasons for applications to demand more speed and the Amdahl’s law, an important observation about the parallelization of real application. It then explains how the book addresses the main challenges in parallel algorithms and parallel programming and how the skills that have been learned from the book based on CUDA, the language of choice for programming examples, and exercises in this book can be generalized into other parallel programming interfaces. Finally, the chapter highlights the overarching goals for the book and the contents and rationales of the rest of the chapters.",,Wen-mei W. Hwu and David B. Kirk and Izzat {El Hajj},Programming Massively Parallel Processors (Fourth Edition),https://doi.org/10.1016/B978-0-323-91231-0.00006-9,Fourth Edition,Wen-mei W. Hwu and David B. Kirk and Izzat {El Hajj},978-0-323-91231-0,,,"Parallel computing, heterogeneous computing, GPU computing, high-performance computing, parallel programming, parallel algorithms, parallel patterns, throughput-oriented design, latency-oriented design, Amdahl’s law, scalability, data parallelism, memory bandwidth, performance optimization, work efficiency, data characteristics, work distribution, embarrassingly parallel applications, synchronization, computational thinking, parallel programming languages, parallel programming models, programmer productivity, supercomputing, MPI, OpenMP",,,1-20,Morgan Kaufmann,,Chapter 1 - Introduction,https://www.sciencedirect.com/science/article/pii/B9780323912310000069,,2023
article,BIRO2015876,"Students starting their tertiary studies in Informatics are found to have a low level of algorithmic skills and understanding of programming, which leads to the high number of drop out students and failed semesters during their studies. The students’ low level of programming skills contrasts with their excellent results in the school leaving exams. To find out the reasons for this we have launched the TAaAS project (Testing Algorithmic and Application Skills), which focuses on the students’ algorithmic skills and programming ability in traditional and non-traditional programming environments. Our analyses proved that school leaving exams are not able to measure these abilities of the students, and beyond that, are not able to distinguish between the different levels of the students. Students are accepted into the universities and start their studies based on the misleading results of the school leaving exams.",,Piroska Biró and Mária Csernoch and János Máth and Kálmán Abari,,https://doi.org/10.1016/j.sbspro.2015.01.553,,,,1877-0428,Procedia - Social and Behavioral Sciences,"level of digital thinking, algorithmic skills, school leaving exams in Informatics and Mathematics","International Educational Technology Conference, IETC 2014, 3-5 September 2014, Chicago, IL, USA",,876-883,,,Measuring the Level of Algorithmic Skills at the End of Secondary Education in Hungary,https://www.sciencedirect.com/science/article/pii/S187704281500590X,176,2015
incollection,LIU2023xix,,Oxford,Xiufeng Liu and Lei Wang,International Encyclopedia of Education (Fourth Edition),https://doi.org/10.1016/B978-0-12-818630-5.02011-X,Fourth Edition,Robert J Tierney and Fazal Rizvi and Kadriye Ercikan,978-0-12-818629-9,,,,,,xix-xxi,Elsevier,,Volume 11: The Rise of STEM Education,https://www.sciencedirect.com/science/article/pii/B978012818630502011X,,2023
article,WANG2024124167,"Artificial intelligence (AI) in education (AIED) has evolved into a substantial body of literature with diverse perspectives. In this review paper, we seek insights into three critical questions: (1) What are the primary categories of AI applications explored in the education field? (2) What are the predominant research topics and their key findings? (3) What is the status of major research design elements, including guiding theories, methodologies, and research contexts? A bibliometric analysis of 2,223 research articles followed by a content analysis of selected 125 papers reveals a comprehensive conceptual structure of the existing literature. The extant AIED research spans a wide spectrum of applications, encompassing those for adaptive learning and personalized tutoring, intelligent assessment and management, profiling and prediction, and emerging products. Research topics delve into both the technical design of education systems and the examination of the adoption, impacts, and challenges associated with AIED. Furthermore, this review highlights the diverse range of theories applied in the AIED literature, the multidisciplinary nature of publication venues, and underexplored research areas. In sum, this research offers valuable insights for interested scholars to comprehend the current state of AIED research and identify future research opportunities in this dynamic field.",,Shan Wang and Fang Wang and Zhen Zhu and Jingxuan Wang and Tam Tran and Zhao Du,,https://doi.org/10.1016/j.eswa.2024.124167,,,,0957-4174,Expert Systems with Applications,"Artificial intelligence, Education, Bibliometric analysis, Literature review, Content analysis",,,124167,,,Artificial intelligence in education: A systematic literature review,https://www.sciencedirect.com/science/article/pii/S0957417424010339,252,2024
article,WOLFENGAGEN2016359,"The individuals are modeled by the elements of variable domains. The primitive frame to detect the individual migration from domain to domain is proposed. The supporting computational model is based on a separation of individuals into actual, possible and virtual ones. As was shown, this leads to an adoption of the stage-by-stage cognition model with a pair of evolvents to capture dynamics of the domains – the 2-dimensions model. The first evolvent reflects the generation of the individuals in a domain, the beginning of and canceling out their existence in a domain. The second evolvent reflects the shifts in properties of the individuals. As awaited this unified data model will have the applications to a wide range of models in computer science and Information Technologies.",,Viacheslav E. Wolfengagen and Larisa Yu. Ismailova and Sergey V. Kosikov and Irina A. Parfenova and Mikhail Yu. Ermak and Vasiliy D. Petrov and Ilya A. Nikulin and Victor A. Kholodov,,https://doi.org/10.1016/j.procs.2016.07.449,,,,1877-0509,Procedia Computer Science,"data model, computational model, conceptual modeling, stage-by-stage cognition model, variable domains, Big Data, Thick Data","7th Annual International Conference on Biologically Inspired Cognitive Architectures, BICA 2016, held July 16 to July 19, 2016 in New York City, NY, USA",,359-364,,,Migration of the Individuals,https://www.sciencedirect.com/science/article/pii/S1877050916317057,88,2016
article,BERS201710,,,Marina Umaschi Bers,,https://doi.org/10.1016/j.ijcci.2017.06.004,,,,2212-8689,International Journal of Child-Computer Interaction,,,,10-14,,,The Seymour test: Powerful ideas in early childhood education,https://www.sciencedirect.com/science/article/pii/S2212868917300089,14,2017
