ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,note,number,pages,publisher,series,title,url,volume,year
article,NAKANO2008280,"A scalable parallel algorithm has been designed to study long-time dynamics of many-atom systems based on the nudged elastic band method, which performs mutually constrained molecular dynamics simulations for a sequence of atomic configurations (or states) to obtain a minimum energy path between initial and final local minimum-energy states. A directionally heated nudged elastic band method is introduced to search for thermally activated events without the knowledge of final states, which is then applied to an ensemble of bands in a path ensemble method for long-time simulation in the framework of the transition state theory. The resulting molecular kinetics (MK) simulation method is parallelized with a space–time-ensemble parallel nudged elastic band (STEP-NEB) algorithm, which employs spatial decomposition within each state, while temporal parallelism across the states within each band and band-ensemble parallelism are implemented using a hierarchy of communicator constructs in the Message Passing Interface library. The STEP-NEB algorithm exhibits good scalability with respect to spatial, temporal and ensemble decompositions on massively parallel computers. The MK simulation method is used to study low strain-rate deformation of amorphous silica.",,Aiichiro Nakano,,https://doi.org/10.1016/j.cpc.2007.09.011,,,,0010-4655,Computer Physics Communications,"Nudged elastic band method, Transition state theory, Molecular kinetics simulation, Parallel computing",,4,280-289,,,A space–time-ensemble parallel nudged elastic band algorithm for molecular kinetics simulation,https://www.sciencedirect.com/science/article/pii/S0010465507004225,178,2008
article,HSIAO2021102312,"Since its launch in 2016, Pokémon Go has attracted huge numbers of players, causing a boom in this game market. Although it is not as popular as before, from time to time we still find crowds of players gathered in some spots where Pokémon appear. Numerous reports have explored this Pokémon phenomenon; however, the exact reasons for its popularity remain unknown. The purpose of this study is to explore the post-adoption behavior of Pokémon Go players and its influential factors in the gaming and tourism industries. The theoretical model of stimulus-organism-response was drawn on to examine the impact of the environmental stimuli (social influence and media influence) on players’ internal organisms, which in turn affect their post-experience responses. Moreover, gender differences were also examined in the hypothetical relationships. A total of 342 valid questionnaires from actual gamers were collected in this study, and data analysis was performed using a structural equation model. The results show that stimulus effects, such as social stimuli (critical mass and social interaction) and media stimuli (content timeliness and media richness), have significant impacts on the players’ internal gamified experience (attachment and conformity), which in turn affect their visit intention to catch creatures at certain attractions and to continue playing Pokémon Go. Further, we have also found that players’ intention to visit Pokémon spots is significantly correlated with their intention to continue playing the game. Findings provide links between gamification and tourism literature. Further theoretical and managerial implications are provided.",,Chun-Hua Hsiao and Kai-Yu Tang,,https://doi.org/10.1016/j.ijinfomgt.2021.102312,,,,0268-4012,International Journal of Information Management,"Stimulus-Organism-Response (S-O-R) model, Critical mass, Social interaction, Attachment, Conformity, Tourism, Continuance intention",,,102312,,,Who captures whom – Pokémon or tourists? A perspective of the Stimulus-Organism-Response model,https://www.sciencedirect.com/science/article/pii/S0268401221000050,61,2021
article,ABRAHAM2019101586,"The goal of this study is to examine the effects of learner control on information security (ISec) training effectiveness. While organizations recognize the importance of education and training in security and invest in such efforts, the design of these programs often lacks theoretical grounding and the outcomes are often not critically evaluated. This paper attempts to fill these gaps by (1) identifying desirable characteristics for the design of such training programs, (2) using these characteristics as guidelines to design a web-based information security training (3) experimentally evaluating the effectiveness of the training using critical outcomes such as training satisfaction, security training performance, self-efficacy, perceived threat severity and susceptibility. We find that web based ISec training that incorporates learner control positively affects training reactions and learning outcomes.",,Sherly Abraham and InduShobha Chengalur-Smith,,https://doi.org/10.1016/j.cose.2019.101586,,,,0167-4048,Computers & Security,"Information security training, Learner control, Self-efficacy, Security training performance, Threat severity, Threat susceptibility, Training satisfaction, Protection motivation theory",,,101586,,,Evaluating the effectiveness of learner controlled information security training,https://www.sciencedirect.com/science/article/pii/S0167404818308873,87,2019
article,MCCOY201995,"Machine learning and artificial intelligence techniques have an ever-increasing presence and impact on a wide-variety of research and commercial fields. Disappointed by previous hype cycles, researchers and industrial practitioners may be wary of overpromising and underdelivering techniques. This review aims at equipping researchers and industrial practitioners with structured knowledge on the state of machine learning applications in mineral processing: the supplementary material provides a searchable summary of all techniques reviewed, with fields including nature of case study data (synthetic/laboratory/industrial), level of success, area of application (e.g. milling, flotation, etc), and major problem category (data-based modelling, fault detection and diagnosis, and machine vision). Future directions are proposed, including suggestions on data collection, technique comparison, industrial participation, cost-benefit analyses and the future of mineral engineering training.",,J.T. McCoy and L. Auret,,https://doi.org/10.1016/j.mineng.2018.12.004,,,,0892-6875,Minerals Engineering,"Machine learning, Artificial intelligence, Machine vision, Fault detection and diagnosis, Data-based modelling",,,95-109,,,Machine learning applications in minerals processing: A review,https://www.sciencedirect.com/science/article/pii/S0892687518305430,132,2019
article,FINKEL2017303,"Résumé
L’analyse cognitive est le fruit d’une réflexion utilisant, entre autres, les principes de la pensée informatique (mathématique, logique et algorithmique) pour repenser des connaissances et des techniques de plusieurs domaines de la psychologie cognitive, de la psychologie sociale, de la psychologie des émotions et de la psychologie de la communication en vue de la formation pédagogique des enseignants d’université. Avant de présenter l’analyse cognitive, je vais rappeler comment l’histoire du calcul depuis 5000 ans peut être vue comme une tentative (réussie) de comprendre, formaliser et automatiser le traitement humain de l’information, thème sur lequel se retrouvent l’informatique et la psychologie. Puis, je montrerai qu’un nouveau comportementalisme, basé sur le comportement numérique mais aussi sur les comportements classiques et sur les zones du cerveau, est en train d’émerger et qu’il produit des modèles psychologiques qui sont utilisés pour connaître les pensées et les intentions des personnes observées, pour mieux leur vendre des objets et pour prédire leurs actions par exemple ; une psychologie numérique émerge. Bien que chacun d’entre nous utilise son ordinateur portable et internet comme une extension de son esprit (lire « Petite Poucette » de Michel Serres), nous n’avons pas encore intégré explicitement la pensée informatique. Nous expliciterons donc quelques éléments de la pensée informatique et nous présenterons enfin l’analyse cognitive en soulignant comment elle utilise à la fois la pensée informatique et des connaissances de psychologie.
Cognitive analysis is the result of an afterthought using, amongst other things, principles from computer science (maths, logic and algorithmic) to rethink techniques and knowledge of several areas of psychology: cognitive psychology, social psychology, psychology of emotions and communication. The aim is pedagogy training for university teachers. Before explaining what cognitive analysis is, I will tell you how the history of calculation since 5000 years may be seen as a (successful) stab at understanding, formalizing and automating human processing of data, which is where computer science and psychology meet. Then, I will demonstrate that a new behavioralism, based on digital and classical behavior and specific areas of the brain, is starting to emerge and produces psychological models that are used to know the thoughts and intents of the people observed, to better sell them stuff and predict their actions. A digital psychology emerges. Although all of us use a laptop and Internet as an extension of our minds (read “Petite Poucette” by Michel Serres), the digital thought remains implicit. We will explicit several components of digital thinking and will show how cognitive analysis uses digital thinking and knowledge from psychology.",,A. Finkel,,https://doi.org/10.1016/j.prps.2017.05.006,,,,1269-1763,Pratiques Psychologiques,"Pensée informatique, Psychologie numérique, Analyse cognitive, Enseignement, Université, Digital thinking, Computer science, Digital psychology, Cognitive analysis, Teaching, College, University","Préparer la nouvelle génération de psychologues : objectifs, méthodes et ressources dans l'enseignement de la psychologie",3,303-323,,,"L’analyse cognitive, la psychologie numérique et la formation des enseignants à l’université",https://www.sciencedirect.com/science/article/pii/S126917631730055X,23,2017
article,PROFETA2018111,"Explanation of how goal-directed movements are made manifest is the ultimate aim of the field classically referred to as “motor control”. Essential to the sought-after explanation is comprehension of the supporting functional architecture. Seven decades ago, the Russian physiologist and movement scientist Nikolai A. Bernstein proposed a hierarchical model to explain the construction of movements. In his model, the levels of the hierarchy share a common language (i.e., they are commensurate) and perform complementing functions to bring about dexterous movements. The science of the control and coordination of movement in the phylum Craniata has made considerable progress in the intervening seven decades. The contemporary body of knowledge about each of Bernstein’s hypothesized functional levels is both more detailed and more sophisticated. A natural consequence of this progress, however, is the relatively independent theoretical development of a given level from the other levels. In this essay, we revisit each level of Bernstein’s hierarchy from the joint perspectives of (a) the ecological approach to perception-action and (b) dynamical systems theory. We review a substantial and relevant body of literature produced in different areas of study that are accommodated by this ecological-dynamical version of Bernstein’s levels. Implications for the control and coordination of movement and the challenges to producing a unified theory are discussed.",,Vitor L.S. Profeta and Michael T. Turvey,,https://doi.org/10.1016/j.humov.2017.11.013,,,,0167-9457,Human Movement Science,"Bernstein, Control, Coordination, Synergy, Movement construction",,,111-133,,,Bernstein’s levels of movement construction: A contemporary perspective,https://www.sciencedirect.com/science/article/pii/S0167945717305717,57,2018
article,IIVARI2023100600,"Prioritizing children’s empowerment in and through design has been on the agenda of child–computer interaction (CCI) research for a long time. Recently, the notion of the computational empowerment of children has received attention. However, there are still open issues in our understanding and advocacy of it. A related development is the recent interest in the longer-term impacts of our work. Fast and furious participation of children in design sessions is considered inadequate. We should advocate for longer-term trajectories and possibilities for children to make changes that will influence our world. However, the literature is limited in addressing longer-term impacts. This study taps into these two research gaps and showcases how we have addressed the computational empowerment of children in a project tackling bullying at school through critical design and making. In this paper, we examine in detail the children’s designs and their trajectories from the viewpoint of empowerment and impact: whether and how these children’s designs show potential for the empowerment of those bullied and whether and how their designs have had an impact in the realm of digital technology development. Our study has interesting conceptual and methodological implications for CCI research and practice on the computational empowerment of children and on our design research practice.",,Netta Iivari and Leena Ventä-Olkkonen and Heidi Hartikainen and Sumita Sharma and Essi Lehto and Jenni Holappa and Tonja Molin-Juustila,,https://doi.org/10.1016/j.ijcci.2023.100600,,,,2212-8689,International Journal of Child-Computer Interaction,"Children, Empowerment, Impact, Critical design, Critical making, Bullying, Design research",,,100600,,,Computational empowerment of children: Design research on empowering and impactful designs by children,https://www.sciencedirect.com/science/article/pii/S2212868923000375,37,2023
article,ESTEFO2019226,"ROS, the Robot Operating System, offers a core set of software for operating robots that can be extended by creating or using existing packages, making it possible to write robotic software that can be reused on different hardware platforms. With thousands of packages available per stable distribution, encapsulating algorithms, sensor drivers, etc., it is the de facto middleware for robotics. Like any software ecosystem, ROS must evolve in order to keep meeting the requirements of its users. In practice, packages may end up being abandoned between releases: no one may be available to update a package, or newer packages offer similar functionality. As such, we wanted to identify and understand the evolution challenges faced by the ROS ecosystem. In this article, we report our findings after interviewing 19 ROS developers in depth, followed by a focus group (4 participants) and an online survey of 119 ROS community members. We specifically focused on the issues surrounding package reuse and how to contribute to existing packages. To conclude, we discuss the implications of our findings, and propose five recommendations for overcoming the identified issues, with the goal of improving the health of the ROS ecosystem.",,Pablo Estefo and Jocelyn Simmonds and Romain Robbes and Johan Fabry,,https://doi.org/10.1016/j.jss.2019.02.024,,,,0164-1212,Journal of Systems and Software,"Robot Operating System, Package management, Software ecosystems",,,226-242,,,The Robot Operating System: Package reuse and community dynamics,https://www.sciencedirect.com/science/article/pii/S0164121219300342,151,2019
article,DESPEAUX2007359,,,Sloan Evans Despeaux and Laura Martini and Kim Plofker,,https://doi.org/10.1016/j.hm.2007.06.001,,,,0315-0860,Historia Mathematica,,,3,359-374,,,Abstracts,https://www.sciencedirect.com/science/article/pii/S0315086007000353,34,2007
article,KOLODNY2015252,"The “problem of serial order in behavior,” as formulated and discussed by Lashley (1951), is arguably more pervasive and more profound both than originally stated and than currently appreciated. We spell out two complementary aspects of what we term the generalized problem of behavior: (i) multimodality, stemming from the disparate nature of the sensorimotor variables and processes that underlie behavior, and (ii) concurrency, which reflects the parallel unfolding in time of these processes and of their asynchronous interactions. We illustrate these on a number of examples, with a special focus on language, briefly survey the computational approaches to multimodal concurrency, offer some hypotheses regarding the manner in which brains address it, and discuss some of the broader implications of these as yet unresolved issues for cognitive science.",,Oren Kolodny and Shimon Edelman,,https://doi.org/10.1016/j.neubiorev.2015.07.009,,,,0149-7634,Neuroscience & Biobehavioral Reviews,"Embodied cognition, Stimulus-response, Multimodality, Concurrency, Hierarchy, Language, Sensorimotor integration, Multidimensionality, Events, parallel computation, sequential behavior, Lashley, Serial order, Superior colliculus, Hippocampus, Basal ganglia, Unity of consciousness",,,252-265,,,The problem of multimodal concurrent serial order in behavior,https://www.sciencedirect.com/science/article/pii/S0149763415001943,56,2015
