ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,note,number,pages,publisher,title,url,volume,year
article,LAI2021104287,"Currently, flipped learning requires a framework that will give novices and students the ability to face the complex problems encountered in programming courses. It is necessary to design a design thinking learning framework that addresses independent learning and specific processes that will improve students' 21st-century skills. The existing literature has not implemented flipped programming courses from a design thinking perspective (Cook & Bush, 2018), which would thus be an innovative approach to designing teaching methods and investigating the effects of this framework. The purpose of this study was to develop analyze, observe, reflect, conceive, design, implement, and operate (Crawley et al., 2007) a DT-CDIO model and to investigate the relationship of the flow experience to computational thinking and cognitive load in order to understand the impact of the flow experience on a flipped programming course. The participants in this study comprised 40 pre-service education students (Male = 17; Female = 23). The partial least squares (PLS) method was used for the data analysis to test the model. This study was intended to obtain and evaluate significant differences between the students' flow experience and their computational thinking ability and cognitive load. The results indicated that the DT-CDIO pedagogy filled a long-standing gap related to a lack of reflective pedagogy and design thinking problems. The flow experience negatively impacted creativity and problem solving ability. Meanwhile, intrinsic cognitive load negatively impacted the flow experience. Germane cognitive load positively impacted the flow experience. In particular, the flow experience is a crucial factor that can be used to predict various computational thinking skills in a programming curriculum. More importantly, this study provides important insights into the implications of the DT-CDIO approach and other related factors.",,Chin-Feng Lai and Hua-Xu Zhong and Po-Sheng Chiu,,https://doi.org/10.1016/j.compedu.2021.104287,,,,0360-1315,Computers & Education,"Flipped classroom, Design thinking, Teaching/learning strategies, 21st-century abilities, Computational thinking",,,104287,,Investigating the impact of a flipped programming course using the DT-CDIO approach,https://www.sciencedirect.com/science/article/pii/S0360131521001640,173,2021
article,PEREZMARIN2020105849,"Computational thinking (CT) is a key skill in the 21st century. However, it is not clear which is the most effective way to acquire and improve CT. Big research efforts are made to determine which pedagogical means should be used. One research trend is based on the idea that teaching programming since Primary Education suffices to improve CT. In our previous work, we proposed and validated a methodology based on metaphors and used of Scratch (MECOPROG) to teach basic programming concepts to children. It is our hypothesis H that by applying MECOPROG, students will develop their CT. To check H, we carried out an experiment with 132 Primary Education Students (9–12 years in age). At the beginning of the experiment, all students were asked to fill in a programming concepts test and two tests to measure their CT. During the sessions, all students were taught according to MECOPROG. Finally, they took the three tests again. A significant increase in the results on all the tests has been measured, supporting the use of metaphors and Scratch to teach computer programming concepts to Primary Education students to develop their CT.",,Diana Pérez-Marín and Raquel Hijón-Neira and Adrián Bacelo and Celeste Pizarro,,https://doi.org/10.1016/j.chb.2018.12.027,,,,0747-5632,Computers in Human Behavior,"Computational thinking, Primary education, Programming, Methodology, Metaphor",,,105849,,Can computational thinking be improved by using a methodology based on metaphors and scratch to teach computer programming to children?,https://www.sciencedirect.com/science/article/pii/S0747563218306137,105,2020
article,BACELO2023101284,"Algorithmic thinking is a type of thinking that occurs in the context of computational thinking. Given its importance in the current educational context, it seems pertinent to deepen into its conceptual and operational understanding for teaching. The exploration of research shows us that there are almost no studies at university level where algorithmic thinking is connected to mathematical thinking, and more importantly, to characterise it and be able to analyse and evaluate it better. The aim of this research is to characterise algorithmic thinking in a university context of the Bachelor's Degree in Mathematics by unplugged tasks, offering a model of analysis through categories that establish connections between mathematical and algorithmic working spaces in three dimensions, semiotic, instrumental and discursive. The results confirm the interaction between these dimensions and their predictive value for better programming performance. The study also adds novel considerations related to the role and interaction of mathematical and computational thinking categories involved in algorithmic thinking.",,Adrián Bacelo and Inés M. Gómez-Chacón,,https://doi.org/10.1016/j.tsc.2023.101284,,,,1871-1871,Thinking Skills and Creativity,"Algorithmic thinking, Theory of mathematical working space, Computational thinking, University teaching, Statistical Implicative Analysis (SIA)",,,101284,,Characterising algorithmic thinking: A university study of unplugged activities✰,https://www.sciencedirect.com/science/article/pii/S1871187123000548,48,2023
article,KONG2022104562,"Although instruments for assessing students' computational thinking (CT) concepts in primary education have been developed, they have rarely been validated in terms of item response theory (IRT). We consider IRT to be a rigorous validation tool and apply it to a CT concepts test for primary education involving 13,670 students. A two-parameter logistic model was chosen over other IRT models, as it indicated an acceptable model fit and item fit. The discrimination parameters indicated that the instrument could effectively distinguish between students with various ability levels. Nominal response modelling in IRT was used to retrieve information from the students' responses, and those with a lower ability level were found to only consider one of the conditions provided, had no understanding of the repetition structure, and might have difficulties in associating a sprite with its corresponding codes. Based on ability estimates, we also found that the students’ ability in terms of CT concepts increased with grades and that boys generally performed slightly better than girls. These results suggest that the instrument can be used to examine the learning achievements of students in terms of CT concepts.",,Siu-Cheung Kong and Ming Lai,,https://doi.org/10.1016/j.compedu.2022.104562,,,,0360-1315,Computers & Education,"Computational thinking concepts, Item response theory, Primary education, Test, Validation",,,104562,,Validating a computational thinking concepts test for primary education using item response theory: An analysis of students’ responses,https://www.sciencedirect.com/science/article/pii/S0360131522001336,187,2022
article,SHAHIN2022111107,"Computational Thinking (CT) has been investigated from different perspectives. This research aims to investigate how secondary school girls perceive CT practices – the problem-solving practices that students apply while they are engaged in programming – when using the micro:bit device in a collaborative setting. This study also explores the collaborative programming process of secondary school girls with the micro:bit device. We conducted mixed-methods research with 203 secondary school girls (in the state of Victoria, Australia) and 31 mentors attending a girls-only CT program (OzGirlsCT program). The girls were grouped into 52 teams and collaboratively developed computational solutions around realistic, important problems to them and their communities. We distributed two surveys (with 193 responses each) to the girls. Further, we surveyed the mentors (with 31 responses) who monitored the girls, and collected their observation reports on their teams Our study indicates that the girls found “debugging” the most difficult type of CT practice to apply, while collaborative practices of CT were the easiest. We found that prior coding experience significantly reduced the difficulty level of only one CT practice - “debugging”. Our study also identified six challenges the girls faced and six best practices they adopted when working on their computational solutions.",,Mojtaba Shahin and Christabel Gonsalvez and Jon Whittle and Chunyang Chen and Li Li and Xin Xia,,https://doi.org/10.1016/j.jss.2021.111107,,,,0164-1212,Journal of Systems and Software,"Computational thinking practices, Girls, Education, K-12, Programming",,,111107,,How secondary school girls perceive Computational Thinking practices through collaborative programming with the micro:bit,https://www.sciencedirect.com/science/article/pii/S0164121221002041,183,2022
article,DEPAULA201839,"Preparing younger generations to engage meaningfully with digital technology is often seen as one of the goals of 21st century education. JeanetteWing’s seminal work on Computational Thinking (CT) is an important landmark for this goal: CT represents a way of thinking, a set of problem-solving skills which can be valuable when interacting with digital technologies, and with different fields of knowledge, such as Arts and Humanities. Even if this cross-areas relevance has been celebrated and acknowledged in theoretical research, there has been a lack of practical projects exploring these links between CT and non-STEM fields. This research develops these links. We present a specific case – a game produced by two 14 years-old boys – within Playing Beowulf, a collaboration with the British library’s Young Researchers programme, in which students aged 13–14 from an inner-London (UK) school have developed games based on their own readings of the Anglo-Saxon poem Beowulf during an after-school club. The game was produced using MissionMaker, a software (currently under development at UCL Knowledge Lab) that allows users to create and code their own first-person 3D games in a simple way, using pre-made 3D assets, such as rooms, props, characters and weapons and a simplified programming language manipulated through drop-down lists. We argue that MissionMaker, by simplifying the development process (low floor), can be a means to foster the building of knowledge in both STEM (CT) and Arts and Humanities, building bridges between these two areas inside and outside traditional schooling.",,Bruno Henrique {de Paula} and Andrew Burn and Richard Noss and José Armando Valente,,https://doi.org/10.1016/j.ijcci.2017.11.003,,,,2212-8689,International Journal of Child-Computer Interaction,"Game-making, Computational thinking, Arts, Humanities",,,39-46,,"Playing Beowulf: Bridging computational thinking, arts and literature through game-making",https://www.sciencedirect.com/science/article/pii/S2212868917300247,16,2018
incollection,KIRK2017369,This chapter introduces the concept of computational thinking. It builds on the previous chapters to illustrate the central theme in computational thinking. It first reviews the main goals of parallel programming. It then discusses the thinking process of problem decomposition and algorithm selection. It then goes into the main concepts covered in the previous chapters and shows how they can be generalized into broader computational problem solving techniques.,,David B. Kirk and Wen-mei W. Hwu,Programming Massively Parallel Processors (Third Edition),https://doi.org/10.1016/B978-0-12-811986-0.00017-0,Third Edition,David B. Kirk and Wen-mei W. Hwu,978-0-12-811986-0,,,"Strong scaling, weak scaling, problem formulation, model, hardware limitations, program transformation, gather, scatter, data sharing, locality, binning, tiling, approximation",,,369-386,Morgan Kaufmann,Chapter 17 - Parallel programming and computational thinking,https://www.sciencedirect.com/science/article/pii/B9780128119860000170,,2017
article,KORKMAZ2017558,"It is possible to define Computational Thinking briefly as having the knowledge, skill and attitudes necessary to be able to use the computers in the solution of the life problems for production purposes. In this study, a scale has been developed for the purpose of determining the levels of computational thinking skills (CTS) of the students. CTS is a five-point likert type scale and consists of 29 items that could be collected under five factors. The study group of this work consists of 726 students educated at the levels of associate degree and undergraduate degree with formal education in Amasya University for the first application. For the second application 580 students who were educated in pedagogical formation education via distance education in Amasya University. The validity and reliability of the scale have been studied by conducting exploratory factor analysis, confirmatory factor analysis, item distinctiveness analyses, internal consistency coefficients and constancy analyses. As a result of the conducted analyses, it has been concluded that the scale is a valid and reliable measurement tool that could measure the computational thinking skills of the students. In addition; the digital age individuals are expected to have the computational thinking skill, and at what degree they have these skills, the revelation of whether the levels they have are sufficient or not are a requirement. Within this frame, it could be said that the scale could make significant contributions to the literature.",,Özgen Korkmaz and Recep Çakir and M. Yaşar Özden,,https://doi.org/10.1016/j.chb.2017.01.005,,,,0747-5632,Computers in Human Behavior,"Computer-mediated communication, Valuation methodologies, Pedagogical issues, Programming and programming languages, Teaching/learning strategies",,,558-569,,A validity and reliability study of the computational thinking scales (CTS),https://www.sciencedirect.com/science/article/pii/S0747563217300055,72,2017
article,BERS2014145,"By engaging in construction-based robotics activities, children as young as four can play to learn a range of concepts. The TangibleK Robotics Program paired developmentally appropriate computer programming and robotics tools with a constructionist curriculum designed to engage kindergarten children in learning computational thinking, robotics, programming, and problem-solving. This paper documents three kindergarten classrooms' exposure to computer programming concepts and explores learning outcomes. Results point to strengths of the curriculum and areas where further redesign of the curriculum and technologies would be appropriate. Overall, the study demonstrates that kindergartners were both interested in and able to learn many aspects of robotics, programming, and computational thinking with the TangibleK curriculum design.",,Marina Umaschi Bers and Louise Flannery and Elizabeth R. Kazakoff and Amanda Sullivan,,https://doi.org/10.1016/j.compedu.2013.10.020,,,,0360-1315,Computers & Education,"Elementary education, Interactive learning environments, Pedagogical issues, Teaching/learning strategies, robotics, Programming, Early childhood",,,145-157,,Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,https://www.sciencedirect.com/science/article/pii/S0360131513003059,72,2014
article,SHAMIR2022100415,"The emergence and ubiquity of Artificial Intelligence in the form of Machine Learning (ML) systems have revolutionized daily life. However, scant if any attention has been paid to ML in computing education, which continues to teach rule-based programming. A new, promising research field in education consists of acquainting children with ML to foster this much-needed shift from traditional rule-driven thinking to ML-based data-driven thinking. This article presents the development of computational thinking competencies in 12-year-old students who participated in a learning-by-design or a learning-by-teaching ML course. The results, based on a qualitative and quantitative evaluation of the students’ achievements, indicate that they demonstrated computational thinking competencies at various levels. The learning by design group evidenced greater development in computational skills, whereas the learning by teaching group improved in terms of computational perspective. These findings are discussed with respect to promoting children’s problem-solving competencies within a constructionist approach to ML.",,Gilad Shamir and Ilya Levin,,https://doi.org/10.1016/j.ijcci.2021.100415,,,,2212-8689,International Journal of Child-Computer Interaction,"Computational thinking, Constructionism, Artificial intelligence, Machine learning, Elementary school, Programming",,,100415,,Teaching machine learning in elementary school,https://www.sciencedirect.com/science/article/pii/S2212868921000994,31,2022
