ENTRYTYPE,ID,author,doi,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/08957347.2020.1835914,Jonathan David Bostic,10.1080/08957347.2020.1835914," 

https://doi.org/10.1080/08957347.2020.1835914


",Applied Measurement in Education,,1,1--9,Routledge,Think Alouds: Informing Scholarship and Broadening Partnerships through Assessment," 

https://doi.org/10.1080/08957347.2020.1835914


",34,2021
article,doi:10.1080/09523987.2023.2324598,Ana Oliveira and David Oliveira,10.1080/09523987.2023.2324598," 

https://doi.org/10.1080/09523987.2023.2324598


",Educational Media International,,3-4,183--195,Routledge,Perceptions of future basic education teachers about the potential of programming in the educational context," 

https://doi.org/10.1080/09523987.2023.2324598


",60,2023
article,doi:10.1080/19434812.2020.12291562,Heather Pacheco-Guffrey,10.1080/19434812.2020.12291562," 

https://doi.org/10.1080/19434812.2020.12291562


",Science and Children,,8,12--15,Routledge,Tech Talk: Hacking and Tracking Healthy Living," 

https://doi.org/10.1080/19434812.2020.12291562


",57,2020
article,doi:10.1080/15420353.2020.1760175,Stephen Appel,10.1080/15420353.2020.1760175," 

https://doi.org/10.1080/15420353.2020.1760175


",Journal of Map \& Geography Libraries,,2-3,134--151,Routledge,"Geospatial Information Literacy Instruction: Frameworks, Competency, and Threshold Concepts"," 

https://doi.org/10.1080/15420353.2020.1760175


",15,2019
article,doi:10.1080/00461520.2015.1124022,Yasmin B. Kafai and Quinn Burke,10.1080/00461520.2015.1124022," 

https://doi.org/10.1080/00461520.2015.1124022


",Educational Psychologist,PMID: 27019536,4,313--334,Routledge,Constructionist Gaming: Understanding the Benefits of Making Games for Learning," 

https://doi.org/10.1080/00461520.2015.1124022


",50,2015
article,doi:10.1080/00094056.2021.1930924,Nandita Gurjar,10.1080/00094056.2021.1930924," 

https://doi.org/10.1080/00094056.2021.1930924


",Childhood Education,,3,48--53,Routledge,The Italian Makerspace," 

https://doi.org/10.1080/00094056.2021.1930924


",97,2021
article,doi:10.1080/19434812.2022.12291814,Christine Anne Royce,10.1080/19434812.2022.12291814," 

https://doi.org/10.1080/19434812.2022.12291814


",Science and Children,,1,14--18,Routledge,Teaching Through Trade Books: Starting with Science," 

https://doi.org/10.1080/19434812.2022.12291814


",60,2022
article,doi:10.1080/08832323.2024.2336621,"Dyana Maftuhatu Rosyidah, Muyassaroh Mannan and Aryadi Manuel Gultom",10.1080/08832323.2024.2336621," 

https://doi.org/10.1080/08832323.2024.2336621


",Journal of Education for Business,,5,352--354,Routledge,Transforming entrepreneurship education: Interdisciplinary insights on innovative methods and formats," 

https://doi.org/10.1080/08832323.2024.2336621


",99,2024
article,doi:10.1080/01616846.2023.2251348,Neil D. Grimes and William Porter,10.1080/01616846.2023.2251348," 

https://doi.org/10.1080/01616846.2023.2251348


",Public Library Quarterly,,3,307--338,Routledge,Closing the Digital Divide Through Digital Equity: The Role of Libraries and Librarians," 

https://doi.org/10.1080/01616846.2023.2251348


",43,2024
article,doi:10.1080/03323315.2022.2104908,Renzhong Peng and Qiqin Hu,10.1080/03323315.2022.2104908," 

https://doi.org/10.1080/03323315.2022.2104908


",Irish Educational Studies,,3,603--606,Routledge,Expanding global horizons through technology enhanced language learning," 

https://doi.org/10.1080/03323315.2022.2104908


",43,2024
article,doi:10.1080/00094056.2022.2144612,Ting Yuan and Aankit Patel,10.1080/00094056.2022.2144612," 

https://doi.org/10.1080/00094056.2022.2144612


",Childhood Education,,6,56--61,Routledge,"“If Young Children Can Code, Why Can’t We Try?”: Computational Storytelling in Early Childhood Teacher Education"," 

https://doi.org/10.1080/00094056.2022.2144612


",98,2022
article,doi:10.1080/15427587.2020.1807986,"Florent Domenach, Naoko Araki and Mary Frances Agnello",10.1080/15427587.2020.1807986," 

https://doi.org/10.1080/15427587.2020.1807986


",Critical Inquiry in Language Studies,,1,26--40,Routledge,Disrupting discipline based learning: integrating English and programming education," 

https://doi.org/10.1080/15427587.2020.1807986


",18,2021
article,doi:10.1080/19466315.2022.2063172,"Mark Baillie, Conor Moloney, Carsten Philipp Mueller, Jonas Dorn, Janice Branson and David Ohlssen",10.1080/19466315.2022.2063172," 

https://doi.org/10.1080/19466315.2022.2063172


",Statistics in Biopharmaceutical Research,,1,74--85,ASA Website,Good Data Science Practice: Moving Toward a Code of Practice for Drug Development," 

https://doi.org/10.1080/19466315.2022.2063172


",15,2023
article,doi:10.1080/00094056.2023.2169546,Tara Fagan,10.1080/00094056.2023.2169546," 

https://doi.org/10.1080/00094056.2023.2169546


",Childhood Education,,1,24--31,Routledge,Weaving Learning and Digital Technologies at New Zealand Museums," 

https://doi.org/10.1080/00094056.2023.2169546


",99,2023
article,doi:10.1080/00368555.2022.12293672,Lin Xiang and Scott Diamond,10.1080/00368555.2022.12293672," 

https://doi.org/10.1080/00368555.2022.12293672


",The Science Teacher,,3,70--78,Routledge,Developing and Using Computer Models to Understand Epidemics," 

https://doi.org/10.1080/00368555.2022.12293672


",89,2022
article,doi:10.1007/s10972-016-9484-1,"Nicole Tuttle, Joan N. Kaderavek, Scott Molitor, Charlene M. Czerniak, Eugenia Johnson-Whitt, Debra Bloomquist, Winnifred Namatovu and Grant Wilson",10.1007/s10972-016-9484-1," 

https://doi.org/10.1007/s10972-016-9484-1


",Journal of Science Teacher Education,,7,717--745,Routledge,Investigating the Impact of NGSS-Aligned Professional Development on PreK-3 Teachers’ Science Content Knowledge and Pedagogy," 

https://doi.org/10.1007/s10972-016-9484-1


",27,2016
article,doi:10.1080/14606925.2019.1594967,Jussi Mikkonen,10.1080/14606925.2019.1594967," 

https://doi.org/10.1080/14606925.2019.1594967


",The Design Journal,,sup1,1423--1437,Routledge,Bodygramming. Embodying the computational behaviour as a collective effort," 

https://doi.org/10.1080/14606925.2019.1594967


",22,2019
article,doi:10.1080/26939169.2023.2197470,Katie A. McCarthy and Gregory A. Kuhlemeyer,10.1080/26939169.2023.2197470," 

https://doi.org/10.1080/26939169.2023.2197470


",Journal of Statistics and Data Science Education,,1,98--107,Taylor \& Francis,Preparing Analytics-Enabled Professionals in Finance Using a Simultaneous Team-Teaching Approach: A Case Study," 

https://doi.org/10.1080/26939169.2023.2197470


",32,2024
article,doi:10.1080/15391523.2022.2107590,"Kevin Larkin, Christina Lommatsch, Ilyse Resnick and Thomas Lowrie",10.1080/15391523.2022.2107590," 

https://doi.org/10.1080/15391523.2022.2107590


",Journal of Research on Technology in Education,,6,1080--1093,Routledge,The design and use of a digital tool to support the development of preschool children’s logical reasoning," 

https://doi.org/10.1080/15391523.2022.2107590


",55,2023
article,doi:10.1080/00368121.2024.2387382,,10.1080/00368121.2024.2387382," 

https://doi.org/10.1080/00368121.2024.2387382


",Science Activities,,0,1--1,Routledge,Correction," 

https://doi.org/10.1080/00368121.2024.2387382


",0,2024
article,doi:10.1198/004017008000000497,Pat Hanrahan,10.1198/004017008000000497," 

https://doi.org/10.1198/004017008000000497


",Technometrics,,4,440--441,ASA Website,Comment," 

https://doi.org/10.1198/004017008000000497


",50,2008
article,doi:10.1080/1350293X.2022.2060943,Mehmet Toran,10.1080/1350293X.2022.2060943," 

https://doi.org/10.1080/1350293X.2022.2060943


",European Early Childhood Education Research Journal,,3,325--329,Routledge,From the uncertain times to today: unveiling the early childhood education research with keywords," 

https://doi.org/10.1080/1350293X.2022.2060943


",30,2022
article,doi:10.1080/00043125.2024.2330342,Nicholas Leonard and Johnson Kwame Wor,10.1080/00043125.2024.2330342," 

https://doi.org/10.1080/00043125.2024.2330342


",Art Education,,4,20--26,Routledge,Addressing Algorithm Materiality and Bias Through Art: Exploring Social Media–Augmented Reality Features," 

https://doi.org/10.1080/00043125.2024.2330342


",77,2024
article,doi:10.1080/10494820.2023.2190356,"Lihui Sun, Zhen Guo and Danhua Zhou",10.1080/10494820.2023.2190356," 

https://doi.org/10.1080/10494820.2023.2190356


",Interactive Learning Environments,,7,3732--3755,Routledge,Measuring development of young students’ coding ability through a graphical teaching intervention: further explanation of the effect of coding experience and coding interest," 

https://doi.org/10.1080/10494820.2023.2190356


",32,2024
article,doi:10.1080/08993408.2021.1959174,Mireilla Bikanga Ada and Mary Ellen Foster,10.1080/08993408.2021.1959174," 

https://doi.org/10.1080/08993408.2021.1959174


",Computer Science Education,,2,186--210,Routledge,Enhancing postgraduate students’ technical skills: perceptions of modified team-based learning in a six-week multi-subject Bootcamp-style CS course," 

https://doi.org/10.1080/08993408.2021.1959174


",33,2023
article,doi:10.1080/00221341.2021.1933140,"Michael Solem, Coline Dony, Thomas Herman, Kelly León, Amr Magdy, Atsushi Nara, Waverly Ray, Sergio Rey and Rachel Russell",10.1080/00221341.2021.1933140," 

https://doi.org/10.1080/00221341.2021.1933140


",Journal of Geography,,4,152--159,Routledge,Building Educational Capacity for Inclusive Geocomputation: A Research-Practice Partnership in Southern California," 

https://doi.org/10.1080/00221341.2021.1933140


",120,2021
article,doi:10.1080/10494820.2019.1593862,"Attila Krajcsi, Csaba Csapodi and Eleonóra Stettner",10.1080/10494820.2019.1593862," 

https://doi.org/10.1080/10494820.2019.1593862


",Interactive Learning Environments,,4,634--647,Routledge,Algotaurus: an educational computer programming game for beginners," 

https://doi.org/10.1080/10494820.2019.1593862


",29,2021
article,doi:10.1080/10409289.2022.2078617,"Jiahong Su, Weipeng Yang and Yuchun Zhong",10.1080/10409289.2022.2078617," 

https://doi.org/10.1080/10409289.2022.2078617


",Early Education and Development,,4,910--926,Routledge,Influences of Gender and Socioeconomic Status on Children’s Use of Robotics in Early Childhood Education: A Systematic Review," 

https://doi.org/10.1080/10409289.2022.2078617


",34,2023
article,doi:10.1080/00368121.2024.2345062,"Tracy N. Vassiliev, Douglas J. Gardner and David J. Neivandt",10.1080/00368121.2024.2345062," 

https://doi.org/10.1080/00368121.2024.2345062


",Science Activities,,3,152--161,Routledge,A middle school investigation into developing environmentally friendly packaging," 

https://doi.org/10.1080/00368121.2024.2345062


",61,2024
article,doi:10.1080/15391523.2024.2381231,"Meryem Şeyda Özcan, Tilbe Göksun and Yasemin Kisbu",10.1080/15391523.2024.2381231," 

https://doi.org/10.1080/15391523.2024.2381231


",Journal of Research on Technology in Education,,0,1--29,Routledge,The impact of learning to code on higher-order executive-functions: a systematic review of the literature," 

https://doi.org/10.1080/15391523.2024.2381231


",0,2024
article,doi:10.1080/00368148.2023.12291875,Alison Riley Miller and Martha Eshoo,10.1080/00368148.2023.12291875," 

https://doi.org/10.1080/00368148.2023.12291875


",Science and Children,,4,76--82,Routledge,Methods and Strategies: Reassessing Recess," 

https://doi.org/10.1080/00368148.2023.12291875


",60,2023
article,doi:10.1080/10494820.2021.1961810,"Huei-Tse Hou, Ying-Sang Fang and Joni Tzuchen Tang",10.1080/10494820.2021.1961810," 

https://doi.org/10.1080/10494820.2021.1961810


",Interactive Learning Environments,,7,4346--4366,Routledge,Designing an alternate reality board game with augmented reality and multi-dimensional scaffolding for promoting spatial and logical ability," 

https://doi.org/10.1080/10494820.2021.1961810


",31,2023
