ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/10409289.2020.1759012,"X. Christine Wang, Youngae Choi, Keely Benson, Corinne Eggleston and Deborah Weber",10.1080/10409289.2020.1759012," 

https://doi.org/10.1080/10409289.2020.1759012


",Early Education and Development,1,26--48,Routledge,Teacher’s Role in Fostering Preschoolers’ Computational Thinking: An Exploratory Case Study," 

https://doi.org/10.1080/10409289.2020.1759012


",32,2021
article,doi:10.1080/20004508.2019.1627844,"Jalal Nouri, Lechen Zhang, Linda Mannila and Eva Norén",10.1080/20004508.2019.1627844," 

https://doi.org/10.1080/20004508.2019.1627844


",Education Inquiry,1,1--17,Routledge,"Development of computational thinking, digital competence and 21st century skills when learning programming in K-9"," 

https://doi.org/10.1080/20004508.2019.1627844


",11,2020
article,doi:10.1080/21532974.2019.1622917,"Denise L. Lindstrom, Denise A. Schmidt-Crawford and Ann D. Thompson",10.1080/21532974.2019.1622917," 

https://doi.org/10.1080/21532974.2019.1622917


",Journal of Digital Learning in Teacher Education,3,126--127,Routledge,Computational Thinking in Content Areas and Feminine Craft," 

https://doi.org/10.1080/21532974.2019.1622917


",35,2019
article,doi:10.1080/08993408.2021.1914459,"Yenda Prado, Sharin Jacob and Mark Warschauer",10.1080/08993408.2021.1914459," 

https://doi.org/10.1080/08993408.2021.1914459


",Computer Science Education,2,188--212,Routledge,Teaching computational thinking to exceptional learners: lessons from two inclusive classrooms," 

https://doi.org/10.1080/08993408.2021.1914459


",32,2022
article,doi:10.1080/1046560X.2020.1805200,"Walter Aminger, Sarah Hough, Sarah A. Roberts, Valerie Meier, Alexis D. Spina, Hani Pajela, Mandy McLean and Julie A. Bianchini",10.1080/1046560X.2020.1805200," 

https://doi.org/10.1080/1046560X.2020.1805200


",Journal of Science Teacher Education,2,188--209,Routledge,Preservice Secondary Science Teachers’ Implementation of an NGSS Practice: Using Mathematics and Computational Thinking," 

https://doi.org/10.1080/1046560X.2020.1805200


",32,2021
article,doi:10.1080/08872376.2021.12291417,"Kristin Searle, Colby Tofel-Grehl and Beth L. Macdonald",10.1080/08872376.2021.12291417," 

https://doi.org/10.1080/08872376.2021.12291417


",Science Scope,5,64--71,Routledge,Making in the Middle: Lighting Up History: Integrating Mathematics and Computational Thinking in the Science Classroom," 

https://doi.org/10.1080/08872376.2021.12291417


",44,2021
article,doi:10.1080/21532974.2020.1781001,Fatemeh Mardi,10.1080/21532974.2020.1781001," 

https://doi.org/10.1080/21532974.2020.1781001


",Journal of Digital Learning in Teacher Education,4,237--249,Routledge,Using think alouds and digital powerups to embed computational thinking concepts while in-service teachers reflect on a math solution design project," 

https://doi.org/10.1080/21532974.2020.1781001


",36,2020
article,doi:10.1080/0020739X.2016.1254296,"Nadia Benakli, Boyan Kostadinov, Ashwin Satyanarayana and Satyanand Singh",10.1080/0020739X.2016.1254296," 

https://doi.org/10.1080/0020739X.2016.1254296


",International Journal of Mathematical Education in Science and Technology,3,393--427,Taylor \& Francis,"Introducing computational thinking through hands-on projects using R with applications to calculus, probability and data analysis"," 

https://doi.org/10.1080/0020739X.2016.1254296


",48,2017
article,doi:10.1080/10494820.2024.2331148,Siu-Cheung Kong and Wei Shen,10.1080/10494820.2024.2331148," 

https://doi.org/10.1080/10494820.2024.2331148


",Interactive Learning Environments,0,1--14,Routledge,"Using students’ cognitive, affective, and demographic characteristics to predict their understanding of computational thinking concepts: a machine learning-based approach"," 

https://doi.org/10.1080/10494820.2024.2331148


",0,2024
article,doi:10.1080/15391523.2021.1962453,"Xing Li, Kui Xie, Vanessa Vongkulluksn, David Stein and Yi Zhang",10.1080/15391523.2021.1962453," 

https://doi.org/10.1080/15391523.2021.1962453


",Journal of Research on Technology in Education,2,344--368,Routledge,Developing and Testing a Design-Based Learning Approach to Enhance Elementary Students’ Self-Perceived Computational Thinking," 

https://doi.org/10.1080/15391523.2021.1962453


",55,2023
article,doi:10.1080/08993408.2022.2154992,"Kristin A. Searle, Colby Tofel-Grehl, Liam Fischback and Tyler Hansen",10.1080/08993408.2022.2154992," 

https://doi.org/10.1080/08993408.2022.2154992


",Computer Science Education,1,139--161,Routledge,Affordances and limitations of teachers instructional styles when teaching computer science and computational thinking," 

https://doi.org/10.1080/08993408.2022.2154992


",33,2023
article,doi:10.1080/08872376.2020.12291327,"Michael Cassidy, Eli Tucker-Raymond and Gillian Puttick",10.1080/08872376.2020.12291327," 

https://doi.org/10.1080/08872376.2020.12291327


",Science Scope,7,18--21,Routledge,Practical Research: Distributing Expertise to Integrate Computational Thinking Practices," 

https://doi.org/10.1080/08872376.2020.12291327


",43,2020
article,doi:10.1080/15578771.2024.2404969,"Mohammad Khalid, Anthony Yusuf, Abiola Akanmu, Homero Murzi and Ibukun Awolusi",10.1080/15578771.2024.2404969," 

https://doi.org/10.1080/15578771.2024.2404969


",International Journal of Construction Education and Research,0,1--18,Routledge,The Impact of Individual Differences in Developing Computational Thinking and Sensor Data Analytics Skills in Construction Engineering Education," 

https://doi.org/10.1080/15578771.2024.2404969


",0,2024
article,doi:10.1080/10986065.2018.1405615,Lyn English,10.1080/10986065.2018.1405615," 

https://doi.org/10.1080/10986065.2018.1405615


",Mathematical Thinking and Learning,1,1--2,Routledge,On MTL’s Second Milestone: Exploring Computational Thinking and Mathematics Learning," 

https://doi.org/10.1080/10986065.2018.1405615


",20,2018
article,doi:10.1080/03004279.2024.2400933,Ecmen Erdem and Filiz Kalelioğlu,10.1080/03004279.2024.2400933," 

https://doi.org/10.1080/03004279.2024.2400933


",Education 3-13,0,1--23,Routledge,"Comparing traditional and flipped classrooms in teaching block-based programming: effects on fifth-graders’ self-efficacy towards computational thinking skills, conceptual learning, and their perspectives"," 

https://doi.org/10.1080/03004279.2024.2400933


",0,2024
article,doi:10.1080/08993408.2021.1935603,Christopher Petrie,10.1080/08993408.2021.1935603," 

https://doi.org/10.1080/08993408.2021.1935603


",Computer Science Education,2,260--282,Routledge,Interdisciplinary computational thinking with music and programming: a case study on algorithmic music composition with Sonic Pi," 

https://doi.org/10.1080/08993408.2021.1935603


",32,2022
article,doi:10.1080/03004279.2023.2271019,"Ahmad Lutfi Fauzi, Yaya Sukjaya Kusumah, Elah Nurlaelah and Dadang Juandi",10.1080/03004279.2023.2271019," 

https://doi.org/10.1080/03004279.2023.2271019


",Education 3-13,0,1--2,Routledge,Computational thinking education in K-12 artificial intelligence literacy and physical computing," 

https://doi.org/10.1080/03004279.2023.2271019


",0,2023
article,doi:10.1080/00393541.2015.11666280,Aaron D. Knochel and Ryan M. Patton,10.1080/00393541.2015.11666280," 

https://doi.org/10.1080/00393541.2015.11666280


",Studies in Art Education,1,21--38,Routledge,If Art Education Then Critical Digital Making: Computational Thinking and Creative Code," 

https://doi.org/10.1080/00393541.2015.11666280


",57,2015
article,doi:10.1080/00368555.2022.12293706,"Nanette Marcum-Dietrich, Meridith Bruozas and John Domyancich",10.1080/00368555.2022.12293706," 

https://doi.org/10.1080/00368555.2022.12293706


",The Science Teacher,6,12--15,Routledge,Commentary: Does This Count as Work?: Nurturing computational thinking in the science classroom," 

https://doi.org/10.1080/00368555.2022.12293706


",89,2022
article,doi:10.1080/10691898.2020.1870416,Nicholas J. Horton and Johanna S. Hardin,10.1080/10691898.2020.1870416," 

https://doi.org/10.1080/10691898.2020.1870416


",Journal of Statistics and Data Science Education,sup1,S1--S3,Taylor \& Francis,"Integrating Computing in the Statistics and Data Science Curriculum: Creative Structures, Novel Skills and Habits, and Ways to Teach Computational Thinking"," 

https://doi.org/10.1080/10691898.2020.1870416


",29,2021
article,doi:10.1080/08993408.2020.1866938,"Kathryn M. Rich, Diana Franklin, Carla Strickland, Andy Isaacs and Donna Eatinger",10.1080/08993408.2020.1866938," 

https://doi.org/10.1080/08993408.2020.1866938


",Computer Science Education,2,213--234,Routledge,A Learning Trajectory for Variables Based in Computational Thinking Literature: Using Levels of Thinking to Develop Instruction," 

https://doi.org/10.1080/08993408.2020.1866938


",32,2022
article,doi:10.1080/24758779.2020.12318732,"Heather Lavigne, Ashley Lewis Presser, Deborah Rosenfeld, Marisa Wolsky and Jessica Andrews",10.1080/24758779.2020.12318732," 

https://doi.org/10.1080/24758779.2020.12318732


",Connected Science Learning,2,12318732,Routledge,Creating a Preschool Computational-Thinking Learning Blueprint to Guide the Development of Learning Resources for Young Children," 

https://doi.org/10.1080/24758779.2020.12318732


",2,2020
article,doi:10.1080/00219266.2022.2118353,"Line Have Musaeus, Deborah Tatar and Peter Musaeus",10.1080/00219266.2022.2118353," 

https://doi.org/10.1080/00219266.2022.2118353


",Journal of Biological Education,4,812--828,Routledge,Computational modelling in high school biology: A teaching intervention," 

https://doi.org/10.1080/00219266.2022.2118353


",58,2024
article,doi:10.1080/10494820.2019.1612446,"Debora Lui, Justice T. Walker, Sheri Hanna, Yasmin B. Kafai, Deborah Fields and Gayithri Jayathirtha",10.1080/10494820.2019.1612446," 

https://doi.org/10.1080/10494820.2019.1612446


",Interactive Learning Environments,3,284--301,Routledge,Communicating computational concepts and practices within high school students’ portfolios of making electronic textiles," 

https://doi.org/10.1080/10494820.2019.1612446


",28,2020
