ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/1461670X.2024.2372429,Paschalia (Lia) Spyridou and Christos Danezis,10.1080/1461670X.2024.2372429," 

https://doi.org/10.1080/1461670X.2024.2372429


",Journalism Studies,13,1573--1597,Routledge,Do Algorithms Do It Better? Analysing Occupational Ideology in the Age of Computational Journalism," 

https://doi.org/10.1080/1461670X.2024.2372429


",25,2024
article,doi:10.1080/15391523.2020.1840461,Indrit Vucaj,10.1080/15391523.2020.1840461," 

https://doi.org/10.1080/15391523.2020.1840461


",Journal of Research on Technology in Education,2,226--248,Routledge,Development and initial validation of Digital Age Teaching Scale (DATS) to assess application of ISTE Standards for Educators in K–12 education classrooms," 

https://doi.org/10.1080/15391523.2020.1840461


",54,2022
article,doi:10.1080/19415257.2019.1685565,"Andrew Lambirth, Ana Cabral, Roger McDonald, Chris Philpott, Ashley Brett and Adewale Magaji",10.1080/19415257.2019.1685565," 

https://doi.org/10.1080/19415257.2019.1685565


",Professional Development in Education,5,815--833,Routledge,"Teacher-led professional development through a model of action research, collaboration and facilitation"," 

https://doi.org/10.1080/19415257.2019.1685565


",47,2021
article,doi:10.1080/00220671.2018.1514357,"Richard Lamb, Jonah Firestone, Maureen Schmitter-Edgecombe and Brian Hand",10.1080/00220671.2018.1514357," 

https://doi.org/10.1080/00220671.2018.1514357


",The Journal of Educational Research,2,243--254,Routledge,A computational model of student cognitive processes while solving a critical thinking problem in science," 

https://doi.org/10.1080/00220671.2018.1514357


",112,2019
article,doi:10.1080/02568543.2023.2282662,Adela Peleg and Sharona T. Levy,10.1080/02568543.2023.2282662," 

https://doi.org/10.1080/02568543.2023.2282662


",Journal of Research in Childhood Education,3,405--432,Routledge,"On the Inter-Relationships Between Teachers, Technologies, and Children in Makerspace Environments: A Comparative Case Study in Kindergarten Classrooms"," 

https://doi.org/10.1080/02568543.2023.2282662


",38,2024
article,doi:10.1080/03004279.2024.2365376,"Elka Zebdewos Zekarias, Gebresilase Bereket Merkine and Biramo Yohannes Bisa",10.1080/03004279.2024.2365376," 

https://doi.org/10.1080/03004279.2024.2365376


",Education 3-13,0,1--19,Routledge,Exploring culturally responsive teaching: a multi-stakeholder perspectives on enhancing children's school readiness: a qualitative study," 

https://doi.org/10.1080/03004279.2024.2365376


",0,2024
article,doi:10.1080/03075079.2024.2361831,"Eva-Maria Zahn, Sofia Schöbel, Mohammed Saqr and Matthias Söllner",10.1080/03075079.2024.2361831," 

https://doi.org/10.1080/03075079.2024.2361831


",Studies in Higher Education,0,1--21,SRHE Website,Mapping soft skills and further research directions for higher education: a bibliometric approach with structural topic modelling," 

https://doi.org/10.1080/03075079.2024.2361831


",0,2024
article,doi:10.1080/1046560X.2019.1627060,"Idit Adler, Michal Zion and Esther Rimerman-Shmueli",10.1080/1046560X.2019.1627060," 

https://doi.org/10.1080/1046560X.2019.1627060


",Journal of Science Teacher Education,7,763--787,Routledge,Fostering Teachers’ Reflections on the Dynamic Characteristics of Open Inquiry through Metacognitive Prompts," 

https://doi.org/10.1080/1046560X.2019.1627060


",30,2019
article,doi:10.1080/1046560X.2020.1729479,Carrie-Anne Sherwood,10.1080/1046560X.2020.1729479," 

https://doi.org/10.1080/1046560X.2020.1729479


",Journal of Science Teacher Education,5,578--600,Routledge,“The Goals Remain Elusive”: Using Drawings to Examine Shifts in Teachers’ Mental Models Before and After an NGSS Professional Learning Experience," 

https://doi.org/10.1080/1046560X.2020.1729479


",31,2020
article,doi:10.1080/10494820.2023.2255228,"Davy Tsz Kit Ng, Jiahong Su, Jac Ka Lok Leung and Samuel Kai Wah Chu",10.1080/10494820.2023.2255228," 

https://doi.org/10.1080/10494820.2023.2255228


",Interactive Learning Environments,0,1--21,Routledge,Artificial intelligence (AI) literacy education in secondary schools: a review," 

https://doi.org/10.1080/10494820.2023.2255228


",0,2023
