ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/15391523.2021.1974987,Kathrin Smolarczyk and Stephan Kröner,10.1080/15391523.2021.1974987," 

https://doi.org/10.1080/15391523.2021.1974987


",Journal of Research on Technology in Education,3,459--476,Routledge,Two decades in the making: A scoping review on research on digital making and its potential for digital empowerment in non-formal settings," 

https://doi.org/10.1080/15391523.2021.1974987


",55,2023
article,doi:10.1080/00368148.2024.2293459,Elizabeth Barrett-Zahn,10.1080/00368148.2024.2293459," 

https://doi.org/10.1080/00368148.2024.2293459


",Science and Children,1,5--5,Routledge,Making Science Accessible for All," 

https://doi.org/10.1080/00368148.2024.2293459


",61,2024
article,doi:10.1080/1046560X.2024.2381301,"Hong H. Tran, Timothy J. Cleary, Daniel K. Capps and Georgia W. Hodges",10.1080/1046560X.2024.2381301," 

https://doi.org/10.1080/1046560X.2024.2381301


",Journal of Science Teacher Education,0,1--22,Routledge,Coaching During Student Teaching: Using Self-Regulated Learning to Improve Questioning Skills for Preservice Science Teachers," 

https://doi.org/10.1080/1046560X.2024.2381301


",0,2024
article,doi:10.1080/17439884.2016.1211679,Michael Lachney,10.1080/17439884.2016.1211679," 

https://doi.org/10.1080/17439884.2016.1211679


","Learning, Media and Technology",4,420--439,Routledge,Culturally responsive computing as brokerage: toward asset building with education-based social movements," 

https://doi.org/10.1080/17439884.2016.1211679


",42,2017
article,doi:10.1080/00220671.2016.1253539,"Christina M. Sias, Louis S. Nadelson, Stephanie M. Juth and Anne L. Seifert",10.1080/00220671.2016.1253539," 

https://doi.org/10.1080/00220671.2016.1253539


",The Journal of Educational Research,3,227--238,Routledge,The best laid plans: Educational innovation in elementary teacher generated integrated STEM lesson plans," 

https://doi.org/10.1080/00220671.2016.1253539


",110,2017
article,doi:10.1080/1046560X.2020.1830503,"Molly Weinburgh, Cecilia Silva and Kathy Horak Smith",10.1080/1046560X.2020.1830503," 

https://doi.org/10.1080/1046560X.2020.1830503


",Journal of Science Teacher Education,4,378--399,Routledge,Multimodality and the 5R Instructional Model: Biology Teachers Learning to Engage Emergent Multilingual Learners," 

https://doi.org/10.1080/1046560X.2020.1830503


",32,2021
article,doi:10.1080/09523987.2023.2324605,"Maria José Loureiro, Ana Loureiro and Mart Laanpere",10.1080/09523987.2023.2324605," 

https://doi.org/10.1080/09523987.2023.2324605


",Educational Media International,3-4,152--153,Routledge,Editorial," 

https://doi.org/10.1080/09523987.2023.2324605


",60,2023
article,doi:10.1080/0144929X.2022.2083981,"Renate Andersen, Anders I. Mørch and Kristina Torine Litherland",10.1080/0144929X.2022.2083981," 

https://doi.org/10.1080/0144929X.2022.2083981


",Behaviour \& Information Technology,9,1830--1847,Taylor \& Francis,Collaborative learning with block-based programming: investigating human-centered artificial intelligence in education," 

https://doi.org/10.1080/0144929X.2022.2083981


",41,2022
article,doi:10.1080/0144929X.2021.1921028,"Mateus Carvalho Gonçalves, Otávio Neves Lara, Raphael Winckler de Bettio and André Pimenta Freire",10.1080/0144929X.2021.1921028," 

https://doi.org/10.1080/0144929X.2021.1921028


",Behaviour \& Information Technology,10,974--996,Taylor \& Francis,End-user development of smart home rules using block-based programming: a comparative usability evaluation with programmers and non-programmers," 

https://doi.org/10.1080/0144929X.2021.1921028


",40,2021
article,doi:10.1080/24750158.2023.2168151,Roxanne Missingham,10.1080/24750158.2023.2168151," 

https://doi.org/10.1080/24750158.2023.2168151


",Journal of the Australian Library and Information Association,1,100--101,Routledge,"Archives, access and artificial intelligence: working with born-digital and digitized archival collections"," 

https://doi.org/10.1080/24750158.2023.2168151


",72,2023
article,doi:10.1080/17512786.2016.1159921,Eddy Borges-Rey,10.1080/17512786.2016.1159921," 

https://doi.org/10.1080/17512786.2016.1159921


",Journalism Practice,7,833--843,Routledge,Unravelling Data Journalism," 

https://doi.org/10.1080/17512786.2016.1159921


",10,2016
article,doi:10.1080/26939169.2022.2090467,Shu-Min Liao,10.1080/26939169.2022.2090467," 

https://doi.org/10.1080/26939169.2022.2090467


",Journal of Statistics and Data Science Education,1,45--56,Taylor \& Francis,SCRATCH to R: Toward an Inclusive Pedagogy in Teaching Coding," 

https://doi.org/10.1080/26939169.2022.2090467


",31,2023
article,doi:10.1080/13658816.2018.1442974,"J. A Long, R. Weibel, S. Dodge and P. Laube",10.1080/13658816.2018.1442974," 

https://doi.org/10.1080/13658816.2018.1442974


",International Journal of Geographical Information Science,7,1275--1281,Taylor \& Francis,Moving ahead with computational movement analysis," 

https://doi.org/10.1080/13658816.2018.1442974


",32,2018
article,doi:10.1080/02602938.2020.1776212,"Kirsi Talman, Jonna Vierula, Anne-Maria Kanerva, Outi Virkki, Jaana-Maija Koivisto and Elina Haavisto",10.1080/02602938.2020.1776212," 

https://doi.org/10.1080/02602938.2020.1776212


",Assessment \& Evaluation in Higher Education,3,376--392,SRHE Website,Instruments for assessing reasoning skills in higher education: a scoping review," 

https://doi.org/10.1080/02602938.2020.1776212


",46,2021
article,doi:10.1080/1475939X.2014.978524,Patrick Carmichael,10.1080/1475939X.2014.978524," 

https://doi.org/10.1080/1475939X.2014.978524


","Technology, Pedagogy and Education",4,421--422,Routledge,New curricula and new research agendas," 

https://doi.org/10.1080/1475939X.2014.978524


",23,2014
article,doi:10.1080/19434812.2021.12291665,"Elizabeth Barrett-Zahn, Valynda Mayes, Will Thomas, Catherine Lorrain, Jack Parker, Erika Shugart and Jason Sheldrake",10.1080/19434812.2021.12291665," 

https://doi.org/10.1080/19434812.2021.12291665


",Science and Children,5,6--6,Routledge,Editor’s Note," 

https://doi.org/10.1080/19434812.2021.12291665


",58,2021
article,doi:10.1080/08993408.2024.2403056,Brian Dorn and Jan Vahrenhold,10.1080/08993408.2024.2403056," 

https://doi.org/10.1080/08993408.2024.2403056


",Computer Science Education,3,329--330,Routledge,Editorial," 

https://doi.org/10.1080/08993408.2024.2403056


",34,2024
article,doi:10.1080/07370008.2018.1475390,"Danielle B. Harlow, Hilary A. Dwyer, Alexandria K. Hansen, Ashley O. Iveland and Diana M. Franklin",10.1080/07370008.2018.1475390," 

https://doi.org/10.1080/07370008.2018.1475390


",Cognition and Instruction,3,224--246,Routledge,Ecological Design-Based Research for Computer Science Education: Affordances and Effectivities for Elementary School Students," 

https://doi.org/10.1080/07370008.2018.1475390


",36,2018
article,doi:10.1080/08993408.2022.2095595,"Tiina Korhonen, Laura Salo, Noora Laakso, Aino Seitamaa, Kati Sormunen, Minna Kukkonen and Heidi Forsström",10.1080/08993408.2022.2095595," 

https://doi.org/10.1080/08993408.2022.2095595


",Computer Science Education,1,94--116,Routledge,Finnish teachers as adopters of educational innovation: perceptions of programming as a new part of the curriculum," 

https://doi.org/10.1080/08993408.2022.2095595


",33,2023
article,doi:10.1080/08993408.2023.2272232,"Anna van der Meulen, Mijke Hartendorp, Wendy Voorn and Felienne Hermans",10.1080/08993408.2023.2272232," 

https://doi.org/10.1080/08993408.2023.2272232


",Computer Science Education,0,1--23,Routledge,Observing the computational concept of abstraction in blind and low vision learners using the Bee-bot and Blue-bot," 

https://doi.org/10.1080/08993408.2023.2272232


",0,2023
article,doi:10.1080/09523987.2024.2358662,"Maria Jose Loureiro, Ana Loureiro and Mart Laanpere",10.1080/09523987.2024.2358662," 

https://doi.org/10.1080/09523987.2024.2358662


",Educational Media International,1-2,2--3,Routledge,Technological advancement and challenges in education," 

https://doi.org/10.1080/09523987.2024.2358662


",61,2024
article,doi:10.1080/01621459.2019.1662241,Kaixian Yu,10.1080/01621459.2019.1662241," 

https://doi.org/10.1080/01621459.2019.1662241


",Journal of the American Statistical Association,527,1420--1421,ASA Website,Data Science Foundations: Geometry and Topology of Complex Hierarchic Systems and Big Data Analytics.," 

https://doi.org/10.1080/01621459.2019.1662241


",114,2019
article,doi:10.1080/19434812.2021.12291710,Laura B. Schneider and Angelique Kelly,10.1080/19434812.2021.12291710," 

https://doi.org/10.1080/19434812.2021.12291710


",Science and Children,1,26--31,Routledge,Mesozoic Measurement," 

https://doi.org/10.1080/19434812.2021.12291710


",59,2021
