ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/1369118X.2023.2255656,Ciaran B. Trace and James A. Hodges,10.1080/1369118X.2023.2255656," 

https://doi.org/10.1080/1369118X.2023.2255656


","Information, Communication \& Society",7,1334--1350,Routledge,Algorithmic futures: the intersection of algorithms and evidentiary work," 

https://doi.org/10.1080/1369118X.2023.2255656


",27,2024
article,doi:10.1080/09585176.2017.1369136,Karmijn van de Oudeweetering and Joke Voogt,10.1080/09585176.2017.1369136," 

https://doi.org/10.1080/09585176.2017.1369136


",The Curriculum Journal,1,116--133,Routledge,Teachers’ conceptualization and enactment of twenty-first century competences: exploring dimensions for new curricula," 

https://doi.org/10.1080/09585176.2017.1369136


",29,2018
article,doi:10.1080/14783363.2018.1486552,Juhani Anttila and Kari Jussila,10.1080/14783363.2018.1486552," 

https://doi.org/10.1080/14783363.2018.1486552


",Total Quality Management \& Business Excellence,9-10,1058--1073,Routledge,Universities and smart cities: the challenges to high quality," 

https://doi.org/10.1080/14783363.2018.1486552


",29,2018
article,doi:10.1080/17512786.2016.1249004,John Wihbey,10.1080/17512786.2016.1249004," 

https://doi.org/10.1080/17512786.2016.1249004


",Journalism Practice,10,1267--1282,Routledge,Journalists’ Use of Knowledge in an Online World," 

https://doi.org/10.1080/17512786.2016.1249004


",11,2017
article,doi:10.1080/2331186X.2023.2280309,"Arifi Waked, Khadija El Alaoui and Maura A. E. Pilotti",10.1080/2331186X.2023.2280309," 

https://doi.org/10.1080/2331186X.2023.2280309


",Cogent Education,2,2280309,Cogent OA,Second-language writing anxiety and its correlates: A challenge to sustainable education in a post-pandemic world," 

https://doi.org/10.1080/2331186X.2023.2280309


",10,2023
article,doi:10.1080/07380569.2013.878975,"Min Lun Wu, Kari Richards and Guan Kung Saw",10.1080/07380569.2013.878975," 

https://doi.org/10.1080/07380569.2013.878975


",Computers in the Schools,1-2,65--83,Routledge,Examining a Massive Multiplayer Online Role-Playing Game as a Digital Game-Based Learning Platform," 

https://doi.org/10.1080/07380569.2013.878975


",31,2014
article,doi:10.1080/10447318.2020.1861765,"Semra Fiş Erümit, Lokman Şılbır, Ali Kürşat Erümit and Hasan Karal",10.1080/10447318.2020.1861765," 

https://doi.org/10.1080/10447318.2020.1861765


",International Journal of Human–Computer Interaction,11,991--1002,Taylor \& Francis,Determination of Player Types according to Digital Game Playing Preferences: Scale Development and Validation Study," 

https://doi.org/10.1080/10447318.2020.1861765


",37,2021
article,doi:10.1080/15391523.2024.2324958,Hilary K. Y. Ng and Paul L. C. Lam,10.1080/15391523.2024.2324958," 

https://doi.org/10.1080/15391523.2024.2324958


",Journal of Research on Technology in Education,0,1--15,Routledge,"The antecedent, consequences, and importance of students’ learning preference on learning outcomes with the flipped classroom approach: a person-environment fit perspective"," 

https://doi.org/10.1080/15391523.2024.2324958


",0,2024
article,doi:10.1080/15505170.2022.2094510,Rachel Horst and Derek Gladwin,10.1080/15505170.2022.2094510," 

https://doi.org/10.1080/15505170.2022.2094510


",Journal of Curriculum and Pedagogy,1,42--64,Routledge,Multiple futures literacies: An interdisciplinary review," 

https://doi.org/10.1080/15505170.2022.2094510


",21,2024
article,doi:10.1080/1743727X.2016.1219983,Garry Falloon,10.1080/1743727X.2016.1219983," 

https://doi.org/10.1080/1743727X.2016.1219983


",International Journal of Research \& Method in Education,1,53--68,Routledge,Researching students across spaces and places: capturing digital data ‘on the go’," 

https://doi.org/10.1080/1743727X.2016.1219983


",41,2018
article,doi:10.1080/00393541.2020.1738165,"Ryan Patton, Robert W. Sweeny, Ryan Shin and Lilly Lu",10.1080/00393541.2020.1738165," 

https://doi.org/10.1080/00393541.2020.1738165


",Studies in Art Education,2,155--170,Routledge,Teaching Digital Game Design With Preservice Art Educators," 

https://doi.org/10.1080/00393541.2020.1738165


",61,2020
article,doi:10.1080/08878730.2020.1713948,Lori Dassa and Bryan Nichols,10.1080/08878730.2020.1713948," 

https://doi.org/10.1080/08878730.2020.1713948


",The Teacher Educator,3,267--282,Routledge,Making the Move: Empowering Student Teachers as Teacher Researchers," 

https://doi.org/10.1080/08878730.2020.1713948


",55,2020
article,doi:10.1080/10447318.2019.1647665,Yong-Ming Huang,10.1080/10447318.2019.1647665," 

https://doi.org/10.1080/10447318.2019.1647665


",International Journal of Human–Computer Interaction,4,393--402,Taylor \& Francis,Students’ Continuance Intention Toward Programming Games: Hedonic and Utilitarian Aspects," 

https://doi.org/10.1080/10447318.2019.1647665


",36,2020
article,doi:10.1080/14613808.2020.1767558,Yoomee Baek and Kellie Taylor,10.1080/14613808.2020.1767558," 

https://doi.org/10.1080/14613808.2020.1767558


",Music Education Research,3,315--330,Routledge,"Not just composing, but programming music in group robotics"," 

https://doi.org/10.1080/14613808.2020.1767558


",22,2020
article,doi:10.1080/1475939X.2024.2311779,Laura Butler and Louise Starkey,10.1080/1475939X.2024.2311779," 

https://doi.org/10.1080/1475939X.2024.2311779


","Technology, Pedagogy and Education",2,135--148,Routledge,"OK Google, help me learn: an exploratory study of voice-activated artificial intelligence in the classroom"," 

https://doi.org/10.1080/1475939X.2024.2311779


",33,2024
article,doi:10.1080/21670811.2014.985497,Meredith Broussard,10.1080/21670811.2014.985497," 

https://doi.org/10.1080/21670811.2014.985497


",Digital Journalism,6,814--831,Routledge,Artificial Intelligence for Investigative Reporting," 

https://doi.org/10.1080/21670811.2014.985497


",3,2015
article,doi:10.1080/2331186X.2024.2385121,Anthony Sylvester Anning,10.1080/2331186X.2024.2385121," 

https://doi.org/10.1080/2331186X.2024.2385121


",Cogent Education,1,2385121,Cogent OA,"The interconnections between STEM teacher educators’ self-efficacy, job satisfaction and work engagement in Ghana"," 

https://doi.org/10.1080/2331186X.2024.2385121


",11,2024
article,doi:10.1080/00958964.2023.2183173,"Jonathan Jae-an Crisman, Ladd Keith, Ida Sami and Gregg Garfin",10.1080/00958964.2023.2183173," 

https://doi.org/10.1080/00958964.2023.2183173


",The Journal of Environmental Education,3,225--239,Routledge,Designing Chill City: An interactive game supporting public learning about urban planning for extreme heat," 

https://doi.org/10.1080/00958964.2023.2183173


",54,2023
