ENTRYTYPE,ID,author,doi,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/10494820.2022.2158478,George Kalmpourtzis and Margarida Romero,10.1080/10494820.2022.2158478," 

https://doi.org/10.1080/10494820.2022.2158478


",Interactive Learning Environments,,6,2744--2757,Routledge,An affordance-based framework for the design and analysis of learning activities in playful educational robotics contexts," 

https://doi.org/10.1080/10494820.2022.2158478


",32,2024
article,doi:10.1080/1350293X.2020.1735736,Susanna Pöntinen and Sinikka Räty-Záborszky,10.1080/1350293X.2020.1735736," 

https://doi.org/10.1080/1350293X.2020.1735736


",European Early Childhood Education Research Journal,,2,182--196,Routledge,Pedagogical aspects to support students’ evolving digital competence at school," 

https://doi.org/10.1080/1350293X.2020.1735736


",28,2020
article,doi:10.1080/15210960.2022.2127396,"Christina Alston, Fatemeh Mirghassemi and Conra D. Gist",10.1080/15210960.2022.2127396," 

https://doi.org/10.1080/15210960.2022.2127396


",Multicultural Perspectives,,3,138--146,Routledge,A Course in Academic Writing as a Vehicle for Personal Growth and Transformation," 

https://doi.org/10.1080/15210960.2022.2127396


",24,2022
article,doi:10.5408/13-100.1,Carl E. Renshaw,10.5408/13-100.1," 

https://doi.org/10.5408/13-100.1


",Journal of Geoscience Education,,4,668--678,Routledge,Design and Assessment of a Skills-Based Geoscience Curriculum," 

https://doi.org/10.5408/13-100.1


",62,2014
article,doi:10.1007/s10972-014-9380-5,Christine M. Cunningham and William S. Carlsen,10.1007/s10972-014-9380-5," 

https://doi.org/10.1007/s10972-014-9380-5


",Journal of Science Teacher Education,,2,197--210,Routledge,Teaching Engineering Practices," 

https://doi.org/10.1007/s10972-014-9380-5


",25,2014
article,doi:10.1080/02635143.2022.2135498,"Majken Korsager, Kirsten Fiskum, Berit Reitan and Sibel Erduran",10.1080/02635143.2022.2135498," 

https://doi.org/10.1080/02635143.2022.2135498


",Research in Science \& Technological Education,,3,768--783,Routledge,Nature of science in science textbooks for vocational training in Norway," 

https://doi.org/10.1080/02635143.2022.2135498


",42,2024
article,doi:10.1080/10901027.2024.2373847,Marilys Galindo,10.1080/10901027.2024.2373847," 

https://doi.org/10.1080/10901027.2024.2373847


",Journal of Early Childhood Teacher Education,,0,1--13,Taylor \& Francis,Recognition of early childhood professionals’ competencies through a micro-credential program," 

https://doi.org/10.1080/10901027.2024.2373847


",0,2024
article,doi:10.1080/1350293X.2024.2339274,Tuğba Abanoz and Filiz Kalelioğlu,10.1080/1350293X.2024.2339274," 

https://doi.org/10.1080/1350293X.2024.2339274


",European Early Childhood Education Research Journal,,0,1--21,Routledge,Unleashing the potential: illuminating pedagogical strategies employed by early childhood educators in stem education for cultivating algorithmic thinking skills in young learners," 

https://doi.org/10.1080/1350293X.2024.2339274


",0,2024
article,doi:10.1080/15391523.2022.2148785,"Robert L. Moore, Shiyan Jiang and Brian Abramowitz",10.1080/15391523.2022.2148785," 

https://doi.org/10.1080/15391523.2022.2148785


",Journal of Research on Technology in Education,,1,7--20,Routledge,What would the matrix do?: a systematic review of K-12 AI learning contexts and learner-interface interactions," 

https://doi.org/10.1080/15391523.2022.2148785


",55,2023
article,doi:10.1080/23265507.2017.1365623,Noeline Wright and Michael Peters,10.1080/23265507.2017.1365623," 

https://doi.org/10.1080/23265507.2017.1365623


",Open Review of Educational Research,,1,164--176,Routledge,"Sell, sell, sell or learn, learn, learn? The EdTech market in New Zealand’s education system – privatisation by stealth?"," 

https://doi.org/10.1080/23265507.2017.1365623


",4,2017
article,doi:10.1080/09669760.2022.2037076,"Diana Pérez-Marín, Raquel Hijón-Neira and Celeste Pizarro",10.1080/09669760.2022.2037076," 

https://doi.org/10.1080/09669760.2022.2037076


",International Journal of Early Years Education,,4,969--985,Routledge,"Coding in early years education: which factors influence the skills of sequencing and plotting a route, and to what extent?"," 

https://doi.org/10.1080/09669760.2022.2037076


",30,2022
article,doi:10.1080/18117295.2021.1965790,Ayodele Abosede Ogegbo,10.1080/18117295.2021.1965790," 

https://doi.org/10.1080/18117295.2021.1965790


","African Journal of Research in Mathematics, Science and Technology Education",,2,125--136,Routledge,Relationships between High School Teachers’ Understanding and their Reported Practices of Inquiry-based Pedagogy in Science Classrooms in Nigeria," 

https://doi.org/10.1080/18117295.2021.1965790


",25,2021
article,doi:10.1080/18117295.2023.2300019,Joseph A. Isaac and Gina Childers,10.1080/18117295.2023.2300019," 

https://doi.org/10.1080/18117295.2023.2300019


","African Journal of Research in Mathematics, Science and Technology Education",,1,27--43,Routledge,Exploring South African Students’ STEM Self-Efficacy and Attitudes in Non-Formal Learning Experiences," 

https://doi.org/10.1080/18117295.2023.2300019


",28,2024
article,doi:10.1080/0020739X.2011.592612,B.C. Ruiz Jiménez and M. Ruiz Muñoz,10.1080/0020739X.2011.592612," 

https://doi.org/10.1080/0020739X.2011.592612


",International Journal of Mathematical Education in Science and Technology,,6,775--787,Taylor \& Francis,"From recreational mathematics to recreational programming, and back"," 

https://doi.org/10.1080/0020739X.2011.592612


",42,2011
article,doi:10.1080/10511253.2016.1257731,"Karen Burstein, Craig J. Forsyth, Raymond W. Biggar, Sonya Hsu, Steven Dick and Paula Zeanah",10.1080/10511253.2016.1257731," 

https://doi.org/10.1080/10511253.2016.1257731


",Journal of Criminal Justice Education,,3,411--427,Routledge,A Theoretical Model for Preparing Incarcerated Youth for Careers in an Increasingly Technological World: Computational Logic as a Vehicle for Improving Human Decision-making Skills," 

https://doi.org/10.1080/10511253.2016.1257731


",28,2017
article,doi:10.1080/00368121.2020.1850408,"Ramazan Yüceler, Sevgi Aydın-Günbatar and Betül Demirdöğen",10.1080/00368121.2020.1850408," 

https://doi.org/10.1080/00368121.2020.1850408


",Science Activities,,4,154--164,Routledge,Stop bridge collapse: a STEM activity about preventing corrosion of metals," 

https://doi.org/10.1080/00368121.2020.1850408


",57,2020
article,doi:10.1080/00368121.2024.2302990,Ayse Buber,10.1080/00368121.2024.2302990," 

https://doi.org/10.1080/00368121.2024.2302990


",Science Activities,,1,44--55,Routledge,Science and values: Pythagorean Cup of Justice activity," 

https://doi.org/10.1080/00368121.2024.2302990


",61,2024
article,doi:10.1080/10494820.2022.2160470,"Jiahong Su, Yuchun Zhong and Xinyu Chen",10.1080/10494820.2022.2160470," 

https://doi.org/10.1080/10494820.2022.2160470


",Interactive Learning Environments,,6,2848--2861,Routledge,Technology education in early childhood education: a systematic review," 

https://doi.org/10.1080/10494820.2022.2160470


",32,2024
article,doi:10.1080/24758779.2018.12420497,Michael Giamellaro and Kari O’Connell,10.1080/24758779.2018.12420497," 

https://doi.org/10.1080/24758779.2018.12420497


",Connected Science Learning,,6,12420497,Routledge,"Numbers in Nature, Math on the Mountain"," 

https://doi.org/10.1080/24758779.2018.12420497


",1,2018
article,doi:10.1080/02635143.2015.1124848,Kalle Juuti and Jari Lavonen,10.1080/02635143.2015.1124848," 

https://doi.org/10.1080/02635143.2015.1124848


",Research in Science \& Technological Education,,2,204--218,Routledge,How teaching practices are connected to student intention to enrol in upper secondary school physics courses," 

https://doi.org/10.1080/02635143.2015.1124848


",34,2016
article,doi:10.1080/02701367.2024.2313960,,10.1080/02701367.2024.2313960," 

https://doi.org/10.1080/02701367.2024.2313960


",Research Quarterly for Exercise and Sport,,sup1,S3--S12,Routledge,RESEARCH PROGRAM," 

https://doi.org/10.1080/02701367.2024.2313960


",95,2024
article,doi:10.1080/10494820.2022.2057548,Mohamed M. Mostafa,10.1080/10494820.2022.2057548," 

https://doi.org/10.1080/10494820.2022.2057548


",Interactive Learning Environments,,10,6968--6987,Routledge,Three decades of interactive learning environments: a retrospective bibliometric network analysis," 

https://doi.org/10.1080/10494820.2022.2057548


",31,2023
article,doi:10.1080/10494820.2022.2115078,"Hassan Kilavo, Tabu S. Kondo and Feruzi Hassan",10.1080/10494820.2022.2115078," 

https://doi.org/10.1080/10494820.2022.2115078


",Interactive Learning Environments,,3,1159--1170,Routledge,The impact of teaching computer programming in Tanzanian primary schools," 

https://doi.org/10.1080/10494820.2022.2115078


",32,2024
article,doi:10.1080/10494820.2023.2201343,"Di Wu, Huan Li, Sha Zhu, Harrison Hao Yang, Jie Bai, Jinyan Zhao and Kaylee Yang",10.1080/10494820.2023.2201343," 

https://doi.org/10.1080/10494820.2023.2201343


",Interactive Learning Environments,,8,4469--4483,Routledge,Primary students’ online homework completion and learning achievement," 

https://doi.org/10.1080/10494820.2023.2201343


",32,2024
article,doi:10.1080/1475939X.2020.1752296,"Chung-Yuan Hsu, Jyh-Chong Liang and Meng-Jung Tsai",10.1080/1475939X.2020.1752296," 

https://doi.org/10.1080/1475939X.2020.1752296


","Technology, Pedagogy and Education",,3,297--309,Routledge,Probing the structural relationships between teachers’ beliefs about game-based teaching and their perceptions of technological pedagogical and content knowledge of games," 

https://doi.org/10.1080/1475939X.2020.1752296


",29,2020
article,doi:10.1080/19388071.2023.2162207,Stephanie Grote-Garcia and Evan Ortlieb,10.1080/19388071.2023.2162207," 

https://doi.org/10.1080/19388071.2023.2162207


",Literacy Research and Instruction,,1,1--15,Routledge,What’s Hot in Literacy: The Duality of Explicit Instruction \& Cultural And Linguistic Considerations," 

https://doi.org/10.1080/19388071.2023.2162207


",62,2023
