ENTRYTYPE,ID,author,doi,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/09523987.2019.1669876,Ioannis Altanis and Symeon Retalis,10.1080/09523987.2019.1669876," 

https://doi.org/10.1080/09523987.2019.1669876


",Educational Media International,,3,201--217,Routledge,A multifaceted students’ performance assessment framework for motion-based game-making projects with Scratch," 

https://doi.org/10.1080/09523987.2019.1669876


",56,2019
article,doi:10.1080/15391523.2021.1967817,"Oi-Lam Ng, Minnie Liu and Zhihao Cui",10.1080/15391523.2021.1967817," 

https://doi.org/10.1080/15391523.2021.1967817


",Journal of Research on Technology in Education,,3,411--425,Routledge,Students’ in-moment challenges and developing maker perspectives during problem-based digital making," 

https://doi.org/10.1080/15391523.2021.1967817


",55,2023
article,doi:10.1080/08993408.2023.2255058,"Camilo Vieira, J. Chiu and B. Velasquez",10.1080/08993408.2023.2255058," 

https://doi.org/10.1080/08993408.2023.2255058


",Computer Science Education,,0,1--21,Routledge,Towards a learning progression of sequencing and algorithm design for five- and six-years-old children engaging with an educational robot," 

https://doi.org/10.1080/08993408.2023.2255058


",0,2023
article,doi:10.1080/1046560X.2023.2242665,"Erin E. Peters-Burton, Hong H. Tran and Brittany Miller",10.1080/1046560X.2023.2242665," 

https://doi.org/10.1080/1046560X.2023.2242665


",Journal of Science Teacher Education,,3,221--242,Routledge,Design-Based Research as Professional Development: Outcomes of Teacher Participation in the Development of the Science Practices Innovation Notebook (SPIN)," 

https://doi.org/10.1080/1046560X.2023.2242665


",35,2024
article,doi:10.1080/15391523.2023.2232900,"Yi Jin, Shenghua Zha and Janet Cowart",10.1080/15391523.2023.2232900," 

https://doi.org/10.1080/15391523.2023.2232900


",Journal of Research on Technology in Education,,0,1--24,Routledge,In critical need of research-based instructional strategies and assessment: an investigation of ePCR math lesson plans for middle school students," 

https://doi.org/10.1080/15391523.2023.2232900


",0,2023
article,doi:10.1080/1046560X.2022.2035990,Arif Rachmatullah and Eric N. Wiebe,10.1080/1046560X.2022.2035990," 

https://doi.org/10.1080/1046560X.2022.2035990


",Journal of Science Teacher Education,,2,132--156,Routledge,Changes and Sources of Changes of Middle School Teachers’ Self-efficacy for Teaching Science in A Computationally Rich Environment: A Mixed-Methods Study," 

https://doi.org/10.1080/1046560X.2022.2035990


",34,2023
article,doi:10.1080/10494820.2019.1636090,"Hsien-Sheng Hsiao, Yi-Wei Lin, Kuen-Yi Lin, Chien-Yu Lin, Jheng-Han Chen and Jyun-Chen Chen",10.1080/10494820.2019.1636090," 

https://doi.org/10.1080/10494820.2019.1636090


",Interactive Learning Environments,,1,85--99,Routledge,Using robot-based practices to develop an activity that incorporated the 6E model to improve elementary school students’ learning performances," 

https://doi.org/10.1080/10494820.2019.1636090


",30,2022
article,doi:10.1080/07360932.2015.1078737,Panayotis Giannakouros and Lihua Chen,10.1080/07360932.2015.1078737," 

https://doi.org/10.1080/07360932.2015.1078737


",Forum for Social Economics,,1,87--114,Routledge,A problem-solving approach to data analysis for economics," 

https://doi.org/10.1080/07360932.2015.1078737


",47,2018
article,doi:10.1080/08993408.2021.1914461,"Sally A. M. Hogenboom, Felienne F. J. Hermans and Han L. J. Van der Maas",10.1080/08993408.2021.1914461," 

https://doi.org/10.1080/08993408.2021.1914461


",Computer Science Education,,4,418--448,Routledge,Computerized adaptive assessment of understanding of programming concepts in primary school children," 

https://doi.org/10.1080/08993408.2021.1914461


",32,2022
article,doi:10.1080/08993408.2024.2305026,"Meghan M. Parkinson, Seppe Hermans, David Gijbels and Daniel L. Dinsmore",10.1080/08993408.2024.2305026," 

https://doi.org/10.1080/08993408.2024.2305026


",Computer Science Education,,0,1--28,Routledge,Exploring debugging processes and regulation strategies during collaborative coding tasks among elementary and secondary students," 

https://doi.org/10.1080/08993408.2024.2305026


",0,2024
article,doi:10.1080/02568543.2022.2097349,"Jiahong Su, Weipeng Yang and Hui Li",10.1080/02568543.2022.2097349," 

https://doi.org/10.1080/02568543.2022.2097349


",Journal of Research in Childhood Education,,2,341--361,Routledge,"A Scoping Review of Studies on Coding Curriculum in Early Childhood: Investigating Its Design, Implementation, and Evaluation"," 

https://doi.org/10.1080/02568543.2022.2097349


",37,2023
