ENTRYTYPE,ID,author,doi,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/00368148.2020.12291545,Kate Baird and Stephanie Coy,10.1080/00368148.2020.12291545," 

https://doi.org/10.1080/00368148.2020.12291545


",Science and Children,,6,58--63,Routledge,Methods and Strategies: An Expanded Observe-Wonder-Learn," 

https://doi.org/10.1080/00368148.2020.12291545


",57,2020
article,doi:10.1080/19434812.2021.12291679,"Alison Haas, Scott Grapin, Katie Simon, Lorena Llosa and Okhee Lee",10.1080/19434812.2021.12291679," 

https://doi.org/10.1080/19434812.2021.12291679


",Science and Children,,5,74--79,Routledge,Teaching Teachers: Integrating Computational Modeling Into Science Instruction With English Learners," 

https://doi.org/10.1080/19434812.2021.12291679


",58,2021
article,doi:10.1080/24758779.2022.12318661,"Rundong Jiang, Xiaotong Ding, Shannon Sung, Ashley Bulseco and Charles Xie",10.1080/24758779.2022.12318661," 

https://doi.org/10.1080/24758779.2022.12318661


",Connected Science Learning,,2,12318661,Routledge,Data-Driven Science Vlogging for Connected Learning Anywhere," 

https://doi.org/10.1080/24758779.2022.12318661


",4,2022
article,doi:10.1080/00368555.2022.12293671,"Jacob Sagrans, Janice Mokros, Christine Voyer and Meggie Harvey",10.1080/00368555.2022.12293671," 

https://doi.org/10.1080/00368555.2022.12293671


",The Science Teacher,,3,64--69,Routledge,Data Science Meets Science Teaching," 

https://doi.org/10.1080/00368555.2022.12293671


",89,2022
article,doi:10.1080/00368148.2023.12291857,"Meredith Park Rogers, Cindy Hmelo-Silver, Celeste Nicholas, Dionne Cross Francis and Joshua Danish",10.1080/00368148.2023.12291857," 

https://doi.org/10.1080/00368148.2023.12291857


",Science and Children,,3,60--67,Routledge,Teaching Teachers: Learning to Teach with Science Representations," 

https://doi.org/10.1080/00368148.2023.12291857


",60,2023
article,doi:10.1080/1554480X.2024.2388090,Hyo-Jeong So and Matthew Gaydos,10.1080/1554480X.2024.2388090," 

https://doi.org/10.1080/1554480X.2024.2388090


",Pedagogies: An International Journal,,3,456--476,Routledge,Digital games as contexts for problem-based learning in a Korean middle school," 

https://doi.org/10.1080/1554480X.2024.2388090


",19,2024
article,doi:10.1080/0194262X.2022.2116143,Geoffrey P. Timms and Jeffrey R. Guyon,10.1080/0194262X.2022.2116143," 

https://doi.org/10.1080/0194262X.2022.2116143


",Science \& Technology Libraries,,3,371--390,Routledge,From Zero to Python in 10.5 Hours: Building Foundational Programming Skills with Marine Biology Graduate Students and Researchers in an Introductory Workshop Series," 

https://doi.org/10.1080/0194262X.2022.2116143


",42,2023
article,doi:10.1080/0020739X.2018.1480808,Dorit Patkin and Olga Plaksin,10.1080/0020739X.2018.1480808," 

https://doi.org/10.1080/0020739X.2018.1480808


",International Journal of Mathematical Education in Science and Technology,,1,121--140,Taylor \& Francis,Procedural and relational understanding of pre-service mathematics teachers regarding spatial perception of angles in pyramids," 

https://doi.org/10.1080/0020739X.2018.1480808


",50,2019
article,doi:10.1080/01596306.2020.1769937,Cristyne Hébert and Jennifer Jenson,10.1080/01596306.2020.1769937," 

https://doi.org/10.1080/01596306.2020.1769937


",Discourse: Studies in the Cultural Politics of Education,,5,740--761,Routledge,Making in schools: student learning through an e-textiles curriculum," 

https://doi.org/10.1080/01596306.2020.1769937


",41,2020
article,doi:10.1080/08872376.2018.12291125,,10.1080/08872376.2018.12291125," 

https://doi.org/10.1080/08872376.2018.12291125


",Science Scope,,2,108--114,Routledge,NSTA News: Middle Level Opportunities and Resources," 

https://doi.org/10.1080/08872376.2018.12291125


",42,2018
