ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/02783193.2019.1690078,Hsiao-Ping Yu and Enyi Jen,10.1080/02783193.2019.1690078," 

https://doi.org/10.1080/02783193.2019.1690078


",Roeper Review,1,38--48,Routledge,Integrating Nanotechnology in the Science Curriculum for Elementary High-Ability Students in Taiwan: Evidenced-Based Lessons," 

https://doi.org/10.1080/02783193.2019.1690078


",42,2020
article,doi:10.1080/15391523.2020.1865220,Yizhou Qian and James Lehman,10.1080/15391523.2020.1865220," 

https://doi.org/10.1080/15391523.2020.1865220


",Journal of Research on Technology in Education,3,375--391,Routledge,Using an automated assessment tool to explore difficulties of middle school students in introductory programming," 

https://doi.org/10.1080/15391523.2020.1865220


",54,2022
article,doi:10.1080/1554480X.2022.2077338,"Georgie Tarling, Ana Melro, Judith Kleine Staarman and Taro Fujita",10.1080/1554480X.2022.2077338," 

https://doi.org/10.1080/1554480X.2022.2077338


",Pedagogies: An International Journal,4,578--595,Routledge,Making coding meaningful: university students’ perceptions of bootcamp pedagogies," 

https://doi.org/10.1080/1554480X.2022.2077338


",18,2023
article,doi:10.1386/padm.3.1.3\_1,Scott deLahunta and Frédéric Bevilacqua,10.1386/padm.3.1.3\_1," 


https://www.tandfonline.com/doi/pdf/10.1386/padm.3.1.3_1

",International Journal of Performance Arts and Digital Media,1,3--16,Routledge,Sharing descriptions of movement," 


https://www.tandfonline.com/doi/abs/10.1386/padm.3.1.3_1

",3,2007
article,doi:10.1080/07380569.2022.2075163,Yoonhee N. Lee and Meina Zhu,10.1080/07380569.2022.2075163," 

https://doi.org/10.1080/07380569.2022.2075163


",Computers in the Schools,3,274--296,Routledge,Digital Game-Based Learning Can Develop Students’ Literacy Skills and Meet Learning Standards in the US," 

https://doi.org/10.1080/07380569.2022.2075163


",39,2022
article,doi:10.1080/0020739X.2017.1315186,Christopher J. Sangwin and Claire O’Toole,10.1080/0020739X.2017.1315186," 

https://doi.org/10.1080/0020739X.2017.1315186


",International Journal of Mathematical Education in Science and Technology,8,1133--1152,Taylor \& Francis,Computer programming in the UK undergraduate mathematics curriculum," 

https://doi.org/10.1080/0020739X.2017.1315186


",48,2017
article,doi:10.1080/01587919.2024.2400256,Yang Wang,10.1080/01587919.2024.2400256," 

https://doi.org/10.1080/01587919.2024.2400256


",Distance Education,0,1--20,Routledge,The role of teaching presence in students’ behavioral engagement," 

https://doi.org/10.1080/01587919.2024.2400256


",0,2024
article,doi:10.1080/21670811.2014.976411,Nicholas Diakopoulos,10.1080/21670811.2014.976411," 

https://doi.org/10.1080/21670811.2014.976411


",Digital Journalism,3,398--415,Routledge,Algorithmic Accountability," 

https://doi.org/10.1080/21670811.2014.976411


",3,2015
article,doi:10.1080/25726668.2018.1436957,"T. Wambeke, D. Elder, A. Miller, J. Benndorf and R. Peattie",10.1080/25726668.2018.1436957," 

https://doi.org/10.1080/25726668.2018.1436957


",Mining Technology,3,115--130,Taylor \& Francis,Real-time reconciliation of a geometallurgical model based on ball mill performance measurements – a pilot study at the Tropicana gold mine," 

https://doi.org/10.1080/25726668.2018.1436957


",127,2018
article,doi:10.1080/24748668.2021.1951490,"Denise Martin, Peter G. O Donoghue, Jonathan Bradley and Denise McGrath",10.1080/24748668.2021.1951490," 

https://doi.org/10.1080/24748668.2021.1951490


",International Journal of Performance Analysis in Sport,6,845--888,Routledge,Developing a framework for professional practice in applied performance analysis," 

https://doi.org/10.1080/24748668.2021.1951490


",21,2021
