ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1198/tast.2010.09132,Deborah Nolan and Duncan Temple Lang,10.1198/tast.2010.09132," 

https://doi.org/10.1198/tast.2010.09132


",The American Statistician,2,97--107,ASA Website,Computing in the Statistics Curricula," 

https://doi.org/10.1198/tast.2010.09132


",64,2010
article,doi:10.1080/15366367.2016.1251279,Alicia C. Alonzo and Li Ke,10.1080/15366367.2016.1251279," 

https://doi.org/10.1080/15366367.2016.1251279


",Measurement: Interdisciplinary Research and Perspectives,4,119--152,Routledge,Taking Stock: Existing Resources for Assessing a New Vision of Science Learning," 

https://doi.org/10.1080/15366367.2016.1251279


",14,2016
article,doi:10.1080/2331186X.2024.2379712,"Nabil Kamal Al Farra, Shashidhar Belbase, Hassan Tairab, Ahmad Qablan, Maxwell Peprah Opoku and Samir K. Safi",10.1080/2331186X.2024.2379712," 

https://doi.org/10.1080/2331186X.2024.2379712


",Cogent Education,1,2379712,Cogent OA,Impact of using virtual and concrete manipulatives on students’ learning of fractions," 

https://doi.org/10.1080/2331186X.2024.2379712


",11,2024
article,doi:10.1080/00221686.2019.1702595,Christophe Ancey,10.1080/00221686.2019.1702595," 

https://doi.org/10.1080/00221686.2019.1702595


",Journal of Hydraulic Research,1,18--33,IAHR Website,Bedload transport: a walk between randomness and determinism. Part 2. Challenges and prospects," 

https://doi.org/10.1080/00221686.2019.1702595


",58,2020
article,doi:10.1080/0144929X.2018.1458904,"Pedro Manuel Moreno-Marcos, Pedro J. Muñoz-Merino, Carlos Alario-Hoyos, Iria Estévez-Ayres and Carlos Delgado Kloos",10.1080/0144929X.2018.1458904," 

https://doi.org/10.1080/0144929X.2018.1458904


",Behaviour \& Information Technology,10-11,1021--1036,Taylor \& Francis,Analysing the predictive power for anticipating assignment grades in a massive open online course," 

https://doi.org/10.1080/0144929X.2018.1458904


",37,2018
article,doi:10.1080/02635143.2019.1682988,Mi Song Kim,10.1080/02635143.2019.1682988," 

https://doi.org/10.1080/02635143.2019.1682988


",Research in Science \& Technological Education,2,131--155,Routledge,A systematic review of the design work of STEM teachers," 

https://doi.org/10.1080/02635143.2019.1682988


",39,2021
article,doi:10.1080/10447318.2023.2262824,"Nathan Sepich, Mitchell Talyat, Elmin Didic, Michael C. Dorneich and Stephen B. Gilbert",10.1080/10447318.2023.2262824," 

https://doi.org/10.1080/10447318.2023.2262824


",International Journal of Human–Computer Interaction,0,1--16,Taylor \& Francis,Video Game Interface Design Patterns to Facilitate Human-Agent Teaming," 

https://doi.org/10.1080/10447318.2023.2262824


",0,2023
article,doi:10.1080/1046560X.2020.1795576,"Patricia J. Friedrichsen, Li Ke, Troy D. Sadler and Laura Zangori",10.1080/1046560X.2020.1795576," 

https://doi.org/10.1080/1046560X.2020.1795576


",Journal of Science Teacher Education,1,85--106,Routledge,Enacting Co-Designed Socio-Scientific Issues-Based Curriculum Units: A Case of Secondary Science Teacher Learning," 

https://doi.org/10.1080/1046560X.2020.1795576


",32,2021
article,doi:10.1080/13504622.2017.1396289,"Kathryn N. Hayes, Mele Wheaton and Deborah Tucker",10.1080/13504622.2017.1396289," 

https://doi.org/10.1080/13504622.2017.1396289


",Environmental Education Research,1,115--134,Routledge,Understanding teacher instructional change: the case of integrating NGSS and stewardship in professional development," 

https://doi.org/10.1080/13504622.2017.1396289


",25,2019
article,doi:10.1080/15391523.2023.2170932,Evrim Baran and Dana AlZoubi,10.1080/15391523.2023.2170932," 

https://doi.org/10.1080/15391523.2023.2170932


",Journal of Research on Technology in Education,5,496--514,Routledge,Design thinking in teacher education: Morphing preservice teachers’ mindsets and conceptualizations," 

https://doi.org/10.1080/15391523.2023.2170932


",56,2024
