ENTRYTYPE,ID,author,doi,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/02188791.2022.2083581,Pengjin Wang and James Ko,10.1080/02188791.2022.2083581," 

https://doi.org/10.1080/02188791.2022.2083581


",Asia Pacific Journal of Education,0,1--16,Routledge,ICT competency and practicum of preservice teachers as digital natives: a mixed-method study," 

https://doi.org/10.1080/02188791.2022.2083581


",0,2022
article,doi:10.1080/09500693.2017.1340688,"Jennifer L. Maeng, Brooke A. Whitworth, Amanda L. Gonczi, Shannon L. Navy and Lindsay B. Wheeler",10.1080/09500693.2017.1340688," 

https://doi.org/10.1080/09500693.2017.1340688


",International Journal of Science Education,11,1529--1548,Routledge,Elementary science teachers’ integration of engineering design into science instruction: results from a randomised controlled trial," 

https://doi.org/10.1080/09500693.2017.1340688


",39,2017
article,doi:10.1080/15391523.2022.2134236,Matthew L. Wilson,10.1080/15391523.2022.2134236," 

https://doi.org/10.1080/15391523.2022.2134236


",Journal of Research on Technology in Education,3,291--313,Routledge,"Topics, author profiles, and collaboration networks in the Journal of Research on Technology in Education: A bibliometric analysis of 20 years of research"," 

https://doi.org/10.1080/15391523.2022.2134236


",56,2024
article,doi:10.1080/15391523.2024.2398502,"Jessica Blake-West, Ghaida Alrawashdeh and Marina Bers",10.1080/15391523.2024.2398502," 

https://doi.org/10.1080/15391523.2024.2398502


",Journal of Research on Technology in Education,0,1--20,Routledge,Validating a Creative Coding Rubric through expressive activities for elementary grades," 

https://doi.org/10.1080/15391523.2024.2398502


",0,2024
article,doi:10.1080/21548455.2018.1492758,"Sarah J. Ward, Rebecca M. Price, Katie Davis and Gregory J. Crowther",10.1080/21548455.2018.1492758," 

https://doi.org/10.1080/21548455.2018.1492758


","International Journal of Science Education, Part B",4,307--324,Routledge,Songwriting to learn: how high school science fair participants use music to communicate personally relevant scientific concepts," 

https://doi.org/10.1080/21548455.2018.1492758


",8,2018
article,doi:10.1080/00094056.2016.1208008,Eugene Geist,10.1080/00094056.2016.1208008," 

https://doi.org/10.1080/00094056.2016.1208008


",Childhood Education,4,298--304,Routledge,"Robots, Programming and Coding, Oh My!"," 

https://doi.org/10.1080/00094056.2016.1208008


",92,2016
article,doi:10.1080/00368555.2022.12293738,James Newland and Sissy S. Wong,10.1080/00368555.2022.12293738," 

https://doi.org/10.1080/00368555.2022.12293738


",The Science Teacher,2,50--55,Routledge,Visualize Your Pulse with Physical Computing," 

https://doi.org/10.1080/00368555.2022.12293738


",90,2022
article,doi:10.1080/19434812.2019.12292386,Kimberly Lott and Sarah Clark,10.1080/19434812.2019.12292386," 

https://doi.org/10.1080/19434812.2019.12292386


",Science and Children,1,68--73,Routledge,Teaching Teachers: No Time for Science?," 

https://doi.org/10.1080/19434812.2019.12292386


",57,2019
article,doi:10.2505/4/sc19\_057\_02\_80,"Hagit Mano, Kathleen Molina, Alissa Lange and Irena Nayfeld",10.2505/4/sc19\_057\_02\_80," 

https://doi.org/10.2505/4/sc19_057_02_80


",Science and Children,2,80--84,Routledge,Engineering Encounters: Planting the Seeds of Engineering," 

https://doi.org/10.2505/4/sc19_057_02_80


",57,2019
article,doi:10.1080/00368555.2023.12294211,"Miles Nancy, Houseal Ana, Bowen Chris, Carlson Sarah, Walker Claudia, Schatz Dennis, Royce Christine and Morrison Katie",10.1080/00368555.2023.12294211," 

https://doi.org/10.1080/00368555.2023.12294211


",The Science Teacher,3,69--76,Routledge,Outstanding Science Trade Books 2023," 

https://doi.org/10.1080/00368555.2023.12294211


",90,2023
article,doi:10.1080/03054985.2020.1750358,"Susan Edwards, Ana Mantilla, Susan Grieshaber, Joce Nuttall and Elizabeth Wood",10.1080/03054985.2020.1750358," 

https://doi.org/10.1080/03054985.2020.1750358


",Oxford Review of Education,5,637--660,Routledge,"Converged play characteristics for early childhood education: multi-modal, global-local, and traditional-digital"," 

https://doi.org/10.1080/03054985.2020.1750358


",46,2020
article,doi:10.1080/03057267.2020.1755802,"Miwa A. Takeuchi, Pratim Sengupta, Marie-Claire Shanahan, Jennifer D. Adams and Maryam Hachem",10.1080/03057267.2020.1755802," 

https://doi.org/10.1080/03057267.2020.1755802


",Studies in Science Education,2,213--253,Routledge,Transdisciplinarity in STEM education: a critical review," 

https://doi.org/10.1080/03057267.2020.1755802


",56,2020
article,doi:10.1080/23743670.2024.2355521,Rachel Flamenbaum,10.1080/23743670.2024.2355521," 

https://doi.org/10.1080/23743670.2024.2355521


",African Journalism Studies,0,1--18,Routledge,Teaching Tech by Rote: Socialization into Digital Literacies in a Ghanaian Classroom," 

https://doi.org/10.1080/23743670.2024.2355521


",0,2024
article,doi:10.1080/00368148.2023.12291854,,10.1080/00368148.2023.12291854," 

https://doi.org/10.1080/00368148.2023.12291854


",Science and Children,3,43--50,Routledge,Outstanding Science Trade Books," 

https://doi.org/10.1080/00368148.2023.12291854


",60,2023
article,doi:10.1080/09528130802319318,Shimon Edelman,10.1080/09528130802319318," 

https://doi.org/10.1080/09528130802319318


",Journal of Experimental \& Theoretical Artificial Intelligence,3,257--264,Taylor \& Francis,"A swan, a pike, and a crawfish walk into a bar"," 

https://doi.org/10.1080/09528130802319318


",20,2008
article,doi:10.1080/00958964.2021.1949569,"Samantha Lindgren, Kristi Morris and Amanda Price",10.1080/00958964.2021.1949569," 

https://doi.org/10.1080/00958964.2021.1949569


",The Journal of Environmental Education,4,239--255,Routledge,Designing environmental storylines to achieve the complementary aims of environmental and science education through science and engineering practices," 

https://doi.org/10.1080/00958964.2021.1949569


",52,2021
article,doi:10.1080/17512786.2017.1299032,Ester Appelgren,10.1080/17512786.2017.1299032," 

https://doi.org/10.1080/17512786.2017.1299032


",Journalism Practice,3,308--325,Routledge,An Illusion of Interactivity," 

https://doi.org/10.1080/17512786.2017.1299032


",12,2018
article,doi:10.1080/08993408.2020.1863705,Marcelo Worsley and David Bar-El,10.1080/08993408.2020.1863705," 

https://doi.org/10.1080/08993408.2020.1863705


",Computer Science Education,2,155--187,Routledge,Inclusive Making: designing tools and experiences to promote accessibility and redefine making," 

https://doi.org/10.1080/08993408.2020.1863705


",32,2022
article,doi:10.1080/00368555.2019.12293442,"Jennifer Taylor, Lara Thomas, William Penuel and Susan Sullivan",10.1080/00368555.2019.12293442," 

https://doi.org/10.1080/00368555.2019.12293442


",The Science Teacher,1,42--48,Routledge,Food Fight!," 

https://doi.org/10.1080/00368555.2019.12293442


",87,2019
article,doi:10.1080/0047231X.2022.12315659,"Jeffrey Radloff, Brenda Capobianco, Jessica Weller, Sanjay Rebello, David Eichinger and Kendra Erk",10.1080/0047231X.2022.12315659," 

https://doi.org/10.1080/0047231X.2022.12315659


",Journal of College Science Teaching,1,3--5,Routledge,Aligning Undergraduate Science Curricula With Three-Dimensional Learning," 

https://doi.org/10.1080/0047231X.2022.12315659


",52,2022
article,doi:10.1080/00368555.2021.12293623,"Lucinda Hemmick, Dame Forbes, Robert Bolen, Mary Kroll, Dianna Gobler, John Halloran, Vivian Stojanoff and Aleida Perez",10.1080/00368555.2021.12293623," 

https://doi.org/10.1080/00368555.2021.12293623


",The Science Teacher,6,38--44,Routledge,Collaboration Crushes Competition!," 

https://doi.org/10.1080/00368555.2021.12293623


",88,2021
article,doi:10.1080/02723638.2016.1178479,Alan Wiig and Elvin Wyly,10.1080/02723638.2016.1178479," 

https://doi.org/10.1080/02723638.2016.1178479


",Urban Geography,4,485--493,Routledge,Introduction: Thinking through the politics of the smart city," 

https://doi.org/10.1080/02723638.2016.1178479


",37,2016
article,doi:10.1080/00219266.2020.1720772,Joel I. Cohen,10.1080/00219266.2020.1720772," 

https://doi.org/10.1080/00219266.2020.1720772


",Journal of Biological Education,5,518--527,Routledge,"Applications of microscopy in science education: gifted youth, public school, and the next-generation science standards (NGSS)"," 

https://doi.org/10.1080/00219266.2020.1720772


",55,2021
article,doi:10.1080/00368148.2022.12290948,,10.1080/00368148.2022.12290948," 

https://doi.org/10.1080/00368148.2022.12290948


",Science and Children,3,69--76,Routledge,Outstanding Science Trade Books," 

https://doi.org/10.1080/00368148.2022.12290948


",59,2022
article,doi:10.1080/00368555.2022.12293673,"Lisa Felske, Martha Inouye, Melissa Parks, Chris Bowen, Sarah Carlson, Claudia Walker, Dennis Schatz, Christine Royce and Katie Morrison",10.1080/00368555.2022.12293673," 

https://doi.org/10.1080/00368555.2022.12293673


",The Science Teacher,3,81--88,Routledge,Outstanding Science Trade Books 2021," 

https://doi.org/10.1080/00368555.2022.12293673


",89,2022
article,doi:10.1080/00405841.2017.1350494,Erika Mein and Alberto Esquinca,10.1080/00405841.2017.1350494," 

https://doi.org/10.1080/00405841.2017.1350494


",Theory Into Practice,4,282--290,Routledge,The Role of Bilingualism in Shaping Engineering Literacies and Identities," 

https://doi.org/10.1080/00405841.2017.1350494


",56,2017
article,doi:10.1080/19434812.2019.12292383,"Daniel Edelen, Sarah B. Bush and Megan Nickels",10.1080/19434812.2019.12292383," 

https://doi.org/10.1080/19434812.2019.12292383


",Science and Children,1,44--50,Routledge,Transcending Boundaries," 

https://doi.org/10.1080/19434812.2019.12292383


",57,2019
article,doi:10.1007/s10972-016-9478-z,Allison Antink-Meyer and Daniel Z. Meyer,10.1007/s10972-016-9478-z," 

https://doi.org/10.1007/s10972-016-9478-z


",Journal of Science Teacher Education,6,625--647,Routledge,Science Teachers’ Misconceptions in Science and Engineering Distinctions: Reflections on Modern Research Examples," 

https://doi.org/10.1007/s10972-016-9478-z


",27,2016
article,doi:10.1080/10899995.2020.1838848,"Devarati Bhattacharya, Kimberly Carroll Steward and Cory T. Forbes",10.1080/10899995.2020.1838848," 

https://doi.org/10.1080/10899995.2020.1838848


",Journal of Geoscience Education,3,223--247,Routledge,Empirical research on K-16 climate education: A systematic review of the literature," 

https://doi.org/10.1080/10899995.2020.1838848


",69,2021
article,doi:10.1080/10494820.2024.2310135,"Ahmed Tlili, Michael Agyemang Adarkwah, Soheil Salha, Juan Garzón, Kinshuk and Daniel Burgos",10.1080/10494820.2024.2310135," 

https://doi.org/10.1080/10494820.2024.2310135


",Interactive Learning Environments,0,1--23,Routledge,The effect of educational mobile games on learning performance: a meta-analysis and research synthesis," 

https://doi.org/10.1080/10494820.2024.2310135


",0,2024
article,doi:10.1080/00368121.2014.931270,Steven L. Babcock and Sophie Warny,10.1080/00368121.2014.931270," 

https://doi.org/10.1080/00368121.2014.931270


",Science Activities,4,116--128,Routledge,Forensic Palynology as Classroom Inquiry," 

https://doi.org/10.1080/00368121.2014.931270


",51,2014
article,doi:10.1080/0047231X.2020.12290662,Ozden Sengul,10.1080/0047231X.2020.12290662," 

https://doi.org/10.1080/0047231X.2020.12290662


",Journal of College Science Teaching,6,30--35,Routledge,Qualitative Analysis of Ray Optics in a College Physics Laboratory: A 5E Lesson," 

https://doi.org/10.1080/0047231X.2020.12290662


",49,2020
article,doi:10.1080/14703297.2022.2130393,"Tian Luo, Karina Arcaute and Pauline Salim Muljana",10.1080/14703297.2022.2130393," 

https://doi.org/10.1080/14703297.2022.2130393


",Innovations in Education and Teaching International,6,836--847,SRHE Website,Integrating inquiry-based learning into engineering education: A case study," 

https://doi.org/10.1080/14703297.2022.2130393


",60,2023
article,doi:10.1007/s10972-016-9448-5,"Kathryn N. Hayes, Christine S. Lee, Rachelle DiStefano, Dawn O’Connor and Jeffery C. Seitz",10.1007/s10972-016-9448-5," 

https://doi.org/10.1007/s10972-016-9448-5


",Journal of Science Teacher Education,2,137--164,Routledge,Measuring Science Instructional Practice: A Survey Tool for the Age of NGSS," 

https://doi.org/10.1007/s10972-016-9448-5


",27,2016
article,doi:10.1080/10494820.2022.2115077,"Zehui Zhan, Yao Tong, Xixin Lan and Baichang Zhong",10.1080/10494820.2022.2115077," 

https://doi.org/10.1080/10494820.2022.2115077


",Interactive Learning Environments,3,1137--1158,Routledge,A systematic literature review of game-based learning in Artificial Intelligence education," 

https://doi.org/10.1080/10494820.2022.2115077


",32,2024
article,doi:10.1080/10691898.2020.1854637,"Philipp Burckhardt, Rebecca Nugent and Christopher R. Genovese",10.1080/10691898.2020.1854637," 

https://doi.org/10.1080/10691898.2020.1854637


",Journal of Statistics and Data Science Education,sup1,S61--S73,Taylor \& Francis,Teaching Statistical Concepts and Modern Data Analysis With a Computing-Integrated Learning Environment," 

https://doi.org/10.1080/10691898.2020.1854637


",29,2021
article,doi:10.1080/09500693.2023.2298214,"Jessica Sickler, Michelle Lentzner, Lynn T. Goldsmith, Lauren Brase and Randall Kochevar",10.1080/09500693.2023.2298214," 

https://doi.org/10.1080/09500693.2023.2298214


",International Journal of Science Education,16,1736--1756,Routledge,Reasoning about data in elementary school: student strategies and strengths when reasoning with multiple variables," 

https://doi.org/10.1080/09500693.2023.2298214


",46,2024
article,doi:10.1080/15391523.2023.2221870,Tugba Boz and Martha Allexsaht-Snider,10.1080/15391523.2023.2221870," 

https://doi.org/10.1080/15391523.2023.2221870


",Journal of Research on Technology in Education,0,1--19,Routledge,Implementing and sustaining coding and robotics practices in rural elementary school districts: an activity theory perspective," 

https://doi.org/10.1080/15391523.2023.2221870


",0,2023
article,doi:10.1080/00368121.2014.915792,"Ying-Chih Chen, Jia-Ling Lin and Yen-Ting Chen",10.1080/00368121.2014.915792," 

https://doi.org/10.1080/00368121.2014.915792


",Science Activities,3,78--88,Routledge,Teaching Scientific Core Ideas through Immersing Students in Argument: Using Density as an Example," 

https://doi.org/10.1080/00368121.2014.915792


",51,2014
article,doi:10.1080/08872376.2022.12291461,"Lisa Felske, Martha Inouye, Melissa Parks, Chris Bowen, Sarah Carlson, Claudia Walker, Dennis Schatz, Christine Royce and Katie Morrison",10.1080/08872376.2022.12291461," 

https://doi.org/10.1080/08872376.2022.12291461


",Science Scope,3,65--72,Routledge,Outstanding Science Trade Books," 

https://doi.org/10.1080/08872376.2022.12291461


",45,2022
