"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Bluetooth Communications in Educational Robotics","M. Oprea; M. Mocanu","University Politehnica of Bucharest, Calarasi, Romania; Computer Department, Faculty of Automatic Control and Computer Science, University Politehnica of Bucharest, Bucharest, Romania",2021 23rd International Conference on Control Systems and Computer Science (CSCS),"26 Jul 2021","2021","","","408","413","In a world in a continuous and rapid change, it is absolutely necessary for our students to keep up with the rapid progress of new technologies: Internet of Things (IoT), Robotics, Artificial Intelligence (AI), Virtual Reality (VR), Augmented Reality (AR) etc. The rapid evolution and diversification of these emerging technologies has recently led to their introduction into the educational offer of the school curriculum for the gymnasium. The discipline of Information and Communication Technology (ICT) has already been implemented, a discipline that involves both the formation of skills to use new technologies and the formation of computational thinking necessary for the efficient and intelligent use of these technologies. In order to teach and learn Physics from a STEM (Science, Technology, Engineering and Mathematics) educational perspective, we initiated optional school courses of IoT, Robotics and AI (approached through Machine Learning). These courses stimulate, at the level of students, computational thinking, creativity and innovation and lead, from an interdisciplinary perspective, to the development of emerging specializations such as Mathematics-Physics-Automation, Mathematics-Physics-Electronics, Mathematics-Physics-Informatics-Robotics etc. In this paper we presented a method of approaching, in the school educational space, the study of wireless communication technologies between smart devices, through an Educational Robotics project. The project consisted of creating a wireless controlled mobile robotic platform (robot car) via a Bluetooth module connected to an Arduino Uno board.","2379-0482","978-1-6654-3939-8","10.1109/CSCS52396.2021.00073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9481012","wireless communication;Arduino Uno;Bluetooth module HC-05;joystick;motor driver L298N","Bluetooth;Robot kinematics;Microwave communication;Microwave amplifiers;Information and communication technology;Internet of Things;Smart devices","","5","","9","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Tracking Representational Flexibility Development through Speech Data Mining","F. Ke; J. Moon; Z. Sokolikj","Department of Educational Psychology and Learning Systems, Florida State University, Tallahassee, United States; Department of Educational Psychology and Learning Systems, Florida State University, Tallahassee, United States; Department of Scientific Computing, Florida State University, Tallahassee, United States",2020 IEEE Frontiers in Education Conference (FIE),"4 Dec 2020","2020","","","1","4","In this work-in-progress research we exploited and investigated a virtual reality (VR) based, flexibility learning environment (FLE) in which adolescents with autism use, customize, and design an assortment of simulation games that represent and exemplify the application of forces and Newton's laws of motion. The simulation/game modeling and making tasks acted as the primers of practicing and assessing representational flexibility in solving the engineering design problems with computational thinking. The participants' participation behaviors and verbal utterances during the intervention sessions have been archived via screen and webcam recordings. The current study findings indicated that two approaches of speech or text data mining, multi-label classification and similarity index, can act as the in-situ performance assessment methods to evaluate the representational flexibility development for engineering design and computational thinking of a heterogeneous learner group.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9273818","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9273818","educational data mining;representational flexibility;learning by making;virtual reality","Task analysis;Autism;Solid modeling;Data models;Data mining;Training;Indexes","","3","","23","IEEE","4 Dec 2020","","","IEEE","IEEE Conferences"
"Providing Equitable Access to Computing Education in Mississippi","S. Lee; J. Ivy; A. Stamps","Computer Science & Engineering, Mississippi State University, Mississippi State, MS, USA; Annsley Frazier Thornton School of Education, Bellarmine Univeristy, Louisville, KY, USA; Computer Science & Engineering, Mississippi State University, Mississippi State, MS, USA","2019 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","10 Feb 2020","2019","","","1","4","To maintain competitiveness as a nation, the United States must broaden participation in computing education and career pathways. Integrating computational thinking and computer science in K-12 classrooms is becoming increasingly essential to the development of a responsible and innovative workforce. Further, with increased recognition of the need for computing competency, workforce development programs that target the emerging workforce that may not be on a college pathway and those citizens who want to retool for the digital economy are also essential. This study examines work by researchers and practitioners in Mississippi to engage all public school students and the workforce with computational thinking, computer science concepts, and cybersecurity, providing pathways for learning that make computing education accessible for all citizens. The state of Mississippi has the lowest median wage in the nation, and one of the lowest rates of STEM employment. With half of the public school children identified as African American, and half of them female, there is much opportunity for broadening participation in computing. Assessments from a K-12 teacher professional development programs will be discussed, in addition to outcomes from one year of a workforce development program.","","978-1-7281-0821-6","10.1109/RESPECT46404.2019.8985981","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8985981","computer science;K-12;workforce development","","","2","","14","IEEE","10 Feb 2020","","","IEEE","IEEE Conferences"
"Construction of virtual-actual fusion experiment platform: Exploration of University Computer reform in local college","Z. Y. Jun; Z. C. Ying","College of Science, North China University of Science and Technology, Tangshan, China; College of Science, North China University of Science and Technology, Tangshan, China",2015 10th International Conference on Computer Science & Education (ICCSE),"10 Sep 2015","2015","","","789","793","Based on present situation analysis of University Computer Foundation Course facing reformation in local college, for the purpose of training computational thinking ability, this paper integrates virtual experiment system into practice teaching link and constructs Virtual-Actual fusion experiment platform. It consists of four parts, such as virtual experiment platform, practical platform, network platform and comprehensive test platform. The platform provides much and enough practice training in the class and outclass for the students, trains computational thinking ability, meanwhile, improves application skills and innovative quality.","","978-1-4799-6600-4","10.1109/ICCSE.2015.7250352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7250352","University Computer;Virtual-Actual fusion;experiment platform;reform","Computers;Training;Software;Encoding;Hardware;Computational modeling","","1","","6","IEEE","10 Sep 2015","","","IEEE","IEEE Conferences"
"Introducing the practices for adopting the constructivist teaching in game engineering","P. H. F. Ng","Department of Computing, The Hong Kong Polytechnic University, Hong Kong",2017 IEEE Global Engineering Education Conference (EDUCON),"8 Jun 2017","2017","","","1636","1643","In this paper, we are going to present our solid experience in applying constructivism to teach computational thinking and game engineering. Fifty undergraduate students have created nine game based learning applications for a special school in two semesters. This special school caters to children who are severely mentally handicapped, and their day-to-day training consists of repetitive tasks that are designed to help them to express their needs to a certain degree. We will present (1) our timeline and detailed setting of our course which is different from traditional lecture setting. (2) the way to provide situated learning which helps our students to develop better, larger and more linked information. (3) the ways to provide constructivist teaching which helps our students to construct the knowledge of computational thinking and game engineering, so that it can improve their products and have a better interaction with the real world.","2165-9567","978-1-5090-5467-1","10.1109/EDUCON.2017.7943068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943068","Constructivist teaching;game engineering","Games;Computational modeling;Prototypes;Mathematical model;Training;Computer science","","1","","14","IEEE","8 Jun 2017","","","IEEE","IEEE Conferences"
"Learning Java in a New York City immigrant engineer retraining program","S. Schmeelk; F. Fontaine; L. Ackerman; A. Aho","Pace University, Seidenberg School of Computer Science and Information Systems, New York, New York; Cooper Union, Albert Nerken School of Engineering, New York, New York; CAMBA Brooklyn, New York; Computer Science Department, Columbia University, New York, New York",2017 IEEE Frontiers in Education Conference (FIE),"14 Dec 2017","2017","","","1","7","This research explores the psychology of programming and the pedagogical environment in a certificate granting urban immigrant engineer retraining program in New York City. The program is aimed at teaching under-represented immigrant engineer students to learn how to program in the Java programming language. The programming concepts and the fostered pedagogical environment were implemented in three-hour evening sessions over 15 weeks in which the students were encouraged to develop programming communities while working on computational thinking concept strands. The research findings that we report are threefold. First, we report on how we fostered building programming concepts into the curriculum into a set of activities specifically designed for an immigrant engineer retraining program with students ranging in backgrounds. We found that at that the program curriculum must be flexible enough for student learning regardless of the fact that a student may miss sessions. Second, we report on how an effective pedagogical environment, which fosters student-centered learning, was promoted so that the students could construct their own meanings of the programming concepts. Third, we report on implementation strategies unique to a retraining program, such as specific environmental constraints as well as how sessions were partitioned into components that fostered computational thinking while learning Java. Our findings provide unique insights into intervention constraints for an urban retraining program which can be used to guide and inform further retraining computer learning program research.","","978-1-5090-5920-1","10.1109/FIE.2017.8190558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190558","","Java;Education;Programming profession;Urban areas","","1","","44","IEEE","14 Dec 2017","","","IEEE","IEEE Conferences"
"Enculturation of Students to Engineering and COVID's Impact Associated","N. V. Mendoza Diaz; A. M. Esparza; K. E. Rambo-Hernandez; B. Nepal","Dept. of Engineering Technology and Industrial Distribution, Texas A&M University, College Station, TX, USA; Dept. of Teaching Learning, and Culture, Texas A&M University, College Station, TX, USA; Dept. of Teaching Learning, and Culture, Texas A&M University, College Station, TX, USA; Dept. of Engineering Technology and Industrial Distribution, Texas A&M University, College Station, TX, USA",2023 IEEE Frontiers in Education Conference (FIE),"5 Jan 2024","2023","","","1","5","Enculturation to engineering is a topic of interest to professional organizations such as ASEE or IEEE. Enculturation can be understood as the process by which students are assimilated into the engineering culture. This culture involves the base knowledge, practices, and values shared by the community of practicing engineers. Both the culture and its assimilation are somewhat obscure and often attributed to role-modeling and hidden curriculum. Nevertheless, undergraduate students are expected to undergo this assimilation process, and by the end of a five-year program, they behave, talk, and do what engineers do. An approach to this process is the well-established model of engineering identity. This model of identity, however, limits its scope to the intrinsic process occurring in the student without paying much attention to the support systems expected to welcome and nurture students into the profession. Enculturation is a relatively new model that proposes both intrinsic and extrinsic factors affecting this assimilation of students. During the Spring of 2022, a team of researchers at a U.S. Southwest institution applied a survey to operationalize the extrinsic factors of a recently outlined engineering model of enculturation to understand the impact of COVID on engineering students. Eight Likert-based questions were asked to 534 engineering undergraduate students at different school year classifications (e.g., sophomore, junior, or senior). The model of enculturation tested eight extrinsic factors involving (1) engineering design, (2) teamwork, (3) engineering profession, (4) ethics, (5) engineering communications, (6) mathematical/physical modeling, (7) problem-solving, and (8) algorithmic/computational thinking. Additional Likert-based questions asked students about the perceived impact of COVID on their educational experience. The research questions guiding their investigation were: (a) How are the dimensions of enculturation to engineering changing across engineering undergraduate classifications?, and (b) How is enculturation associated with the COVID impact on students? Preliminary results show that six of the factors (namely 1–5 and 7) increase by students' school classification. This means that students in the lower years of their undergraduate program perceive their enculturation, as portrayed by factors 1–5 & 7, less than students at more advanced stages of their program. In terms of the perceived impact of COVID, only two factors showed negative correlations with this perceived impact The factors were ethics and algorithmic/computational thinking. In other words, the worse the student's perception of COVID's impact on their educational experience, the less they endorsed their enculturation in the impact of society of their technical solutions and their use of programming languages. While these results show encouraging applicability of the enculturation model, it can only be considered a first approach to a more fully developed model. The researchers expect to engage the FIE community in a discussion leading to a more refined enculturation model.","2377-634X","979-8-3503-3642-9","10.1109/FIE58773.2023.10343256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10343256","Enculturation to engineering;COVID impact;curriculum","COVID-19;Surveys;Knowledge engineering;Ethics;Organizations;Mathematical models;Teamwork","","","","13","USGov","5 Jan 2024","","","IEEE","IEEE Conferences"
"Effectiveness of Metaphors in Problem Based Learning","P. Hegade; Aryan; A. Shettar","School of Computer Science and Engineering, KLE Technolgical University, Hubli, India; School of Computer Science and Engineering, KLE Technolgical University, Hubli, India; Department of Civil Engineering, KLE Technolgical University, Hubli, India",2023 2nd Edition of IEEE Delhi Section Flagship Conference (DELCON),"23 May 2023","2023","","","1","6","The paradigm of education has undergone a significant transition from traditional teacher-directed instruction to student-centered problem-based learning. In various contexts, problem-based learning, computational thinking, and metaphor-based learning approaches have been used to deliver an efficacious learning of the concept. This paper puts forward a model and its usage to build metaphor based case studies directing towards cognitive thinking, self-directed learning and lifelong learning. The model directly influences on the problem solving thought process. The paper further presents a case study on application of this model and its effectiveness validated through the embedded design method. The method appears to be effective in from model analysis and feedback collected. This directly connects to the pattern recognition paradigm of the computational thinking process.","","979-8-3503-2206-4","10.1109/DELCON57910.2023.10127310","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10127310","design;metaphors;pattern recognition;problem based learning","Analytical models;Computational modeling;IEEE Sections;Design methodology;Buildings;Education;Pattern recognition","","","","31","IEEE","23 May 2023","","","IEEE","IEEE Conferences"
"New Informatics curriculum — Croatian tradition with world trends","L. Kralj","OŠ Veliki Bukovec, Udruga “Suradnici u ucenju”, Croatia","2016 39th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","28 Jul 2016","2016","","","760","763","Croatian curriculum reform started in February 2015 as one of measures in Strategy for education, science and technology. During first phase of curriculum reform 55 documents were created - for all levels of pre-tertiary education, all subjects, cross curricular topics and frameworks for assessment, special education and gifted education. One of subject curriculum document is for subject Informatics whose authors are: Predrag Brođanac, Nikolina Bubica, Lidija Kralj, Zlatka Markučič, Marina Mirković, Maristela Rubić and Darka Sudarević with support: Antonela Czwyk Maric, Viktorija HrZica and Branka Vuk. Aims of subject Informatics are to enable students to become digitally literate, to develop computational thinking, digital wisdom, critical thinking and use technology effectively, responsibly and respectfully. In order to reach that aims curriculum of Informatics is organized in four domains: Information and digital technologies, Computational thinking and programming, Digital literacy and communication and E-society.","","978-953-233-086-1","10.1109/MIPRO.2016.7522242","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7522242","","Algorithm design and analysis;Education;Informatics;Computer languages;Programming profession;Computers","","","","1","","28 Jul 2016","","","IEEE","IEEE Conferences"
"A flexible and systematic teaching framework to develop cognitive skills through programming courses","R. Gacitúa; M. Diéguez; J. Díaz; S. Sepúlveda","Departamento de Ciencias de la Computación e Informática, Universidad de La Frontera, Temuco, Chile; Departamento de Ciencias de la Computación e Informática, Universidad de La Frontera, Temuco, Chile; Departamento de Ciencias de la Computación e Informática, Universidad de La Frontera, Temuco, Chile; Departamento de Ciencias de la Computación e Informática, Universidad de La Frontera, Temuco, Chile",2019 38th International Conference of the Chilean Computer Science Society (SCCC),"23 Jan 2020","2019","","","1","8","Computer programming has become an increasingly cross-cutting theme and is no longer considered just a specialized subject. In some countries, the inclusion of this subject in the curricula of the basic cycles of their educational systems has been provided for, because it is recognized that programming promotes computational thinking which allows cognitive development of students. In Chile, the Universidad de La Frontera established that an initial programming course is given to all the Engineering degrees. Unfortunately, studies have shown that students are not achieving the competencies defined by the computational thinking approach. This research paper presents a flexible and systematic teaching framework for developing cognitive skills in programming courses. This framework considers the use of a systematic methodology of teaching programming, which focuses on the process of building solutions over the product; using electronic programmable devices; and sets of pre-defined exercises appropriate to various domains of the engineering area.","1522-4902","978-1-7281-5613-2","10.1109/SCCC49216.2019.8966409","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8966409","Cognitive skills;Teaching-learning;R&G Methodology;Computer programming","Programming profession;Systematics;Education;Software;Computational modeling;Internet of Things","","","","","IEEE","23 Jan 2020","","","IEEE","IEEE Conferences"
