"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Introducing Computational Thinking in Middle-Schools using a Culturally-responsive Game through a Researcher-Practitioner Partnership","I. Villanueva-Miranda; K. Mortimer; M. Akbar; R. R. Reyes; C. Ontiveros; S. Gray; P. Delgado; V. Medrano; M. Anderson; J. Ramirez; J. Vazquez","Department of Computer Science, University of Texas at El Paso, El Paso, Texas, United States; Department of Teacher Education, University of Texas at El Paso, El Paso, Texas, United States; Department of Computer Science, University of Texas at El Paso, El Paso, Texas, United States; Department of Teacher Education, University of Texas at El Paso, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States; El Paso Independent School District, El Paso, Texas, United States",2023 IEEE International Conference on Big Data (BigData),"22 Jan 2024","2023","","","4213","4222","There is a national need to increase the number of minority students entering STEM fields with essential computing skills. To increase minority students’ interest and engagement in computing, a researcher-practitioner partnership between the University of Texas at El Paso and the El Paso Independent School District, developed and implemented a culturally and linguistically responsive curriculum and pedagogy to introduce computational thinking (CT) in two middle schools across different subject areas in a borderland region. The curriculum leveraged the Sol y Agua game – a bilingual, culturally-responsive game designed to engage students of this region in CT. This paper describes the process and initial findings of this project. The quantitative data from in-game analyses show that students utilized the language change feature to switch from English to Spanish more frequently than the other way – highlighting the need for educational platforms relatable to students through language, environment, and cultural context. Analyses of the qualitative data indicate that while teachers/team members understood CT and translanguaging concepts and taught lesson units that provided opportunities to practice both, CT and translanguaging were largely implicit in the curriculum. In collaborative analyses of these patterns, teachers described additional supports that would help them to make CT instruction and translanguaging strategies more explicit in the content and pedagogy, highlighting the need for systematic, targeted integration of these concepts.","","979-8-3503-2445-7","10.1109/BigData59044.2023.10386409","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386409","Computational thinking;K-12 education;Computer games","Systematics;Education;Curriculum development;Collaboration;Games;Switches;Linguistics","","","","29","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"Nanotechnology as a Tool for Computational Thinking Skills using Open Hardware, Embedded Systems and Repository Platform, in Industry 4.0 Era","K. Kalovrektis; I. Dimos; A. Xanakis; A. Kakarountas","Dept. of Digital Systems, University of Thessaly, Larisa, Greece; Dept. of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece; Dept. of Digital Systems, University of Thessaly, Larisa, Greece; Dept. of Digital Systems, University of Thessaly, Larisa, Greece","2023 8th South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference (SEEDA-CECNSM)","21 Mar 2024","2023","","","1","6","The advancement in Microelectromechanical System (MEMS) technology resulted in accurate and high-performance miniature device systems. These devices are so tiny that they are not noticeable by the human eye and exhibit excellent feasibility in miniaturization sensors due to their small dimensions, low power consumption, and superior performance. The area of sci-ence and engineering where MEMS are developed (dimensions in the manometer scale) is called Nanotechnology. Nanotechnology is one of the fastest growing scientific research related to Industry 4.0. Nanotechnology may introduce industrial skills deficits as well as opportunities for new teaching practices in several subjects and educational frameworks. In the present work, we investigate the attitude of STEM (i.e. technology/engineering) and non STEM - related instructors, regarding the integration of Nanotechnology applications in Higher education curricula. Their opinions, concerning the applied teaching method, the learning content material and expected student skills, should always be taken in to account, as they may boost any reformations proposed. Moreover, we propose a repository platform, with which instructors may interact with 3D designs and MEMs mate-rial to built their didactic plans. This work's findings is critical for the design and innovative training material and computational thinking (CT) activities, which will prepare student with skills related to Industry 4.0 demand.","","979-8-3503-8367-6","10.1109/SEEDA-CECNSM61561.2023.10470788","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10470788","Nanotechnology;MEMs;Industry 4.0;Computational Thinking;Open Hardware;Repository Platform","Micromechanical devices;Training;Three-dimensional displays;Power demand;Social networking (online);Education;Fourth Industrial Revolution","","","","33","IEEE","21 Mar 2024","","","IEEE","IEEE Conferences"
"A Computational Thinking Assessment Tool on Text- Based Programming","J. Wang; W. Zhang; X. Zeng; P. Li","Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China",2023 IEEE 12th International Conference on Educational and Information Technology (ICEIT),"28 Apr 2023","2023","","","326","331","The assessment of computational thinking (CT) skills based on text-based programming is a necessary part of the implementation of CT education in higher education. However, the current research on CT assessment is mostly single-approach, which is not effective in accurately measuring numerous competencies of CT skills and has the disadvantage of assessment limitation. In order to solve the problem of assessment limitations, this paper defines the content of CT evaluation from the perspective of text-based programming and constructs a multidimensional test method. Different test schemes are selected according to the characteristics of CT skills, and assessment tools are developed by combining the question test, programming test and scale survey, and the assessment tools are used to evaluate and analyze learners' CT skills from qualitative and quantitative perspectives. The results show that the evaluation indicators and test questions designed on text-based programming are more consistent with the evaluation objectives. And the approach of evaluating CT skills from both qualitative and quantitative perspectives can reflect learners' CT skills more comprehensively and accurately.","","978-1-6654-7551-8","10.1109/ICEIT57125.2023.10107885","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10107885","computational thinking;text-based programming;assessment tool;qualitative analysis;quantitative analysis","Current measurement;Education;Information technology;Programming profession","","","","23","IEEE","28 Apr 2023","","","IEEE","IEEE Conferences"
"Exploring the Interplay of Computational Thinking and Mathematics in Early Childhood Education: A Systematic Review","Y. Zhang; G. K. W. Wong","Faculty of Education, The University of Hong Kong, Hong Kong, China; Faculty of Education, The University of Hong Kong, Hong Kong, China",2024 IEEE Global Engineering Education Conference (EDUCON),"8 Jul 2024","2024","","","1","10","In recent years, educational research has emphasized the significance of computational thinking (CT) and mathematics knowledge acquisition for students' learning in engineering subjects. Pre-college education plays a crucial role in preparing students for future engineering learning. While the relationship between CT and mathematics has been extensively studied at the K-12 level, limited attention has been given to early childhood education (ECE) contexts. Our research aims to investigate the potential development of early CT through mathematics learning in a potentially reciprocal manner using developmentally appropriate educational tools and instructional approaches. To commence this exploration, our primary focus is to conduct a systematic review of existing empirical studies, synthesizing evidence to illuminate the interaction between CT and mathematics during early childhood. Using the seven powerful ideas from early CT proposed by Bers as the theoretical framework, our initial findings indicate that algorithms, hardware/software, and representation are the most studied CT competencies intersecting with early mathematics skills, including numerical and spatial knowledge, measurements, basic algebraical thinking, and data processing. The complex relationship between early CT and mathematics, in general, is also discussed. Overall, the findings of this study suggest that existing mathematics education in early childhood may foster the development of CT in young children. Although this study is preliminary, it serves as a valuable foundation for future research endeavors in uncovering the interdisciplinary nature of early CT within mathematics-integrated learning contexts, thus contributing to the advancement of this field.","2165-9567","979-8-3503-9402-3","10.1109/EDUCON60312.2024.10578653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10578653","Computational thinking;Mathematics;Early childhood education;STEM;STEAM","Systematics;Reviews;Knowledge acquisition;Solids;Data processing;Mathematics;Engineering education","","","","52","IEEE","8 Jul 2024","","","IEEE","IEEE Conferences"
"Computational Thinking Integration into Archival Educators’ Networked Instruction","S. A. Buchanan; K. F. Gracy; J. Kitchens; R. Marciano","iSchool, University of Missouri, Columbia, USA; School of Information, Kent State University, Kent, USA; Archival Services and Digital Initiatives, Georgia Public Library Service, Atlanta, USA; College of Information Studies, University of Maryland, College Park, USA",2022 IEEE International Conference on Big Data (Big Data),"26 Jan 2023","2022","","","2500","2506","This paper discusses the use of Computational Thinking (CT) in Archival Educators’ instruction towards enhancing the training and professional development of the library and archival workforce to meet the needs of their communities, and enhancing digital collection management and access to information and resources through retrospective and born-digital content. Four educators share their teaching strategies aimed at modernizing the way digital LIS and computational education are conducted. Their goal is to create an active and engaged community of future archival practitioners, ready to tackle the digital records and archives future.","","978-1-6654-8045-1","10.1109/BigData55660.2022.10021019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10021019","computational thinking;archival education;network of networks;digital archives;Jupyter Notebooks","Training;Automation;Engineering profession;Employment;Machine learning;Big Data;Libraries","","","","16","IEEE","26 Jan 2023","","","IEEE","IEEE Conferences"
"Quantum Serious Games to Boost Quantum Literacy within Computational Thinking 2.0 Framework","A. Xenakis; M. Avramouli; M. Sabani; I. Savvas; C. Chaikalis; K. Theodoropoulou","Department of Digital Systems, University of Thessaly, Larissa, Greece; Department of Digital Systems, University of Thessaly, Larissa, Greece; Department of Digital Systems, University of Thessaly, Larissa, Greece; Department of Digital Systems, University of Thessaly, Larissa, Greece; Department of Digital Systems, University of Thessaly, Larissa, Greece; Department of Digital Systems, University of Thessaly, Larissa, Greece",2023 IEEE Global Engineering Education Conference (EDUCON),"22 May 2023","2023","","","1","9","Quantum mechanics is a revolutionary scientific field, which lies at the crossroad section of Physics, Mathematics, Computer and Computational Science. In essence, it is considered a cross-disciplinary STEM field, advancing the philosophy of Quantum Literacy (QL), which addresses the transdisciplinary nature of real world complex problems. QL addresses the challenges of learning and skills acquisition, through specific computing activities, within a highly bounded discipline and of access to the kind of powerful knowledge that should be more accessible to a wide group of learners. It is therefore important that quantum computing and quantum technologies knowledge is accessible to students and teachers who work with real problems, in a more inclusive and interactive way. In this paper, we argue for the necessity of exposing students to new and powerful quantum tools, as provided by cutting edge quantum computing technologies. We do that by proposing contemporary and STEM related activities and gamification scenarios, in which they acquire stronger mathematical and computational - problem decomposition and modelling skills, working as real researchers. By engaging students in games and activities related to quantum computing and quantum information processing, they acquire all necessary knowledge related to: superposition, teleportation, entanglement, quantum gates and quantum information. The serious games proposed in this paper relates to quantum strategic games, necessary for STEM activities to train students within the computational thinking 2.0 framework. All scenarios were implemented using the didactic model of inquiry-based learning using Python libraries.","2165-9567","979-8-3503-9943-1","10.1109/EDUCON54358.2023.10125266","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125266","Quantum Games;Quantum Literacy;Computational Thinking 2.0;Python","Quantum computing;Quantum entanglement;Scientific computing;Computational modeling;Games;Logic gates;Teleportation","","","","45","IEEE","22 May 2023","","","IEEE","IEEE Conferences"
"Efficacy of a ‘Misconceiving’ Robot to Improve Computational Thinking in a Collaborative Problem Solving Activity: A Pilot Study","U. Norman; A. Chin; B. Bruno; P. Dillenbourg","CHILI Lab, EPFL, Lausanne, Switzerland; Dept. of Computer Science, Wellesley College, Massachusetts, USA; CHILI Lab, EPFL, Lausanne, Switzerland; CHILI Lab, EPFL, Lausanne, Switzerland",2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),"30 Sep 2022","2022","","","1413","1420","Robot-mediated learning activities are often designed as collaborative exercises where children work together to achieve the activity objectives. Although miscommunications and misunderstandings occur frequently, humans, unlike robots, are very good at overcoming them and converging to a shared solution. With the aim of equipping a robot with these abilities and exploring its effects, in this article we investigate how a humanoid robot can collaborate with a human learner to construct a shared solution to a problem via suggesting actions and (dis)agreeing with each other. Concretely, we designed a learning activity aiming to improve the computational thinking skills of children, in which the robot makes suggestions on what to do, that may be in line with what the human thinks or not. Furthermore, the robot may suggest wrong actions that could essentially prevent them from finding a correct solution. Via a pilot study conducted remotely with 9 school children, we investigate whether the interaction results in positive learning outcomes, how the collaboration evolves, and how these relate to each other. The results show positive learning outcomes for the participants in terms of finding better solutions, suggesting that the collaboration with the robot might have helped trigger the learning mechanisms.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900775","human-robot interaction;mutual understanding;collaborative learning;computational thinking","Learning systems;Costs;Correlation;Federated learning;Collaboration;Humanoid robots;Behavioral sciences","","","","21","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"A Systematic Approach to Catalogue Learning Resources that Promote Computational Thinking","C. Araújo; P. Rangel Henriques; J. José Cerqueira","ALGORITMI Research Centre/LASI, University of Minho, Braga, Portugal; ALGORITMI Research Centre/LASI, University of Minho, Braga, Portugal; Life and Health Sciences Research Institute (ICVS), University of Minho, Braga, Portugal",2024 International Symposium on Computers in Education (SIIE),"29 Jul 2024","2024","","","1","6","Computational Thinking (CT) is a transversal ability to solve problems in any area, is crucial for Computer Programming. We believe that CT skills should be developed and encouraged from a young age. However, to promote the development of CT it is necessary to use appropriate materials, which we call Learning Resources (LR). For a more efficient development of CT, it is important that the LR are designed and used in order to obtain the maximum potential of the resource. Scientific evidence from Neuroeducation can be used to fully explore LR. There are many LR available to promote CT, however, they are not correctly classified in order to be easy to understand what specific CT skills they stimulate, neither which ages they are adequate for. Directions for their most convenient usage are also lacking. This paper aims to present an approach to categorize these LR so that when a teacher intends to promote the development of one or more specific CT skills, in a given schooling year, he can find the adequate LR more easily, and also get educational resources concerning their use. This characterization approach is based on OntoCnE ontology. OntoCnE was built by us and is composed of 4 layers that define: how to develop CT (1); which concepts should be taught at each school level (2); which materials are appropriate for each skill (3); and the Neuroeducation guidelines associated with each resource (4). This paper essentially focuses on layers 3 and 4 to perform the LR characterization. To illustrate our approach, we will follow OntoCnE statements to categorize a set of LRs. With this methodological setting we intend to build a catalog of LR more effectively promote CT skills on children.","2476-2172","979-8-3503-7661-6","10.1109/SIIE63180.2024.10604485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10604485","Computational Thinking;Ontology;OntoCnE;Learning Resources;Neuroeducation","Systematics;Education;Ontologies;Problem-solving;Programming profession;Guidelines","","","","16","IEEE","29 Jul 2024","","","IEEE","IEEE Conferences"
"MindMaths: learning mathematics in the early years through computational thinking and robotics","C. A. Gomes; H. Gomes; M. Figueiredo; A. Lucas; L. Menezes","School of Education and CI&DEI, (Polytechnic Institute of Viseu), Viseu, Portugal; School of Education (Polytechnic Institute of Viseu) CIDMA, University of Aveiro, Viseu, Portugal; School of Education and CI&DEI, (Polytechnic Institute of Viseu), Viseu, Portugal; School of Education and CCTIC Viseu, (Polytechnic Institute of Viseu), Viseu, Portugal; School of Education and CI&DEI, (Polytechnic Institute of Viseu), Viseu, Portugal",2022 International Symposium on Computers in Education (SIIE),"19 Dec 2022","2022","","","1","6","MindMaths is an EU-funded project, started in 2020, with partners from Portugal, Italy, Turkey and Latvia, aiming to cope with math anxiety and problems with mathematics learning in primary education, using educational robotics. Throughout Flipped Learning Practices its focus is on initial primary teacher training, designing learning activities and resources to fulfill this challenge of preparing the future teachers to use robotics to release math anxiety. This paper presents an overview of the MindMaths Project and the main ideas underlying its development in the Portuguese context. It frames the more relevant learning issues in primary math education, presents the most significant initiative of programing and robotics in the Portuguese scene and discuss the potential that computational thinking and robotics offer for learning meaningful mathematics in the early years. It also presents a pilot study in a polytechnic school with the participation of 20 students, future teachers, discussing the main ideas of its development and results.","","978-1-6654-7464-1","10.1109/SIIE56031.2022.9982320","Erasmus; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9982320","Mathematics Education;Robotics;Computational Thinking","Training;Computers;Anxiety disorders;Robot sensing systems;Mathematics;Encoding","","","","18","EU","19 Dec 2022","","","IEEE","IEEE Conferences"
"Technological tool to assess computational thinking","Á. M. M. Muñoz; S. A. C. Torres; C. C. R. Molina; W. S. V. Cardona","Programa de Doctorado en Ciencias de la Educación, Universidad del Quindío, Institución Educativa General Santander, Armenia, Colombia; Programa de Ingeniería de Sistemas y Computación, Universidad del Quindío, Armenia, Colombia; Programa de Ingeniería de Sistemas y Computación, Universidad del Quindío, Armenia, Colombia; Programa de Ingeniería de Sistemas y Computación, Universidad del Quindío, Armenia, Colombia",2022 XVII Latin American Conference on Learning Technologies (LACLO),"20 Jan 2023","2022","","","1","9","The educational challenges of society permeated by digital technologies are aimed at developing skills to identify and solve environment problems. In this context, computational thinking (CT) emerges as a set of skills to be developed from an early age, which requires the empowerment of programming and demands the use of technological tools. The purpose of this article is to present the design and implementation process of a computer tool for CT evaluation, as well as its validation with a sample of elementary school students from a public institution in Colombia. The methodology focuses on the phases of the SCRUM development process. The results show that women perceive less difficulty in understanding the activities to be solved. It is possible to obtain a web application type software taking into account the evaluated characteristics of the tools used for CT teaching, covering most of these, and with special emphasis on some such as the content in Spanish, instructional model, management of the course, learning activities, monitoring, feedback and gamification.","","978-1-6654-6521-2","10.1109/LACLO56648.2022.10013387","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10013387","computational thinking;assessment;digital skills;technological support","Software;Computational modeling;Visualization;Programming profession;Monitoring;Medical services;Manuals","","","","","IEEE","20 Jan 2023","","","IEEE","IEEE Conferences"
