"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Mutual Improvement between Teaching Materials and Assessment Tools for K-12 Programming Education","H. Nagumo; Y. Oomori; Y. Takemura","Dept. of Clinical Psychology, Niigata Seiryo University, Niigata, Japan; College of Education, Joetsu University of Education, Joetsu, Japan; Dept. of Art Science, Osaka University of Arts, Osaka, Japan",2021 IEEE Frontiers in Education Conference (FIE),"20 Dec 2021","2021","","","1","8","This Innovative Practice Full Paper presents an approach to improve teaching materials and assessment tools for K-12 programming education together by creating a virtuous cycle. Improving teaching materials for computing education is in line with the conference theme “Creating a convergence in engineering education and workforce development”. In this research, coding sheets are used as a part of the teaching materials, and the assessment tools are used to assess the algorithmic thinking ability of the students. The assumption here is that there is a mutual impact between the improvement of teaching materials and that of assessment tools. This kind of strategy is important, especially in the setting of elementary school education in Japan in which conducting a pilot study is difficult. In Japan, the new curriculum guidelines were fully implemented in April 2020 in elementary schools and in April 2021 in junior high schools respectively. They will be implemented in April 2022 in high schools. Since the announcement of the new curriculum guidelines, the boards of education in the local governments have been preparing for the programming education in the schools. However, there are still remaining problems, including the shortage of trained teachers and the lack of good assessment tools. In order to remedy the shortage of trained teachers, we designed some coding sheets for the teaching materials consisting of block parts, servo motors, DC-motors, LEDs, and sensors. In our assessment tools which are supposed to assess students' Computational Thinking ability, we included only the questions for assessing algorithmic thinking ability, as there is a limited amount of time for the assessment in schools. We have used our teaching materials and our assessment tools in some elementary schools. Based on the results of the teaching activities, we discuss the strategy to improve the teaching materials and the assessment tools together.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637257","Japan Society for the Promotion of Science KAKENHI(grant numbers:JP19K02985); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637257","programming education;teaching material;assessment tool;Computational Thinking;elementary school","Visualization;Education;Tactile sensors;Light emitting diodes;Encoding;Sensors;Servomotors","","","","23","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Modelling Assessment Rubrics through Bayesian Networks: a Pragmatic Approach","F. Mangili; G. Adorni; A. Piatti; C. Bonesana; A. Antonucci","IDSIA (USI-SUPSI), Scuola Universitaria Professionale della Svizzera Italiana (SUPSI), Lugano, Switzerland; IDSIA (USI-SUPSI), Università della Svizzera Italiana (USI), Lugano, Switzerland; DFA, Scuola Universitaria Professionale della Svizzera Italiana (SUPSI), Locarno, Switzerland; IDSIA (USI-SUPSI), Scuola Universitaria Professionale della Svizzera Italiana (SUPSI), Lugano, Switzerland; IDSIA (USI-SUPSI), Scuola Universitaria Professionale della Svizzera Italiana (SUPSI), Lugano, Switzerland","2022 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","18 Oct 2022","2022","","","1","6","Automatic assessment of learner competencies is a fundamental task in intelligent tutoring systems. An assessment rubric typically and effectively describes relevant competencies and competence levels. This paper presents an approach to deriving a learner model directly from an assessment rubric defining some (partial) ordering of competence levels. The model is based on Bayesian networks and exploits logical gates with uncertainty (often referred to as noisy gates) to reduce the number of parameters of the model, so to simplify their elicitation by experts and allow real-time inference in intelligent tutoring systems. We illustrate how the approach can be applied to automatize the human assessment of an activity developed for testing computational thinking skills. The simple elicitation of the model starting from the assessment rubric opens up the possibility of quickly automating the assessment of several tasks, making them more easily exploitable in the context of adaptive assessment tools and intelligent tntorino systems.","1847-358X","978-953-290-117-7","10.23919/SoftCOM55329.2022.9911432","Swiss National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9911432","Probabilistic reasoning;Noisy-OR Bayesian net-works;Assessment rubrics;Computational thinking","Adaptation models;Uncertainty;Computational modeling;Logic gates;Software;Real-time systems;Bayes methods","","","","7","","18 Oct 2022","","","IEEE","IEEE Conferences"
"An Ontology to Formalize a Creative Problem Solving Activity","C. Mercier","Mnemosyne, Inria, Bordeaux, France",IEEE Transactions on Cognitive and Developmental Systems,"14 Dec 2023","2023","15","4","1891","1904","Our study is set in an educational context: to better teach and assess 21st-century skills, such as computational thinking or creative problem solving, we propose to formalize a specific activity that involves these competencies. This activity, referred to as #CreaCube, is presented as an open-ended problem which consists of assembling a set of robotic cubes into an autonomous vehicle. We not only anchor our formalization in classical learning science frameworks but we also propose to draw on neuro-cognitive models to describe the observed behaviors of learners engaged in this activity. The chosen formalism is symbolic and is aligned on upper ontologies to ensure that the vocabulary is well specified. This allows for a better communication between the summoned research fields, namely, learning science, cognitive neuroscience, and computational modeling. Beyond this specification purpose, we suggest performing inferences using available reasoners to better guide the analysis of the observables collected during the experiments. This operationalization of a creative problem-solving activity is part of an exploratory research action. In addition, an effective proof of concept is described in this study.","2379-8939","","10.1109/TCDS.2022.3210234","Inria, AEx AIDE (https://team.inria.fr/mnemosyne/en/aide); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9904876","Cognitive neuroscience;computational thinking;learning science;ontology;problem solving","Task analysis;Ontologies;Computational modeling;Behavioral sciences;Games;Creativity;Context modeling;Neuroscience;Problem-solving","","","","62","IEEE","28 Sep 2022","","","IEEE","IEEE Journals"
"Towards Data-Driving Multi-View Evaluation Framework for Scratch","X. Chai; Y. Sun; Y. Gao","Department of Computer Science, Beijing University of Posts and Telecommunication, Beijing, China; Department of Computer Science, Beijing University of Posts and Telecommunication, Beijing, China; Intellectual Property Institute, Shandong Polytechnic College, Jining, China",Tsinghua Science and Technology,"22 Sep 2023","2024","29","2","517","528","As one of the most popular visual programming languages, Scratch has a lot of evaluation around it. Reasonable evaluation can help programmers understand their projects better. At the same time, it can also provide a reference for them to browse other projects in the online community. Most of the existing evaluations on Scratch are carried from three perspectives: Computational Thinking (CT) ability, visual presentation aesthetics, and code quality. Among them, the assessment of CT and code quality is mainly carried out from the program script, while the evaluation of visual aesthetics is analyzed from the perspective of image sequences generated by project execution. The single-view evaluation focuses on the performance of a program in a certain aspect and is one-sided. In this paper, we propose a multi-view evaluation framework to integrate various evaluations using different policies. We quantitatively analyze the assessment of different views driven by data. Combined with overall evaluations that represent human opinions, we analyze their differences and connections. Through experiments, we determine the weights of different integration policies, the proposed multi-view evaluation method can generate evaluation results similar to human opinions.","1007-0214","","10.26599/TST.2023.9010016","National Natural Science Foundation of China(grant numbers:62272052,62172051); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10258248","Scratch;Computational Thinking (CT);visual aesthetic;static analysis;integration policy;machine learning","Visualization;Computer languages;Codes;Data analysis;Computed tomography;Image sequences","","","","28","","22 Sep 2023","","","TUP","TUP Journals"
"Can GPT-4 Think Computationally about Digital Archival Practices?","W. Underwood; J. Gage","College of Information Studies, University of Maryland, College Park, MD, USA; Paul D West Middle Sch., Fulton County Schools, East Point, GA, USA",2023 IEEE International Conference on Big Data (BigData),"22 Jan 2024","2023","","","2105","2115","This paper describes an investigation of GPT-4’s knowledge in some areas of archival practice, and its ability to think computationally about archival tasks. It is demonstrated that GPT-4 has shown an understanding of ten among the twenty-two distinct forms of computational thinking. When GPT-4 is combined with plugins, it is able to apply some of these methods and tools to digital archival tasks.","","979-8-3503-2445-7","10.1109/BigData59044.2023.10386929","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386929","computational thinking;systems thinking;large language models;GPT-4;archival system;digitization;metadata extraction","Computational modeling;Data visualization;Oral communication;Metadata;Big Data;Data mining;Systems thinking","","","","15","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"An Advanced Intrusion Detection System for IIoT Based on GA and Tree Based Algorithms","S. M. Kasongo","Department of Industrial Engineering, Stellenbosch University, Stellenbosch, South Africa",IEEE Access,"18 Aug 2021","2021","9","","113199","113212","The evolution of the Internet and cloud-based technologies have empowered several organizations with the capacity to implement large-scale Internet of Things (IoT)-based ecosystems, such as Industrial IoT (IIoT). The IoT and, by virtue, the IIoT, are vulnerable to new types of threats and intrusions because of the nature of their networks. So it is crucial to develop Intrusion Detection Systems (IDSs) that can provide the security, privacy, and integrity of IIoT networks. In this research, we propose an IDS for IIoT that was implemented using the Genetic Algorithm (GA) for feature selection, and the Random Forest (RF) model was employed in the GA fitness function. The models used for the intrusion detection processes include classifiers such as the RF, Linear Regression (LR), Naïve Bayes (NB), Decision Tree (DT), Extra-Trees (ET), and Extreme Gradient Boosting (XGB). The GA-RF generated 10 feature vectors for the binary classification scheme and 7 feature vectors for the multiclass classification procedure. The UNSW-NB15 is used to assess the effectiveness and the robustness of our proposed approach. The experimental outcomes demonstrated that for the binary modeling process, the GA-RF achieved a test accuracy (TAC) of 87.61% and an Area Under the Curve (AUC) of 0.98, using a feature vector that contained 16 features. These results were superior to existing IDS frameworks.","2169-3536","","10.1109/ACCESS.2021.3104113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9511416","Internet of Things;intrusion detection;genetic algorithm;machine learning","Industrial Internet of Things;Feature extraction;Intrusion detection;Genetic algorithms;Radio frequency;Support vector machines;Random forests","","74","","54","CCBY","11 Aug 2021","","","IEEE","IEEE Journals"
"The Deep Sleep Optimizer: A Human-Based Metaheuristic Approach","S. O. Oladejo; S. O. Ekwe; L. A. Akinyemi; S. A. Mirjalili","School for Data Science and Computational Thinking, University of Stellenbosch, Stellenbosch, South Africa; Department of Electrical, Electronic and Computer Engineering, Cape Peninsula University of Technology, Cape Town, South Africa; Department of Electronic and Computer Engineering, Faculty of Engineering, Lagos State University, Epe Campus, Lagos, Nigeria; Centre for Artificial Intelligence Research and Optimisation, Torrens University, Brisbane, QLD, Australia",IEEE Access,"14 Aug 2023","2023","11","","83639","83665","Owing to the no free lunch theorem, no single optimisation algorithm can solve all optimisation problems accurately, so new optimisation techniques are required. In this paper, a novel metaheuristic called the deep sleep optimiser (DSO) is proposed. The deep sleep optimiser mimics the sleeping patterns of humans to solve optimisation problems. The DSO is modelled on the rise and fall of homeostatic pressure during the human sleep process. Human sleep is often modelled on the four sleep stages and the deep sleep stage is employed in this work. The mathematical model of sleep homeostatic pressure is employed to simulate and determine the deep sleep state. The performance of DSO is demonstrated by employing 23 traditional functions (i.e., unimodal, multimodal, and fixed multi-modal functions), six composite functions, three engineering design problems, two knapsack problems, and six widely known travelling salesman’s problems. Additionally, the performance is evaluated in terms of accuracy, computational running time, the Wilcoxon rank sum, and the Friedman test. Lastly, the DSO is compared with 11 other metaheuristics, including GA, PSO, TLBO, and GWO. The DSO fares comparably well and, in most instances, it outperforms other metaheuristics.","2169-3536","","10.1109/ACCESS.2023.3298105","Division for Research Development, Stellenbosch University, South Africa; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190587","Optimisation;metaheuristics;deep sleep;REM;non-REM","Metaheuristics;Sleep;Muscles;Genetic algorithms;Search problems;Sociology;Evolution (biology);Optimization;Rapid eye movement sleep","","11","","120","CCBYNCND","24 Jul 2023","","","IEEE","IEEE Journals"
"Design and Performance Analysis of a Novel Hoop-Cut SPR-PCF Sensor for High Sensitivity and Broad Range Sensing Applications","S. Mittal; A. Saharia; Y. Ismail; F. Petruccione; A. V. Bourdine; O. G. Morozov; V. V. Demidov; J. Yin; G. Singh; M. Tiwari; S. Kumar","Department of Electronics and Communication Engineering, Optoelectronics and Photonics Research Laboratory, Manipal University Jaipur, Jaipur, India; Department of Electronics and Communication Engineering, Optoelectronics and Photonics Research Laboratory, Manipal University Jaipur, Jaipur, India; Quantum Research Group, School of Chemistry and Physics, University of KwaZulu-Natal, Durban, South Africa; School of Data Science and Computational Thinking, Stellenbosch University, Stellenbosch, South Africa; Department of Communication Lines, Povolzhskiy State University of Telecommunications and Informatics, Samara, Russia; Department of Radiophotonics and Microwave Technologies, Kazan National Research State University named after A. N. Tupolev (KAI), Kazan, Russia; JSC“Scientific Production Association State Optical Institute named after Vavilov S. I.,”, Saint Petersburg, Russia; Division of Quantum Physics and Quantum Information, University of Science and Technology of China, Hefei, China; Department of Electronics and Communication Engineering (ECE), Malaviya National Institute of Technology (MNIT) Jaipur, Jaipur, India; Department of Electronics and Communication Engineering, Optoelectronics and Photonics Research Laboratory, Manipal University Jaipur, Jaipur, India; Shandong Key Laboratory of Optical Communication Science and Technology, School of Physics Science and Information Technology, Liaocheng University, Liaocheng, China",IEEE Sensors Journal,"31 Jan 2024","2024","24","3","2697","2704","This article presents a systematic numerical investigation of a surface plasmon resonance (SPR) sensor based on photonic crystal fiber (PCF). The proposed design is modeled and simulated using the full-vectorial finite-element (FV-FEM) technique and sensing characteristics, such as confinement loss (CL) behaviors, phase matching, and sensitivity, which are investigated and presented. The plasmonic layer is made up of TiO2 and gold for improved sensitivity. The reported sensor exhibits an amplitude sensitivity of −374.062 RIU−1 and a wavelength sensitivity of 2000 nm/RIU for the refractive index (RI) sensing range of (1.39–1.44), according to the loss spectrum shift. The reported hoop-cut PCF-based SPR (HPCF-SPR) sensor is suitable for biosensing and chemical sensing applications because of its broad range (1.39–1.44) of analyte detection.","1558-1748","","10.1109/JSEN.2023.3339813","DST/ICD/BRICS/Call-3/Manish Tiwari QuSaF/2019; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10355908","Biosensors;fiber-optic sensor;photonic crystal fiber (PCF);sensitivity;surface plasmon resonance (SPR)","Sensors;Sensitivity;Gold;Refractive index;Optical fiber sensors;Surface plasmons;Photonics","","6","","41","IEEE","12 Dec 2023","","","IEEE","IEEE Journals"
"Promoting Children's Critical Thinking Towards Robotics through Robot Deception","M. L. Lupetti; M. Van Mechelen","Faculty of Industrial Design Engineering, Delft University of Technology, Delft, The Netherlands; Center for Computational Thinking and Design, Aarhus University, Aarhus, Denmark",2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI),"29 Sep 2022","2022","","","588","597","The need for critically reflecting on the deceptive nature of advanced technologies, such as social robots, is urging academia and civil society to rethink education and the skills needed by future generations. The promotion of critical thinking, however, remains largely unaddressed within the field of educational robotics. To address this gap and question if and how robots can be used to promote critical thinking in young children's education, we conducted an explorative design study named Bringing Shybo Home. Through this study, in which a robot was used as a springboard for debate with twenty 8- to 9-year-old children at school, we exemplify how the deceptive nature of robots, if embraced and magnified in order for it to become explicitly controversial, can be used to nurture children's critical mindset.","","978-1-6654-0731-1","10.1109/HRI53351.2022.9889511","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9889511","deception;societal impact;critical thinking;design exploration;educational robotics","Ethics;Social robots;Education;Faces","","5","","66","IEEE","29 Sep 2022","","","IEEE","IEEE Conferences"
"Radiofrequency electromagnetic radiation exposure assessment, analysis, computation, and minimization technique in 5G networks: A perspective on QoS trade-offs","A. T. Ajibare; S. O. Oladejo; S. O. Ekwe; L. A. Akinyemi; D. Ramotsoela","Department of Electrical Engineering, University of Cape Town, Cape Town, and the NewBridge Graduate Institute, Cape Town, South Africa; School for Data Science and Computational Thinking, Stellenbosch University, Stellenbosch; Department of Electrical Engineering, University of Cape Town, Cape Town; Department of Electronic and Computer Engineering, Faculty of Engineering, Lagos State University, Lagos, Nigeria and Departments of Computer Science and Electrical Engineering, Schools of Computing and Engineering, College of Science, Engineering and Technology, University of South Africa, Johannesburg, South Africa; Department of Electrical Engineering, University of Cape Town, Cape Town, South Africa",SAIEE Africa Research Journal,"15 Nov 2023","2023","114","4","114","127","In this study, the specific absorption rate (SAR) and exposure index (EI) of access points (APs) and user equipment (UEs) in fourth-generation (4G) and fifth-generation (5G) wireless technologies are examined with regard to the effects of exposure to radiofrequency (RF) electromagnetic fields (EMF) radiation and the implications of their reduction. We characterize the EI using a classical mathematical method while considering the power density, the SAR, the electric field strength, and the tissue's density and conductivity. As such, a novel exposure-index open-loop power control algorithm is proposed to evaluate the realistic RF-EMF radiation exposure on human users from both the downlink (DL) and uplink (UL) communication devices. To solve an EI minimization problem using the open-loop power control algorithm, we formulate it in the form of a mixed-integer nonlinear programming (MINLP) problem. As the energy capacity (i.e., power density) in wireless networks determines the radiation exposure (SAR and EI), it minimizes the EI by controlling and managing the transmitted and received powers under the restrictions of Quality of Service (QoS), interference, and power, while ensuring the users' QoS requirements are met. Our proposed scheme is numerically compared to other heuristic algorithms and exposure limits established by the International Commission on Non-Ionizing Radiation Protection (ICNIRP) and other similar organizations. Lastly, we compare the emissions from 4G and 5G networks to the emissions from UL and DL transmissions. Our simulation findings indicate that our proposed technique is a good alternative. Our assessment, in terms of numerical results and evaluation, also verifies that the exposures are bearable, fall within the recommended limits, and are minimized without impairing the users' QoS.","1991-1696","","10.23919/SAIEE.2023.10319380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10319380","RF radiation;5G networks;power control;MINLP;specific absorption rate;exposure index","5G mobile communication;Radio frequency;Specific absorption rate;Quality of service;Frequency measurement;Minimization;Density measurement","","3","","","","15 Nov 2023","","","SAIEE","SAIEE Journals"
