"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on blended teaching reform based on computational thinking","F. Zhao; S. Liu","College of Computer and Information Technology, Northeast Petroleum University, Daqing, China; College of Computer and Information Technology, Northeast Petroleum University, Daqing, China",2022 12th International Conference on Information Technology in Medicine and Education (ITME),"4 Apr 2023","2022","","","184","188","The outbreak of COVID-19 has impacted traditional teaching methods in schools, and blended teaching in the post-pandemic has gradually become a hot topic of research in higher education. Computational thinking, as one of the core literacies to be acquired in the 21st century, can help students realize the importance of computers as well as enable them to solve specific problems more effectively when facing real-life situations. The article takes the C language programming course as an example, analyzes the problems faced in teaching in the post-pandemic, introduces the concept of computational thinking and integrates it into all aspects of blended teaching design, pays attention to students' individual differences, and proposes a blended teaching model based on computational thinking and puts it into practice. The results show that this teaching model can improve students' learning performance, exercise students' computational thinking skills, and promote blended teaching reform and students' personalized development.","2474-3828","979-8-3503-1015-3","10.1109/ITME56794.2022.00048","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10086259","computional thinking;blended teaching;teaching reform;personalized learning","Computers;Training;COVID-19;Computational modeling;Education;C languages;Problem-solving","","1","","6","IEEE","4 Apr 2023","","","IEEE","IEEE Conferences"
"Educational Robotics as a Strategy to Develop Computational Thinking in Basic General Education","L. Quezada; M. Maldonado","Pedagogía de las Ciencias Experimentales Informática, Universidad Nacional de Loja, Loja, Ecuador; Pedagogía de las Ciencias Experimentales Informática, Universidad Nacional de Loja, Loja, Ecuador",2022 Third International Conference on Information Systems and Software Technologies (ICI2ST),"16 Mar 2023","2022","","","158","163","This research purpose is to figure out whether educational robotics is a strategy to develop young children's computational thinking. The method used in this research was quantitative with a descriptive exploratory scope, with an inductive-deductive approach. The sample consisted of 28 students taken from the population of the tenth-grade students of “Santa Mariana de Jesús” high school. The technique used was the survey and the data collection instrument was a questionnaire at the beginning (Pre-Test) and at the end of the process (Post Test). A ""Rubric to evaluate computational thinking"" using the Likert scale was used for its tabulation, with the use of the STEAM instructional framework learning methodology, and a ""Checklist"" was used to monitor the progress of the project. The result of the data analysis showed positive increase in computational thinking skills, due to in the Post Test the students reached the scale Very well with 64%, taking into account that in the beginning (PreTest) it was 14%, concluding that educational robotics is a didactic strategy that promotes computational thinking.","","978-1-6654-5517-6","10.1109/ICI2ST57350.2022.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063777","Palabras Clave – educación;pensamiento computacional;robótica educativa;innovación;creatividad","Robots;Instruments;Software;Information systems;Education;Visualization;Technological innovation","","","","","IEEE","16 Mar 2023","","","IEEE","IEEE Conferences"
"Using Educational Robotics to Support Active Learning Experiences and Foster Computational Thinking Skills among Non-STEM University Students","V. Macko; P. Felber; K. Bergram; A. Holzer","Institute of Information Management, University of Neuchâtel, Neuchâtel, Switzerland; Department of Computer Science, University of Neuchâtel, Neuchâtel, Switzerland; Institute of Information Management, University of Neuchâtel, Neuchâtel, Switzerland; Institute of Information Management, University of Neuchâtel, Neuchâtel, Switzerland","2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)","26 Jan 2024","2023","","","1","8","During the last two decades educational robotics became a popular tool for teaching STEM concepts to audiences of all levels. Yet, its use for teaching programming with university-level non-STEM audiences has not been researched so far. This work presents a new educational activity designed for teaching programming to non-STEM university-level audiences. The key aspect is a separation of teaching programming concepts and programming language and; therefore, complexity reduction in learning. The concepts are introduced using educational robotics and later on students learn how to use the concepts in the context of the Python programming language. Two teaching approaches, direct instruction and productive failure, along with a capstone challenge are deployed and their relationship to educational robotics is observed.","","978-1-6654-5331-8","10.1109/TALE56641.2023.10398343","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10398343","Interactive learning environments;Collaborative learning;Human Computer Interaction;Educational Robotics;Programming Education;Productive failure","Education;Complexity theory;Robots;Programming profession;Python","","","","20","IEEE","26 Jan 2024","","","IEEE","IEEE Conferences"
"Computational thinking: Panorama of the Americas","C. Brackmann; D. Barone; A. Casali; R. Boucinha; S. Muñoz-Hernandez","Programa de Pós-Graduação em Informática na Educação and Institut° Federal Farroupilha, Universidade Federal do Rio Grande do Sul, Brazil; Programa de Pós-Graduação em Informática na Educação, Universidade Federal do Rio Grande do Sul, Brazil; FCEIA - Universidad Nacional de Rosario, Argentina; Programa de Pós-Graduação em Informática na Educação, Universidade Federal do Rio Grande do Sul, Brazil; Universidad Politécnica de Madrid, Spain",2016 International Symposium on Computers in Education (SIIE),"24 Nov 2016","2016","","","1","6","Computers cause an impact in almost every single aspect of our lives, however, unfortunately, schools have not been able to keep up with this irreversible evolution. The simple use of technological apparatuses in the classroom does not guarantee the improvement of the learning process, however it can be the medium through which the students find the alternatives for the solution of complex problems. The Computational Thinking is an approach of teaching that uses a diverse range of techniques derived from computers for the resolution of these problems combined with the new competencies of the 21st century (critical thinking, collaboration, etc.). The adoption of the notion of Computing within the basic education schools is a concern in many countries, where the implementation occurs in a strict way. Admittedly, it grows the idea that the Computing discipline is very distinct from the computer classes and that the use of skills from Computing possesses educational (reflection and problem solving, the comprehension that the world is ingrained with the digital technology) and economic (high demand of professionals with good training) benefits. This article, through the vast bibliographic review, describes an international landscape of countries of all Americas, in order to contextualize the reader in respect to the adoption of Computational Thinking within the basic education schools.","","978-1-5090-4596-9","10.1109/SIIE.2016.7751839","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7751839","Computational Thinking;Basic Education;Computing at Schools","Computers;Training;Problem-solving;Economics;Electronic mail;Companies","","34","","25","IEEE","24 Nov 2016","","","IEEE","IEEE Conferences"
"Improving the Students Computational Thinking Skills With Collaborative Learning Techniques","L. Echeverría; R. Cobos; M. Morales","Facultad de Ingeniería Electrónica, Universidad Pontificia Bolivariana Seccional Montería, Montería, Colombia; Computer Science Department, Universidad Autónoma de Madrid, Madrid, Spain; Departamento de Matemáticas y Estadística, Universidad de Córdoba, Montería, Colombia",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,"8 Dec 2019","2019","14","4","196","206","In this paper we present a STEM education initiative. This initiative involves an improved learning approach by means of the implementation of collaborative learning techniques. The proposed approach promotes computational thinking skills in a group manner to improve the learning of geometry. Two case studies were performed with primary school children in the fourth grade at the Comfacor School (Montería-Colombia). The aim of these studies was to analyse the effects of the improved approach in three aspects: the children' motivation, satisfaction and performance. The obtained results provide evidence that the learning of geometry was enhanced thanks to the proposed approach implemented based on a computational thinking strategy.","1932-8540","","10.1109/RITA.2019.2952299","Madrid Regional Government, through the project e-Madrid-CM(grant numbers:P2018/TCS-4307); Structural Funds (FSE and FEDER); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8894360","Computational thinking skills;Moodle-G;pair-learning of geometry;collaborative learning techniques","Geometry;Tools;Programming profession;Education;Collaborative work","","17","","52","IEEE","8 Nov 2019","","","IEEE","IEEE Journals"
"Improving learning of computational thinking using computational creativity exercises in a college CSI computer science course for engineers","D. F. Shell; M. P. Hazley; L. -K. Soh; L. Dee Miller; V. Chiriacescu; E. Ingraham","Department of Educational Psychology, University of Nebraska, Lincoln; Department of Educational Psychology, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Art and Art History, University of Nebraska, Lincoln",2014 IEEE Frontiers in Education Conference (FIE) Proceedings,"19 Feb 2015","2014","","","1","7","Promoting computational thinking is a priority in CS education and other STEM and non-STEM disciplines. Our innovative, NSF-funded IC2Think project blends computational and creative thinking. In Spring 2013, we deployed Computational Creativity Exercises (CCE) designed to engage creative competencies (Surrounding, Capturing, Challenging and Broadening) in an introductory CSI course for engineering students. We compared this CCE implementation semester (80 students, 95% completing 3 or 4 CCEs) to the Fall 2013 semester of the same course (55 students) without CCEs. CCE implementation students had significantly higher scores on a CS concepts and skills knowledge test (F(1, 132) = 7.72, p < 01, partial Eta2 = .055; M=7.47 to M=6.13; 13 items) and significantly higher self-efficacy for applying CS knowledge in their field (F(1, 153) = 12.22, p < .01, partial Eta2 = .074; M=70.64 to M=61.47; 100-point scale). CCE implementation students had significantly higher study time (t(1, 136) = 2.08, p = .04; M=3.88 to M=3.29; 7-point scale) and significantly lower lack of regulation, which measures difficulties with studying (t(1, 136) = 2.82, p = .006; M=2.80 to M=3.21; 5-point scale). The addition of computational creativity exercises to CS courses may improve computational thinking and learning of CS knowledge and skills.","2377-634X","978-1-4799-3922-0","10.1109/FIE.2014.7044489","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044489","CSI;Creative Thinking;Computational Thinking;Engineering;Student Learning;Self-Regulation;Engagement;Self-Efficacy","Educational institutions;Instruments;Problem-solving;Programming;Reflection;Engineering profession","","15","","39","IEEE","19 Feb 2015","","","IEEE","IEEE Conferences"
"Cooperative Thinking, or: Computational Thinking Meets Agile","M. Missiroli; D. Russo; P. Ciancarini","University of Bologna, Italy; University of Bologna, Italy; University of Bologna, Italy",2017 IEEE 30th Conference on Software Engineering Education and Training (CSEE&T),"7 Dec 2017","2017","","","187","191","In this paper, we propose the Computational Thinking concept, which is obtained by enhancing by merging the values of Computational Thinking and Agile. We analyze four existing teaching models for training Cooperative Thinkers, supported by experimental data, and propose an educational path that can promote the early development of this complex skill.","2377-570X","978-1-5386-2536-1","10.1109/CSEET.2017.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8166701","Computational Thinking;Agile Development;Education","Education;Programming profession;Computational modeling;Encoding;Software engineering","","12","","21","IEEE","7 Dec 2017","","","IEEE","IEEE Conferences"
"What Makes Computational Thinking so Troublesome?","A. Pears; M. Tedre; T. Valtonen; H. Vartiainen","Department of Learning in Engineering Sciences, KTH Royal Institute of Technology, Stockholm, Sweden; School of Computing, University of Eastern Finland, Joensuu, Finland; School of Applied Educational Science and Teacher Education, University of Eastern Finland, Joensuu, Finland; School of Applied Educational Science and Teacher Education, University of Eastern Finland, Joensuu, Finland",2021 IEEE Frontiers in Education Conference (FIE),"20 Dec 2021","2021","","","1","7","This Research Full Paper addresses the definition and implementation of Computational Thinking (CT) in K-12 education. CT is the focus of ongoing debate about the future of computing in schools, and this poses a number of challenges. Early discussions on the topic were plagued by vague and all-encompassing definitions of the term, which raised awareness of a need for school learning focused on emerging computational systems and their impact on society and the lives of citizens, but failed to address what should actually be included in the revised curricula. As some of those issues have been addressed, a number of problems remain. This paper analyses some recent and future developments in the field of computing, and expands the discussion on the vexed question of the nature and limits of computational thinking. We ask whether the current mainstream literature and curriculum for CT is well positioned in terms of the future towards which computing is heading. We conclude by summarising the implications these questions have for the future development of K-12 curricula and teaching practices.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637416","ERASMUS+ project(grant numbers:2019-1-LT01-KA203-060767); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637416","computational thinking;machine learning;programming paradigms;artificial intelligence;data agency","Training;Limiting;Conferences;Education;Data visualization;Parallel processing;Fish","","12","","45","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Learning Scenarios for the Subject Methodology of Programming From Evaluating the Computational Thinking of New Students","A. Rojas-López; F. J. García-Peñalvo","Universidad Tecnológica de Puebla, Puebla, México; Grupo de Investigación GRIAL, Instituto de Ciencias de la Educación, Universidad de Salamanca, Salamanca, España",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,"22 Mar 2018","2018","13","1","30","36","Computational thinking is a cognitive process that allows generating solutions to problems through the use of skills, such as abstraction, decomposition, and algorithmic design. This paper presents the proposal to evaluate computational thinking of new students to relate knowledge indicated in the subject methodology of programming and to offer an initial environment of learning. This paper describes the exercises selected to evaluate the previously mentioned skills, and correspondence between the different contents of the course; using a qualitative methodology, the experiences of 65 students were evaluated. The results obtained favored activity carried out, and they also indicated improvements for future generations.","1932-8540","","10.1109/RITA.2018.2809941","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8305543","Computational thinking;computer programming course;higher education;new students;programming learning","Programming profession;Education;Taxonomy;Computed tomography;Proposals;Problem-solving","","12","","31","IEEE","1 Mar 2018","","","IEEE","IEEE Journals"
"Assessing primary school students' intrinsic motivation of computational thinking","S. Jiang; G. K. W. Wong","Faculty of Education, The University of Hong Kong, Hong Kong; Faculty of Education, The University of Hong Kong, Hong Kong","2017 IEEE 6th International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","11 Jan 2018","2017","","","469","474","Intrinsic Motivation Inventory is a self-report instrument used to assess participants' experience regarding a particular activity. This paper examined the psychometric properties of a revised Intrinsic Motivation Inventory in the context of computational thinking learning. A total of 400 students from 4th grade participated in the pilot study. The revised instrument measured students' intrinsic motivation from four dimensions: interest/enjoyment, perceived competence, value/usefulness, and relatedness. The main findings of the study are twofold: (1) primary school students showed moderate to high motivation to learn computational thinking through programming and CS Unplugged; (2) factor analysis revealed that single factor model and multifactor model had good fit indices. However, discriminant validity of multifactor model was poor, suggesting the existence of a general factor.","2470-6698","978-1-5386-0900-2","10.1109/TALE.2017.8252381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8252381","Intrinsic Motivation Inventory;intrinsic motivation;factor analysis;computational thinking","Instruments;Education;Load modeling;Loading;Programming profession;Computational modeling","","11","","25","IEEE","11 Jan 2018","","","IEEE","IEEE Conferences"
