"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Work in Progress: Creative Coding and Computer Science Education – From Approach to Concept","V. Fragapane; B. Standl","Karlsruhe University of Education Institute for Informatics and Digital Education, Karlsruhe, Germany; Karlsruhe University of Education Institute for Informatics and Digital Education, Karlsruhe, Germany",2021 IEEE Global Engineering Education Conference (EDUCON),"18 Jun 2021","2021","","","1233","1236","This paper discusses how a connection between programming and creative work in terms of visual and interactive art can be of interest in the educational context of learning programming. There are strong indications that a creative approach in programming allows to pay attention to institutional and social requirements concerning computer science education. This includes the students' interest and motivation as well as their performance and knowledge acquisition. Even though, this has been discussed before, this paper presents a first basic structure of a didactic concept, enabling an integration of creative coding as an additional path for teaching computer science in schools in Baden-Württemberg, Germany. Taking existing approaches into account, basic ideas of creative coding are identified and connected to the concepts of Computational Thinking.","2165-9567","978-1-7281-8478-4","10.1109/EDUCON46332.2021.9453951","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9453951","Creative Coding;Computer Science Education;Teacher Education","Visualization;Art;Knowledge acquisition;Conferences;Encoding;Reflection;Computer science education","","","","24","IEEE","18 Jun 2021","","","IEEE","IEEE Conferences"
"Effect of Operation Span on IoT Courses for Junior High School Students in Taiwan","C. -H. Tseng; C. -C. Lin; S. -L. Ho","Dept. of Electrical Engineering, Yuan Ze University, Taoyuan, Taiwan; Dept. of Electrical Engineering, Yuan Ze University, Taoyuan, Taiwan; College of Management, Yuan Ze University, Taoyuan, Taiwan","2023 IEEE 3rd International Conference on Electronic Communications, Internet of Things and Big Data (ICEIB)","7 Jul 2023","2023","","","22","23","Learning how to program has become a trend in Taiwan even for younger students. IoT is a topic to interest new learners in programming. Given the fact that there are already plenty of tools e.g. Micro:bit and Arduino designed to make IoT programming simple and full of fun, it is usually believed that adopting IoT topics is beneficial for younger students learning how to program. However, younger students’ learning performance in programming courses varies dramatically depending on the tools mentioned above. There are many metrics to predict the academic achievements of young students. Among them, the operation span is an objective one. Operation span mainly assesses one’s working memory capacity. According to the research results, one’s working memory capacity predicts individual high-level cognitive performance. Furthermore, students’ cognitive performance was highly related to their learning performance in programming courses. Nevertheless, the relationship between operation span and the learning performance of programming courses for junior high school students has not been researched yet. In Taiwan, computer programming has already been included as a mandatory subject in the junior high school curriculum for developing students' computational thinking and problem-solving skills. As such, understanding the relationship between OSPAN and programming performance is crucial for effective teaching and learning in this subject. We designed an experiment for an IoT-related after-school club in a junior high school to evaluate the relationship between students’ operation span and learning performance.","","979-8-3503-3386-2","10.1109/ICEIB57887.2023.10170028","National Science and Technology Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10170028","operation_span;cognitive_ability;learning","Measurement;Education;Programming;Big Data;Market research;Internet of Things;Problem-solving","","","","8","IEEE","7 Jul 2023","","","IEEE","IEEE Conferences"
"A Robotics Club in High School: an experience report","E. J. De Rezende Freitas; M. P. Guimarães; J. V. Ramos; C. D. Da Silva Júnior","Federal Institute of Minas Gerais, IFMG - Campus Ibirité Robotics and Intelligent Systems - EPIIBOTS, Ibirité, Brasil; Federal Institute of Minas Gerais, IFMG - Campus Ibirité Robotics and Intelligent Systems - EPIIBOTS, Ibirité, Brasil; Federal Institute of Minas Gerais, IFMG - Campus Ibirité Robotics and Intelligent Systems - EPIIBOTS, Ibirité, Brasil; Federal Institute of Minas Gerais, IFMG - Campus Ibirité Robotics and Intelligent Systems - EPIIBOTS, Ibirité, Brasil","2023 Latin American Robotics Symposium (LARS), 2023 Brazilian Symposium on Robotics (SBR), and 2023 Workshop on Robotics in Education (WRE)","5 Dec 2023","2023","","","683","688","Educational Robotics provides a dynamic and effective platform for fostering diverse skills and competencies. In this context, this paper explores creating and implementing a robotics club in a high school. The proposed methodology emphasizes the educational tripod: teaching, research, and extension. Therefore, the paper outlines the club’s conception, the sources of inspiration, and the achieved outcomes within the school and local community. It also highlights the activities and small projects developed by the students and the active participation of the club members in the Brazilian National Robotics Olympics. Furthermore, through student reports and an internal survey, the paper emphasizes the remarkable development of desired competencies, including creativity, teamwork, problem-solving, and computational thinking.","2643-685X","979-8-3503-1538-7","10.1109/LARS/SBR/WRE59448.2023.10332926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10332926","Educational Robotics;Robotics Club;Learning","Training;Surveys;Video on demand;Social networking (online);Software;Teamwork;Problem-solving","","","","26","IEEE","5 Dec 2023","","","IEEE","IEEE Conferences"
"Research on practical teaching reform of computer composition based on PBL+CDIO mode","W. Zhang; J. Xie; R. Wang; E. Yuan; Y. Tang; Y. Wu","Army Engineering University of PLA, Nanjing, China; Army Engineering University of PLA, Nanjing, China; Army Engineering University of PLA, Nanjing, China; Army Engineering University of PLA, Nanjing, China; Army Engineering University of PLA, Nanjing, China; Army Engineering University of PLA, Nanjing, China",Fourth International Conference on Computer Science and Educational Informatization (CSEI 2022),"22 Nov 2022","2022","2022","","255","260","In order to strengthen the concept of engineering education and cultivate students' professional ability and professional quality in teaching, aiming at the problems existing in the practical teaching of computer composition course, we put forward reform measures in aspects of experimental system, teaching design, organizational form and assessment method by using PBL+CDIO mode, strive to resolve in the practice teaching, How to embody ""learning-centered""? How to cultivate students' computer system ability and computational thinking? How to evaluate the students for the cultivation of ability and quality. From the perspective of teaching effect, students' systematic ability and learning autonomy have been significantly improved compared with previous years.","","978-1-83953-788-2","10.1049/icp.2022.1481","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9957013","","","","","","","","22 Nov 2022","","","IET","IET Conferences"
"Scaffolding CT via Point-And-Click and P5.js","A. Valente; E. Marchetti; E. Abel","Department for Media, Design, Learning and Cognition, University of Southern Denmark, Kolding, Denmark; Department for Media, Design, Learning and Cognition, University of Southern Denmark, Kolding, Denmark; Department for Media, Design, Learning and Cognition, University of Southern Denmark, Kolding, Denmark",2023 14th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),"29 Dec 2023","2023","","","164","167","This paper investigates how to provide meaningful scaffolding to bachelor humanities students, to enabled them to acquire Computational Thinking (CT) technical skills, and in particular basic programming competences. Two of the authors have been involved in the re-design, implementation and execution of a basic programming and CT course, offered to first-semester students as part of the Information science, IT and interaction design bachelor program, at the University of Southern Denmark (SDU). The central problem we faced in restructuring our introductory course, was finding a game genre that could support creative coding for beginners, be motivational and recognizable by the students, and would work with our use-modify-create learning approach. Our findings suggest that point-and-click games are an effective way to provide scaffolding and ease non-technical students into P5 programming. The genre has good expressive power, and the students were motivated because they recognized and could relate to the games they worked on. Future work will address students’ problems with scaling up the point-and-click games.","2472-0070","979-8-3503-2422-8","10.1109/IIAI-AAI59060.2023.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10371611","Computational Thinks;Scaffolding;Humanities;Introduction to Programming;P5","Information science;Humanities;Face recognition;Games;Encoding;Informatics;Programming profession","","","","17","IEEE","29 Dec 2023","","","IEEE","IEEE Conferences"
"Automatic Assessment of Programming Exercises Using Syntactic Analysis","E. Ramírez-Trejos; A. González-Torres; L. Sancho-Chavarría; J. Navas-Sú; C. Garita; J. Monge-Fallas","Ingeniería en Computadores Tecnológico de Costa Rica, Cartago, Costa Rica; Ingeniería en Computadores Tecnológico de Costa Rica, Cartago, Costa Rica; Ingeniería en Computadores Tecnológico de Costa Rica, Cartago, Costa Rica; Ingeniería en Computadores Tecnológico de Costa Rica, Cartago, Costa Rica; Ingeniería en Computadores Tecnológico de Costa Rica, Cartago, Costa Rica; Escuela de Matemática Tecnológico de Costa Rica, Cartago, Costa Rica",2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC),"15 Nov 2023","2023","","","1","7","This paper proposes a method to grade programming exam questions automatically. Our motivation is that there are no robust and scalable automatic methods for the analysis of computational thinking from source code programmed by elementary-level students. The approach to this problem supports the improvement of PC development in primary and secondary school students. The validation of the method is performed through the assessment of the answers of primary school students to programming exercises using a programming language called LIE++. The method assesses student answers using several techniques such as the analysis of programming structures, code clones and the execution of code based on input and output values defined during the specification of the exercises. The use of these techniques provides specific scores to obtain a grade of the student’s answer. The source code analysis and scoring of exercise answers is carried out using high-performance computing for improving system response time. This research contributes a scalable method for the automatic evaluation of exams, which we expect to support the development of PC.","2691-0632","979-8-3503-1389-5","10.1109/SCCC59417.2023.10315732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10315732","Automatic evaluation;source code analysis;abstract syntax trees","Computer languages;Codes;Source coding;High performance computing;Cloning;Programming;Syntactics","","","","0","IEEE","15 Nov 2023","","","IEEE","IEEE Conferences"
"Analysis of Blended Learning Behaviour Based on K-Means Clustering Algorithm","Y. Sun; W. Xiao","School of Education Science, Anhui Normal university, Wuhu, Anhui; School of Education Science, Anhui Normal university, Wuhu, Anhui",2024 6th International Conference on Computer Science and Technologies in Education (CSTE),"18 Jul 2024","2024","","","315","318","As blended learning models gain popularity, analyzing the online learning behaviors of college students has emerged as a crucial approach to enhancing teaching effectiveness. The objective of this study is to conduct a comprehensive analysis of the learning behavior data from 44 students specializing in computer-related subjects on the online platform of the “Introduction to Computational Thinking” course, utilizing clustering algorithms. Subsequently, we utilized the Pearson correlation coefficient method to delve into the intricate relationship between diverse behavioral traits and academic performance. Our research has revealed that cluster analysis is adept at discerning behavioral disparities among students. Specifically, we identified four types of learning groups with different learning characteristics. Furthermore, a notable correlation was observed between homework scores and key evaluation metrics, including academic performance. Based on these findings, this study proposes targeted learning strategies and teaching suggestions, aiming to help educators better guide students in learning and improve the effectiveness of blended learning.","","979-8-3503-5180-4","10.1109/CSTE62025.2024.00065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10589958","blended learning;learning behavior analysis;clustering analysis;correlation analysis","Measurement;Analytical models;Correlation;Federated learning;Education;Clustering algorithms;Solids","","","","6","IEEE","18 Jul 2024","","","IEEE","IEEE Conferences"
"All Aboard: One Year of Accessible and Inclusive Remote School Trips","A. Pretelli; L. C. Klopfenstein; G. M. D. Francesco; B. D. Paolini; A. Bogliolo","DISCUI, University of Urbino, Urbino, Italy; DiSPeA, University of Urbino, Urbino, Italy; DIGIT srl, Urbino, Italy; DIGIT srl, Urbino, Italy; DiSPeA, University of Urbino, Urbino, Italy",2022 IEEE 2nd IoT Vertical and Topical Summit for Tourism (IoTT),"25 Oct 2022","2022","","","1","6","The rapid spread of the CoViD-19 pandemic in early 2020 and the adoption of social distancing and ""stay-at-home"" orders gave rise to the sudden need for schools to be able to provide effective remote teaching. In Italy and elsewhere, the introduction of distance learning technologies has significantly impacted the education of students and limited their social interaction and activities, among which are school trips and other scholastic experiences. To support the constrained educational possibilities of Italian schools, we developed ""ActiveViewer"", a technological platform that enables massive and interactive remote events, and performed a year-long large-scale experiment, providing a series of massive remote school trips to several Italian cities. We designed a new school trip format, named ""CodyTrip"" that merges coding and computational thinking with elements of traditional school outings, and provides an engaging experience for participants. In this paper, we present the format and five online trips performed during the school year 2020/2021. The results based on user feedback support the adoption of the tool not only as a stopgap measure for school outings throughout the pandemic but as an accessible and inclusive tool to widen the possibilities of cultural tourism.","","978-1-6654-5888-7","10.1109/IoTT56174.2022.9925899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9925899","CoViD-19;distance learning;educational technology;virtual tourism","COVID-19;Pandemics;Education;Urban areas;Sociology;Human factors;Particle measurements","","","","10","IEEE","25 Oct 2022","","","IEEE","IEEE Conferences"
"The Integration of STEMC in Indonesia: Current Status and Future Prospects","H. Sofyan; I. Irwandi; W. Artika; R. Oktavia; Z. A. Lubis; I. M. Sari","Statistics Department, Faculty of Mathematics and Natural Science, Universitas Syiah Kuala, Banda Aceh, Indonesia; Physics Department, Faculty of Mathematics and Natural Science, Universitas Syiah Kuala, Banda Aceh, Indonesia; Biology Education Department, Faculty of Teacher Training and Education, Universitas Syiah Kuala, Banda Aceh, Indonesia; Mathematics Department, Faculty of Mathematics and Natural Science, Universitas Syiah Kuala, Banda Aceh, Indonesia; Education Observer in Aceh, Bank Indonesia, Banda Aceh, Indonesia; STEM Research Center, Universitas Syiah Kuala, Banda Aceh, Indonesia",2021 2nd SEA-STEM International Conference (SEA-STEM),"10 Jan 2022","2021","","","177","180","It is necessary to develop students to become lifelong learning of science, technology, engineering, and mathematics to meet the challenges in the 21st century. Therefore, the STEM research center of Universitas Syiah Kuala in collaboration with other stakeholders in education, namely government, industry, public, and media has launched the Science, Technology, Engineering, Mathematics, and Character (STEMC) learning approach. There are six aspects to be developed through the STEMC approach: critical thinking, creativity, communication, collaboration, computational thinking, and characters. In general, the nature of STEMC is not only a process of transferring knowledge from teachers to students but also an effort to build students' character. STEMC approach is designed to improve students' scientific abilities, motivation, and perseverance. It means that every phase of learning is designing to support students' intellectual and emotional growth. This paper aims to address what has been done at the STEM Research Center of Universitas Syiah Kuala and the plan for integrating STEMC in Indonesia. It provides an overview of some projects that have been conducted, such as the development of STEMC modules for senior high schools and collaboration with State-Owned Enterprises (SOEs) in teacher professional development programs. In addition, this paper also highlights the STEM center's plan to implement STEMC in Indonesia","","978-1-6654-1680-1","10.1109/SEA-STEM53614.2021.9668108","NAS; USAID(grant numbers:AID-OAA-A- 11-00012); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9668108","21st Century Skill;STEMC;6C","Industries;Education;Government;Collaboration;Media;Mathematics;Stakeholders","","","","13","IEEE","10 Jan 2022","","","IEEE","IEEE Conferences"
"Exploration of recursive algorithm teaching based on BOPPPS model","J. Li; X. Zhang; L. Wang; C. Sun","School of Space Information, Space Engineering University, Beijing, China; School of Space Information, Space Engineering University, Beijing, China; School of Space Information, Space Engineering University, Beijing, China; School of Space Information, Space Engineering University, Beijing, China",2021 2nd International Conference on Artificial Intelligence and Education (ICAIE),"15 Sep 2021","2021","","","728","731","Recursion is a typical algorithm design method, which plays an important role in training students to use computational thinking to analyze and solve problems. The BOPPPS model is a popular student-centered teaching mode at home and abroad in recent years, which emphasizes the participation of students and timely teaching feedback. In order to explore an effective teaching mode, this paper designs a recursive algorithm teaching design method combined with boppps model, which can effectively improve the participation of students and improve the quality of teaching.","","978-1-6654-2492-9","10.1109/ICAIE53562.2021.00160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534503","BOPPPS model;Recursion;Participation;Instructional Design","Training;Computer aided instruction;Electronic learning;Design methodology;Computational modeling;Education;Online services","","","","7","IEEE","15 Sep 2021","","","IEEE","IEEE Conferences"
"Gentle Introduction to Artificial Intelligence for High-School Students Using Scratch","J. Estevez; G. Garate; M. Graña","Computational Intelligence Group, University of the Basque Country (UPV-EHU), Donostia-San Sebastian, Spain; Computational Intelligence Group, University of the Basque Country (UPV-EHU), Donostia-San Sebastian, Spain; Computational Intelligence Group, University of the Basque Country (UPV-EHU), Donostia-San Sebastian, Spain",IEEE Access,"19 Dec 2019","2019","7","","179027","179036","The importance of educating the next generations in the understanding of the fundamentals of the upcoming scientific and technological innovations that will force a broad social and economical paradigm change can not be overstressed. One such breakthrough technologies is Artificial Intelligence (AI), specifically machine learning algorithms. Nowadays, the public has little understanding of the workings and implications of AI techniques that are already entering their lives in many ways. We aim to achieve widespread public understanding of these issues in an experiential learning framework. Following a design based research approach, we propose to implement program coding scaffoldings to teach and experiment some basic mechanisms of AI systems. Such experiments would be shedding new light into AI potentials and limitations. In this paper we focus on innovative ways to introduce high school students to the fundamentals and operation of two of the most popular AI algorithms. We describe the elements of a workshop where we provide an academic use-create-modify scaffolding where students work on the Scratch partial coding of the algorithms so they can explore the behavior of the algorithm, gaining understanding of the underlying computational thinking of AI processes. The extent of the impact on the students of this experience is measured through questionnaires filled before and after participation in the workshop. Preliminary experiments offer encouraging results, showing that the workshop has differential impact on the way students understand AI.","2169-3536","","10.1109/ACCESS.2019.2956136","European Commission(grant numbers:777720); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8915693","Scratch programming;teaching AI fundamentals;public AI awareness","Artificial intelligence;Conferences;Tools;Distributed Bragg reflectors;Programming profession;Education","","85","","46","CCBY","27 Nov 2019","","","IEEE","IEEE Journals"
"A Digital Game based Learning Approach for Effective Curriculum Transaction for Teaching-Learning of Artificial Intelligence and Machine Learning","A. Alam","Rekhi Centre of Excellence for the Science of Happiness, Indian Institute of Technology Kharagpur, Kharagpur, India",2022 International Conference on Sustainable Computing and Data Communication Systems (ICSCDS),"27 Apr 2022","2022","","","69","74","As a novel framework in classroom teaching, digital games have gained traction. Anyone can play online games, that eventually ascribe potential for large-scale classroom instruction. Digital games have gained popularity in recent years as a way to encourage programming and computational thinking in pre-college (K-12) classrooms. Since the last decade, an ever-increasing number of learners have been drawn by the rapidly expanding areas of Machine Learning (ML) and Artificial Intelligence (AI). Regardless of the fact that blending of AI/ML and online/digital gaming is a significant and critical subject for classroom pedagogy, there is indeed a paucity of comprehensive literature review in this domain. The aim of this paper is to take cognizance of recent studies and new findings on games that may be used to enhance AI/ML integrated pedagogy for effective curriculum transaction. Relevant articles and games were identified after a thorough exploration and were then included in this qualitative content analysis. This paper presents an overview of important published studies and games, as well as demonstrate how diverse games offer an exceptional and innovative prospect to educate a wealth of concepts and themes in AI and ML.","","978-1-6654-7884-7","10.1109/ICSCDS53736.2022.9760932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9760932","digital game based learning;AI;ML;pedagogy;curriculum;teaching-learning;educational technology;e-learning","Bibliographies;Education;Games;Machine learning;Learning (artificial intelligence);Data communication;Programming profession","","43","","36","IEEE","27 Apr 2022","","","IEEE","IEEE Conferences"
"All Roads Lead to Computing: Making, Participatory Simulations, and Social Computing as Pathways to Computer Science","C. Brady; K. Orton; D. Weintrop; G. Anton; S. Rodriguez; U. Wilensky","Center for Connected Learning and Computer-Based Modeling, Northwestern University, Evanson, IL, USA; Center for Connected Learning and Computer-Based Modeling, Northwestern University, Evanson, IL, USA; University of Chicago, Chicago, IL, USA; Center for Connected Learning and Computer-Based Modeling, Northwestern University, Evanson, IL, USA; Center for Connected Learning and Computer-Based Modeling, Northwestern University, Evanson, IL, USA; Center for Connected Learning and Computer-Based Modeling, Northwestern University, Evanson, IL, USA",IEEE Transactions on Education,"1 Feb 2017","2017","60","1","59","66","Computer science (CS) is becoming an increasingly diverse domain. This paper reports on an initiative designed to introduce underrepresented populations to computing using an eclectic, multifaceted approach. As part of a yearlong computing course, students engage in Maker activities, participatory simulations, and computing projects that foreground the social and collaborative aspects of CS. Collectively, these activities are designed to introduce learners to the growing diversity of what CS looks like in the 21st century. This paper lays out the practical and theoretical motivations for the Computational Thinking for Girls (CT4G) project, specifically highlighting the use of Making through physical and social computing as ways to engage students in CS. A snapshot of one activity from the program is provided-Wearing the Web-in which students use open-hardware programmable badges to explore the underlying structure and technology that enables the Internet. Data from the first year of the CT4G program are presented to show the positive effects that this diverse introduction to CS is having on the students with respect to their attitudes toward CS.","1557-9638","","10.1109/TE.2016.2622680","National Science Foundation(grant numbers:CNS-1138461,BPEC-1441041,IIS-1438813); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7765145","Collaborative learning;computer science (CS);gender diversity;high school;making;participatory simulations;underrepresented students;wearable technology","Computational modeling;Social computing;Collaboration;Context;Programming profession;Sociology","","40","","55","IEEE","2 Dec 2016","","","IEEE","IEEE Journals"
