"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"How do Bebras Tasks Explore Algorithmic Thinking Skill in a Computational Thinking Contest?","A. L. S. Oliveira; W. L. Andrade; D. D. S. Guerrero; M. R. A. Melo","Department of Exact Science, Federal University of Paraíba, Paraíba, Brazil; Software Practices Laboratory, Federal University of Campina Grande, Paraíba, Brazil; Software Practices Laboratory, Federal University of Campina Grande, Paraíba, Brazil; Laboratório de Neuropsicologia e Inovação Tecnológica, Federal University of Campina Grande, Paraíba, Brazil",2021 IEEE Frontiers in Education Conference (FIE),"20 Dec 2021","2021","","","1","7","This Research-to-Practice Full Paper examines the Bebras Challenge tasks, a Computational Thinking (CT) contest that does not require programming knowledge. Numerous studies in the last decade shed light on disseminating CT practices. However, there is still a gap in understanding CT as a construct, that is, CT as a complex cognitive dimension. Furthermore, few studies analyze how many constructs can be recognized inside CT by empirical data. Moreover, algorithmic thinking is one of the essential skills in CT, even when we do not apply programming activities. In this exploratory paper, we investigate the Bebras Challenge tasks. Our primary aim is to figure out how many and which are the constructs associated with CT skills derived from data, especially related to algorithmic thinking. The results point out three primary constructs supported by data. We claim that these constructs are a mix of CT skills, mainly algorithmic thinking, abstraction, generalization, evaluation, and pattern recognition. In addition, our study provides additional evidence supporting the idea that algorithmic thinking can be explored by different perspectives beyond “a set of order instructions”, even without programming practices. Thus, this result reinforces the notion that CT can be understood as a mix of several skills to solve problems. Moreover, algorithmic thinking is a complex cognitive process of thought which may be explored through different strategies. We believe that these findings may help recognize which constructs and abilities underline CT, primarily algorithmic thinking without programming activities.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637151","","Cognitive processes;Conferences;Pattern recognition;Task analysis;Programming profession","","2","","27","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Unplugged Computational Thinking Activities Framework Development for Novice Programmer","T. Y. Sim; M. Teow; S. L. Lau","Center for American Education School of Interdisciplinary Studies Sunway University Bandar, Sunway, Malaysia; Department of Engineering, School of Engineering and Technology Sunway University Bandar, Sunway, Malaysia; Department of Engineering, School of Engineering and Technology Sunway University Bandar, Sunway, Malaysia",2021 IEEE International Conference on Computing (ICOCO),"19 Jan 2022","2021","","","297","302","In the past, many investigations focused on the impact of programming skills towards learning computational thinking (CT). However, not all schools or instructor are able to implement or deliver programming curriculum at the K-12 level. For novice programming, CT activities may help students to learn and appreciate problem-solving and programming capabilities. In this paper, an investigation to study the effectiveness and suitability of an unplugged CT activities has been carried out. This is part of the unplugged CT framework development process, where the first element investigated is the type of suitable activities. Two iterations were conducted to confirm the suitability of the activities. The activities were also verified with a selected group of secondary school teachers. The results have shown that unplugged activities can be effective in helping students to learn programming capability. The next step of the research is to identify other relevant components relevant to the framework for an unplugged CT activities for novice programmer.","","978-1-6654-3689-2","10.1109/ICOCO53166.2021.9673537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9673537","","Computers;Computer languages;Conferences;Education;Problem-solving;IEEE activities;Programming profession","","1","","31","IEEE","19 Jan 2022","","","IEEE","IEEE Conferences"
"An Automatic Grading System for a High School-level Computational Thinking Course","S. M. Tisha; R. A. Oregon; G. Baumgartner; F. Alegre; J. Moreno","Division of Computer Science and Engineering, Louisiana State University, Baton Rouge, LA, United States; Dept. of Education Administration and Human Resource Development, Texas A&M University College, Station, TX, United States; Division of Computer Science and Engineering, Louisiana State University, Baton Rouge, LA, United States; Gordon A. Cain Center for STEM Literacy, Louisiana State University, Baton Rouge, LA, United States; Department of Physics & Astronomy and Center for Computation & Technology, Louisiana State University, Baton Rouge, LA, United States",2022 IEEE/ACM 4th International Workshop on Software Engineering Education for the Next Generation (SEENG),"7 Jul 2022","2022","","","20","27","Automatic grading systems help lessen the load of manual grading. Most existent autograders are based on unit testing, which focuses on the correctness of the code, but has limited scope for judging code quality. Moreover, it is cumbersome to implement unit testing for evaluating graphical output code. We propose an autograder that can effectively judge the code quality of the visual output codes created by students enrolled in a high school-level computational thinking course. We aim to provide suggestions to teachers on an essential aspect of their grading, namely the level of student com-petency in using abstraction within their codes. A dataset from five different assignments, including open-ended problems, is used to evaluate the effectiveness of our autograder. Our initial experiments show that our method can classify the students' submissions even for open-ended problems, where existing autograders fail to do so. Additionally, survey responses from course teachers support the importance of our work.","","978-1-4503-9336-2","10.1145/3528231.3528357","NSF(grant numbers:CNS-1923573); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814929","open-ended problems;code quality;lexical analysis;machine learning","Visualization;Codes;Conferences;Education;Manuals;Next generation networking;Testing","","1","","34","","7 Jul 2022","","","IEEE","IEEE Conferences"
"Sequential Behavior Analysis of Interdisciplinary Activities in Computational Thinking and EFL Language Learning With Game-Based Learning","T. -C. Hsu; C. Chang; Y. -S. Liang","National Taiwan Normal University, Taipei, Taiwan; National Taiwan Normal University, Taipei, Taiwan; National Taiwan Normal University, Taipei, Taiwan",IEEE Transactions on Learning Technologies,"29 Dec 2023","2024","17","","270","279","The study explored the effects of an interdisciplinary learning approach on developing students’ English learning (EL) and computational thinking (CT) through two different game-based learning approaches. A quasi-experiment was conducted to evaluate the effectiveness of this approach in terms of enhancing students’ CT knowledge and their EL achievement in an elementary school English as a foreign language learning context. A total of 52 Grade 3 students took part in the experiment, of whom 28 assigned to the experimental group learned with a machine educational robot (machine-ER) board game and 24 assigned to the control group learned with a character educational robot (character-ER) board game. The results indicated that both groups made significant improvements in learning achievement: 1) in EL achievement of learning vocabulary and sentence patterns; 2) in CT concepts, although the machine-ER board game produced a greater increase than the character-ER board game in both language learning achievement and CT knowledge; 3) their learning anxieties were also lower than those of the control group; and 4) the analysis of behavioral patterns also revealed that students playing the machine-ER board game demonstrated better language-learning interaction, while the character-ER board game presented greater CT development in finding solutions.","1939-1382","","10.1109/TLT.2023.3311331","National Science and Technology Council in Taiwan(grant numbers:MOST 108-2511-H-003-056-MY3); NSTC(grant numbers:111-2410-H-003-168-MY3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10237297","Collaborative learning tools;design of activities;educational games;interdisciplinary practices;mobile and personal devices","Games;Anxiety disorders;Task analysis;Erbium;Vocabulary;Problem-solving;Educational robots","","","","31","IEEE","1 Sep 2023","","","IEEE","IEEE Journals"
"Developing Future Computational Thinking in Foundational CS Education: A Case Study From a Liberal Education University in India","B. Kalluri; P. Prasad; P. Sharma; D. Chippa","School of Computing and Data Sciences, FLAME University, Pune, India; School of Computing and Data Sciences, FLAME University, Pune, India; School of Computing and Data Sciences, FLAME University, Pune, India; School of Computing and Data Sciences, FLAME University, Pune, India",IEEE Transactions on Education,"","2024","PP","99","1","10","Contribution: This article proposes a new theoretical model with a goal to develop future human computational thinking (CT) in foundational computer science (CS) education. The model blends six critical types of thinking, i.e., logical thinking, systems thinking, sustainable thinking, strategic thinking, creative thinking, and responsible thinking into the design of a first-year undergraduate programming course. The study describes a creative blended pedagogy that embeds the proposed model into the course plan. Background: The emergence of artificial intelligent systems such as large language models from a knowledge provider perspective, coupled with a gradual change in post-pandemic outlook of education challenge the relevance and raises concerns about the future of education. The 21st-century human CT requirements, viz., learning to code (skill) and thinking computationally (competency), will be inadequate in the future. Moreover, there is substantial evidence which shows that most introductory programming courses fail to integrate critical elements like ethics and responsibility as part of the course. Intended Outcomes: The authors anticipate experiential learning models such as this has immense potential to future-proof CS education, as well as make future software engineers responsible citizens. Application Design: The proposed model blends six types of thinking into the design and activities of the course. The underlying theoretical basis of these activities revolve around three key principles: 1) experiential learning; 2) self-reflection; and 3) peer learning. Findings: This case study from a liberal educational institution in India qualitatively shows evidence of students developing six critical elements of thinking that shapes their future CT ability.","1557-9638","","10.1109/TE.2024.3394060","seed fund given to Kalluri’s Urban Design and Open-innovation Studio (KUDOS) at FLAME University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10530940","21st-century skills;computer science (CS);creative pedagogy;foundational education;future thinking","Education;Sustainable development;Computational modeling;Systems thinking;Programming profession;Software systems;Green products","","","","","IEEE","15 May 2024","","","IEEE","IEEE Early Access Articles"
"Research on the Construction of Evaluation Indicators of Students' Computational Thinking Based on Spectral Clustering","W. Zhang; X. Zeng; D. Ming; J. Wang","Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China",2022 10th International Conference on Information and Education Technology (ICIET),"26 May 2022","2022","","","104","112","The scientific and reasonable evaluation indicators that can fully reflect the various dimensions of students' computational thinking (CT) skills is the basis and premise of accurately evaluating students' CT skills, which is of great significance to the cultivation of students' CT skills. However, the current research on how to construct the evaluation indicators is still inadequate, and most of the research is put forward by the subjective experience of researchers, lacking objectivity and the universality of ability. In the paper, we comprehensively reviewed the concepts of CT in the theoretical literature of CT, aiming to construct the comprehensive and effective evaluation indicators of CT for students by clustering the keywords of CT concepts and extracting indicators. The validity of indicators is verified by qualitative analysis, quantitative analysis and expert evaluation. The results show that the evaluation indicators of CT constructed by spectral clustering technology are a more scientific, more comprehensive reflection of the ability dimensions of CT. It has unique advantages in constructing objective and comprehensive evaluation indicators and provides an evaluation basis for the evaluation practice of CT skills.","","978-1-6654-8048-2","10.1109/ICIET55102.2022.9779003","National Natural Science Foundation of China(grant numbers:61977031); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9779003","CT concepts;spectral clustering;evaluation indicators;CT practice;CT perspective","Statistical analysis;Education;Clustering algorithms;Reflection;Computational efficiency","","","","24","IEEE","26 May 2022","","","IEEE","IEEE Conferences"
"A brief introduction to TACCLE 3 — coding European project","F. J. García-Peñalvo","GRIAL research group, University of Salamanca, Salamanca, Spain",2016 International Symposium on Computers in Education (SIIE),"24 Nov 2016","2016","","","1","4","We present TACCLE3 - Coding European Project (Ref. 2015-1-BE02-KA201-012307) in the XVIII International Symposium on Computers and Education - SIIE 2016, held within the V Congreso Nacional de Informática - CEDI 2016 in the University of Salamanca, Spain, September 14th-16th, 2016. One of the sessions was devoted to Computational Thinking topic and TACCLE3 was selected to open this session. Taccle3 is a European Union Erasmus+ KA2 Programme project that supports primary school staff and others who are teaching computing to 4-14 year olds. It started at September 2015 and will end at August 2017.","","978-1-5090-4596-9","10.1109/SIIE.2016.7751876","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7751876","Computational thinking;Coding in the preuniversity curricula;TACCLE3","Encoding;Europe;Software;Programming;Training","","53","","16","IEEE","24 Nov 2016","","","IEEE","IEEE Conferences"
"Critical computational empowerment: Engaging youth as shapers of the digital future","M. Tissenbaum; J. Sheldon; L. Seop; C. H. Lee; N. Lao","Massachusetts Institute of Technology, Cambridge, MA; Massachusetts Institute of Technology, Cambridge, MA; Youth Radio, Oakland, CA; St. Mary's College of California, Moraga, CA; Massachusetts Institute of Technology, Cambridge, MA",2017 IEEE Global Engineering Education Conference (EDUCON),"8 Jun 2017","2017","","","1705","1708","While there is growing recognition of the need to support young learners as they develop computational thinking (CT) skills, this paper advocates for an increased focus on computational identity (CI) and digital empowerment (DE) in particular, as we posit that these CT skills will help young learners become self-motivated, innovative creators. When nurturing identity and empowerment, it is a persistent challenge to provide youth with real-world experiences and suitable development tools. This paper advances two key approaches to address these issues: 1) A critical computational literacy approach to engage youth in developing personally meaningful applications that have impact in the real world; 2) the use of a tool, like MIT App Inventor, that lowers barriers to creating useful, impactful technology. Using two case-based studies, we show how these two approaches have supported youth in developing applications that respond to meaningful challenges in their communities and helped them to establish their computational identities and digital empowerment.","2165-9567","978-1-5090-5467-1","10.1109/EDUCON.2017.7943078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943078","computational thinking;digital empowerment;computational identity","Computer languages;Tools;Encoding;Context;Engineering education;Conferences","","15","","16","IEEE","8 Jun 2017","","","IEEE","IEEE Conferences"
"Computer programming as an educational tool in the English classroom a preliminary study","J. Moreno-León; G. Robles","Programamos.es Sevilla, Spain; GSyC/LibreSoft, Universidad Rey Juan Carlos Madrid, Spain",2015 IEEE Global Engineering Education Conference (EDUCON),"30 Apr 2015","2015","","","961","966","Computational thinking, a problem solving method that uses computer science techniques, has recently become mainstream as many governments and major Internet companies are promoting programming skills among children. However, little is known about how programming affects other aspects of life beyond the acquired programming skills. In this regard, this paper summarizes the work done in the school San Diego and San Vicente (Madrid, Spain) during the third quarter of the year 2013/2014, where we conducted a study with four groups of students in 4th and 5th grade to measure to what extent the use of computer programming in English classes can be an interesting educational tool with a positive impact on the learning otucome of the students. The results show that the groups working with programming activities improved more than the groups using traditional resources. Moreover, when asked via surveys at the end of the study, most students felt that coding was a positive influence, not only for learning English, but for developing other important skills as teamwork and learning to learn.","2165-9567","978-1-4799-1908-6","10.1109/EDUCON.2015.7096089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7096089","computer programming;coding;English;educational tool;computational thinking;technology-enhanced learning","Programming profession;Computers;Europe;Encoding;Education;Conferences","","11","","16","IEEE","30 Apr 2015","","","IEEE","IEEE Conferences"
"DB-Learn: Studying Relational Algebra Concepts by Snapping Blocks","R. Vinayakumar; K. Soman; P. Menon","Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, India; Center for Computational Engineering and Networking (CEN), Amrita Vishwa Vidyapeetham, India; Lakhshya Cyber Security Labs Pvt Ltd, Coimbatore","2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","18 Oct 2018","2018","","","1","6","With the introduction of fundamental concept computational thinking, Block-based programming tools are turning into more and more common in primary, middle and high school level introductory classes. Block-based programming languages support users to drag and drop different jigsaw shaped blocks and snapping together to form a program. The point of interest is on the programming logic rather than its syntax. In this paper, we present DB-Learn, a browser-based and visual programming environment. This facilitates to learn the concepts of relational algebra concepts. Relational algebra is one of the important concepts to learn and understand the operations of database management systems.","","978-1-5386-4430-0","10.1109/ICCCNT.2018.8494181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8494181","computational thinking;block based programming;relational algebra","Algebra;Databases;Programming profession;Programming environments;Tools;Education","","9","","20","IEEE","18 Oct 2018","","","IEEE","IEEE Conferences"
