"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Assessing Learning Behavior and Cognitive Bias from Web Logs","R. J. Rao; C. Stewart; A. Perez; S. M. Renganathan","Dept. of Computer Science and Engineering, The Ohio State University; Dept. of Computer Science and Engineering, The Ohio State University; Dept. of Teaching and Learning, The Ohio State University; Dept. of Computer Science and Engineering, The Ohio State University",2018 IEEE Frontiers in Education Conference (FIE),"7 Mar 2019","2018","","","1","5","This research to practice, work in progress paper presents the analysis strategy used to assess the learning behavior using logs on an e-learning platform. Students who can link algebraic functions to their corresponding graphs perform well in STEM courses. Early algebra curricula teaches these concepts in tandem. However, it is challenging to assess whether students are linking the concepts. Video analyses, interviews and other traditional methods that aim to quantify how students link the concepts taught in school require precious classroom and teacher time. We use web logs to infer learning. Web logs are widely available and amenable to data science. Our approach partitions the web interface into components related to data and graph concepts. We collect click and mouse movement data as users interact with these components. We used statistical and data mining techniques to model their learning behavior. We built our models to assess learning behavior for a workshop presented in Summer 2016. Students in the workshop were middle-school math teachers planning to use this curriculum in their own classrooms. We used our models to assess participation levels, a prerequisite indicator for learning. Our models aligned with ground-truth traditional methods for 17 of 18 students. The results of the models with respect to the two types of components of the web portal have been used to infer possible data or graph oriented cognitive bias.","2377-634X","978-1-5386-1174-6","10.1109/FIE.2018.8658913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8658913","Mathematical Modeling;Computational Thinking;Data Science;web log analytics","Data models;Portals;Mathematical model;Computational modeling;Feature extraction;Data mining;Conferences","","3","","16","IEEE","7 Mar 2019","","","IEEE","IEEE Conferences"
"Mathematics and programming: marriage or divorce?","L. M. de Souza; B. M. Ferreira; I. M. Félix; L. de Oliveira Brandão; A. A. F. Brandão; P. A. Pereira","Instituto de Matemática e Estatística (IME), Universidade de São Paulo (USP), São Paulo, Brazil; Instituto de Matemática e Estatística (IME), Universidade de São Paulo (USP), São Paulo, Brazil; Instituto de Matemática e Estatística (IME), Universidade de São Paulo (USP), São Paulo, Brazil; Instituto de Matemática e Estatística (IME), Universidade de São Paulo (USP), São Paulo, Brazil; Escola Politécnica (EP), Universidade de São Paulo (USP), São Paulo, Brazil; Ibmec São Paulo, São Paulo, Brazil",2019 IEEE World Conference on Engineering Education (EDUNINE),"21 Oct 2019","2019","","","1","5","The literature about teaching programming usually reputes its learning as a difficult task. Some of them studied different aspects aiming to identify the reasons behind the high failure rates, such as students' mathematics background and text comprehension. This study is focused on identifying which mathematical knowledge positively correlates with programming skills acquisition. We claim that mathematical concepts related to induction, inference and logical reasoning are among such knowledge. To confirm it we conducted a quasi-experiment with students who were enrolled at a first programming course (CS1). We analysed their mathematical knowledge through a test and gathered information on their difficulties and strategies used to overcome their programming difficulties. The data sample was too small to allow for strong assertions. However, the results indicates a possible correlation between mathematical abilities and programming potential. Also, students repute the logic of programming and teaching methodology as the main sources of difficulties. Furthermore, many of them prefer to ask their teachers or look at websites to tackle their difficulties.","","978-1-7281-1666-2","10.1109/EDUNINE.2019.8875849","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8875849","computational thinking;mathematics;programming","Programming profession;Correlation;Education;Problem-solving","","3","","21","IEEE","21 Oct 2019","","","IEEE","IEEE Conferences"
"Deployment of physics simulation apps using Easy JavaScript Simulations","",,2017 IEEE Global Engineering Education Conference (EDUCON),"8 Jun 2017","2017","","","1093","1096","Physics simulations are widely used to improve the learning process in science and engineering education. Deployment of a computational physics simulation/model is extremely complex given the fact that both knowledge and skills for the science equations and the computational and programming aspects are required for a fully functional simulation, typically requiring a science educator and computer scientists/developer to work together. However, when using Easy JavaScript Simulation (EjsS) modeling toolkit, the instructor can be both the science educator and computer programmer, only needing to define the simulation variables, model and view, and the modeling toolkit can generate the computer codes for the physics simulation. Moreover, the programming aspects can become even more complex if simulations require being optimized for both Android and iOS mobile devices. The current version of EjsS provides instructors with an authoring tool that includes facilities for the creation of such JavaScript simulations as mobile apps, thus simplifying the purely programming aspects. This paper presents a new and novel EjsS functionality to generate physics simulation apps for iOS and Android. The generation process is based on the integration of the Ionic/Cordova and AngularJS technologies into EjsS. Finally, we present several working examples based on the works of Open Source Physics at Singapore.","2165-9567","978-1-5090-5467-1","10.1109/EDUCON.2017.7942985","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7942985","Simulations;Mobile Technologies;Hybrid Apps;EjsS;Computational Thinking","Computational modeling;Physics;Mathematical model;Tools;Adaptation models;Smart phones;Engineering education","","2","","9","IEEE","8 Jun 2017","","","IEEE","IEEE Conferences"
"Machine Learning based Fast Reading Algorithm for Future ICT based Education","H. Jeon; H. Oh; J. Lee","Department of Chemistry, Ajou University, Suwon, Korea; DASAN University Colleage, Ajou University, Suwon, Korea; Department of Biological Science, Ajou University, Suwon, Korea",2018 International Conference on Information and Communication Technology Convergence (ICTC),"18 Nov 2018","2018","","","771","775","With the development of ICT and Big Data, a new education paradigm has been attracting attention by utilizing techniques to efficiently grasp large amount of articles and fairy tales and so on. For example, even in the same event and subject, new version-type articles or fairy tales are pouring out of myriad times and regions. This paper proposes machine learning based fast reading algorithm to identify elements of an important story that are handed down in spite of temporal and spatial differences using the version of 72 similar folk tales of the folk tales ""Red Hat"" which exist in Europe, Asia, Africa etc. To do this, we analyze the factors depending on the existence of various versions in a decision tree and conduct research using R language tree and caret package. Through the evaluation of the analytical model, we confirmed the existence of the unchanging core elements of traditional talks, which are handed down to the constraints of time and space, and the possibility of a model that intuitively understands them. The result of this study is expected to be used as a new educational field for ICT - based computing thinking (CT).","2162-1233","978-1-5386-5041-7","10.1109/ICTC.2018.8539447","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8539447","machine learning;decision tree;fast reading algorithm;future ICT based education;computational thinking (CT)","Decision trees;Education;Big Data;Machine learning;Machine learning algorithms;Analytical models;Data models","","2","","6","IEEE","18 Nov 2018","","","IEEE","IEEE Conferences"
"Code puzzles - Robot Chronicle","B. Nikaido; J. Ventura","Christian Brothers University, Memphis, TN; Christian Brothers University, Memphis, TN",SoutheastCon 2016,"9 Jul 2016","2016","","","1","4","Programming for beginners is becoming increasingly more difficult to understand since most innovative tools immediately throw students into an environment where they must build everything in a program from nothing with inconsequential programming skills and little knowledge of programming concepts. As programming based careers are rising in demand, it is important to help the beginner programmers bridge the gap between understanding a program and developing one. Robot Chronicle offers a solution to this dilemma through a different approach than common state machines such as Scratch, Alice, Playmaker, and Code Spells and introduces the basic concepts of programming through a puzzle-based video game.","1558-058X","978-1-5090-2246-5","10.1109/SECON.2016.7506772","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7506772","computational thinking;computer programming;learning environments;video games","Games;Programming profession;Computers;Robot kinematics","","2","","18","IEEE","9 Jul 2016","","","IEEE","IEEE Conferences"
"Virtual/Mixed Reality Control of a Game Through Scratch","N. Sharaf; G. Ahmed; S. Ihab",The German University in Cairo; The German University in Cairo; The German University in Cairo,2020 24th International Conference Information Visualisation (IV),"11 Mar 2021","2020","","","689","693","Virtual Reality has been one of the interesting topics that have risen in the previous years. It has diverged into many fields including medicine, tourism, and education. On the other hand, new techniques have been used for teaching programming rather than the traditional paper and pen technique. The work presented in this paper proposes a new way of teaching children programming using the Virtual Reality (VR) technology. A game has been implemented with Scratch-like background to test whether the immersive factor of VR would have a positive effect on the learning outcome of the children. A study has been conducted on 10 participants to compare between two techniques for teaching the basic programming concepts: VR game and Desktop game. Results showed that the mean of the learning gain of the VR group was higher than the Desktop mean but with no significant p-value. However, the engagement test results showed that the participants were more engaged to the VR game than the Desktop game with p-value of 0.032.","2375-0138","978-1-7281-9134-8","10.1109/IV51561.2020.00119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373094","Virtual Reality;Computational Thinking;Game With A Purpose","Visualization;Pediatrics;Education;Games;Virtual reality;Programming profession","","2","","11","IEEE","11 Mar 2021","","","IEEE","IEEE Conferences"
"Grammar Instruction with UML","M. Rottenhofer; T. Rankin; B. Sabitzer","Dept. of STEM Education, Johannes Kepler University, Linz, Austria; C. for Business Language & Intercultural Communication, Johannes Kepler University, Linz, Austria; Dept. of STEM Education, Johannes Kepler University, Linz, Austria",2020 IEEE Frontiers in Education Conference (FIE),"4 Dec 2020","2020","","","1","5","Innovative Practice Work in Progress Paper. Grammar is often taught explicitly in the course of foreign language instruction despite potential misgivings about the details of effectiveness. Different approaches rest on different conceptual and pedagogical rationales, which in turn rely on different forms of conceptual and empirical research. We seek to extend a COOL Informatics approach to grammar instruction in foreign language teaching. COOL Informatics is the acronym for Cooperative and Computer Science supported Open Learning and adopts a neurodidactic approach to teaching in general, in which processes of deduction and generalisation are supported by computational methods of storing, representing and explaining points of language usage. In addition, this represents an opportunity for cross-curricular cooperation between teaching in computer science and language. From neurodidactics we know that the learning and memorizing process in the brain can be supported by using advance organizers such as concept maps for visualizing and structuring the learning contents. With the visual language UML, the Unified Modeling Language, and other diagram types, the field of computer science offers a wide range of such advance organizers. They can be applied for quite a lot of purposes or learning and teaching situations. In this paper we focus on the benefits of computer science models for grammar instruction in foreign language classes aiming at making grammar visible, comprehensible and memorable. We present several ideas for the use of UML diagrams for describing, explaining and learning grammar rules and structures in lucid diagrams. Especially activity and class diagrams or entity-relationship diagrams seem to be very helpful as our experiences gained so far suggest. The paper describes the COOL Informatics teaching approach and it draws a connection between computer science and foreign languages. Furthermore, it shows how to use different types of UML diagrams for visualizing different aspects of grammar teaching and learning. We summarize the most important experiences and results from our last projects related to modeling and present the newest study on UML for grammar learning with some preliminary results.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9274063","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274063","modeling;UML;grammar instruction;computational thinking","Grammar;Unified modeling language;Education;Computational modeling;Informatics;Computer science;Tools","","2","","28","IEEE","4 Dec 2020","","","IEEE","IEEE Conferences"
"Design and Implementation of Virtual Experiment on Character Encoding","J. Yang; G. Song","School of Computer Science and Cybersecurity, Communication University of China, Beijing, China; School of Computer Science and Cybersecurity, Communication University of China, Beijing, China",2021 10th International Conference on Educational and Information Technology (ICEIT),"17 Mar 2021","2021","","","34","38","In university computer course, character encoding and its processing involves multiple hardware, and the process is relatively complex and mostly invisible, which makes it difficult for students to understand. In this paper, a virtual experiment is proposed to this process. By using Blockly and other tools, students can independently design character encoding and write Blockly code to describe the whole process of character processing. Relying on virtual reality and human-computer interaction technology, the whole process of character processing can be visually demonstrated. It enables students to deeply understand the functions of various character encodings and deepens the understanding of binary coding methods.","","978-1-6654-2295-6","10.1109/ICEIT51700.2021.9375562","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9375562","virtual experiment;character encoding;university computer;computational thinking","Operating systems;Education;Virtual reality;Tools;Encoding;Software;Smart phones","","1","","12","IEEE","17 Mar 2021","","","IEEE","IEEE Conferences"
"Work in progress — The video scenario approach for developing computational and entrepreneurial thinking skills","M. Spezialetti","Trinity College Dublin, Ireland",2010 IEEE Frontiers in Education Conference (FIE),"23 Dec 2010","2010","","","F2C-1","F2C-2","The use of video scenarios is an active learning approach designed to aid in the development of computational and entrepreneurial thinking skills. Video scenarios present problems in the context of lifelike settings in order to emphasize the complexity as well as creative potential presented by problems which are diverse, multi-layered and frequently ill-defined. Students must carefully observe and critically listen to the characters in the videos in order to understand the problems they are experiencing. Through discussion, design or implementation, students explore potential ways in which computing can be used to help the characters solve their problems. The approach is designed to develop creative problem solving skills, while also encouraging students to view themselves as capable of entrepreneurship and innovation in computing. The videos are freely available on the website www.virt-u.org, and can be used for a wide range of learning activities.","2377-634X","978-1-4244-6262-9","10.1109/FIE.2010.5673382","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5673382","active learning;computational thinking;entrepreneurial thinking;video scenarios","Context;Educational institutions;Communities;Companies;Problem-solving;Computer science;Facebook","","1","","6","IEEE","23 Dec 2010","","","IEEE","IEEE Conferences"
"Multi-dimensional computer basic education practice and research","Y. Wang; W. Zhou; L. Lu","School of Computer & Information Technology, Beijing Jiaotong University, Beijing, China; School of Computer & Information Technology, Beijing Jiaotong University, Beijing, China; School of Computer & Information Technology, Beijing Jiaotong University, Beijing, China",2017 12th International Conference on Computer Science and Education (ICCSE),"30 Oct 2017","2017","","","722","725","In order to meet the needs of China higher education of training students with strong foundation ability and innovation in the filed computer science, in recent years, the computer basic teaching team of Beijing Jiaotong University has carried out a series of scientific and effective educational reforms research and practice: 1. Carrying out “MOOC + SPOC + Flipped classroom” practice; 2. Construction of series of quality teaching resources; 3. Building training and experimental platform; 4. Internet + innovation practice and makerspace construction; 5. Cooperating with multi-school and enterprise alliance. Through these activities, multi-dimensional computer basic education has achieved good results.","2473-9464","978-1-5090-2508-4","10.1109/ICCSE.2017.8085588","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8085588","MOOC + SPOC + Flipped classroom;computer basic education;computational thinking ability","Technological innovation;Training;Online services;Computational modeling;Internet;Software","","1","","7","IEEE","30 Oct 2017","","","IEEE","IEEE Conferences"
