"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Data-driven Analysis of Elementary School Students’ Computational Thinking through Scratch Projects","G. Yang; D. Saito; H. Washizaki; Y. Fukazawa","Waseda University, Japan; Waseda University, Japan; Waseda University, Japan; Waseda University, Japan",2023 IEEE Integrated STEM Education Conference (ISEC),"23 Jan 2024","2023","","","234","237","The development of computer science has led to an increase in programming education for younger people. Many countries have begun programming education in elementary schools. As is a relatively new subject in elementary education, the course design and textbooks for programming education remain under development. The growth trend in computational thinking (CT) is helpful for educators to teach suitable programming concepts to students. Scratch, which is mostly used as an introductory programming language for elementary school students, can be evaluated to reflect students’ CT. In this work-in-progress research, we conducted a data-driven analysis on fourth-grade students’ CT growth in their first 3 years of programming learning by evaluating their Scratch projects. A preliminary result shows that CT grows rapidly in the first 2 years and tends to be stable in the third year. The reasons for the difference in growth of specific CT concepts are discussed.","2473-7623","979-8-3503-0001-7","10.1109/ISEC57711.2023.10402181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10402181","Computational thinking;Elementary school;Programming education;Scratch","Computer languages;Education;Market research;Programming profession","","","","9","IEEE","23 Jan 2024","","","IEEE","IEEE Conferences"
"Computational Thinking (CT) and Rebel game Design: CT in health games","H. Lim","Faculty of Engineering and Information Sciences, University of Wollongong, Dubai, UAE",2017 IEEE 5th International Conference on Serious Games and Applications for Health (SeGAH),"8 Jun 2017","2017","","","1","5","Game-based learning (GBL) is a popular innovative pedagogical framework for developing Computational Thinking (CT) skills. The base idea is to use games to help create awareness and generated needed CT skills and abilities; in short, it is “games for CT” approach. This is however, one part of the equation for understanding and developing CT in our modern digital age. The other part of the equation lies in using “CT for games”. This paper addresses this perspective to aid in the understanding and framing of the elusive CT concept. In “CT for games”, this paper highlights and draws attention to using CT for developing games instead of using games to develop CT. The core contributions of the paper are a “CT for games” proposed framework; selected variants of health games and observations of “Rebel Design”. Readers can benefit from a perspective with a different focus and increase awareness and understanding of CT with the hope of grooming future leaders with required CT problem-solving skills and abilities and applying “Rebel Design” for games.","","978-1-5090-5482-4","10.1109/SeGAH.2017.7939263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7939263","computational thinking (CT);rebel design;game;problem solving;connected;digital ecosystem;framework","Games;Problem-solving;Tools;Handheld computers","","","","24","IEEE","8 Jun 2017","","","IEEE","IEEE Conferences"
"Investigating the Flipped-classroom Approach on College Students’ Computational Thinking Skills","D. Gong; H. H. Yang; J. Cai","Collaborative and Innovative Center for Educational Technology, Central China Normal University, Wuhan, China; National Engineering Research Center for E-Learning, School of Education, Central China Normal University, Wuhan, China; School of Computer, Hubei University of Education, Wuhan, China",2021 International Symposium on Educational Technology (ISET),"24 Sep 2021","2021","","","207","210","The study aims to examine the effectiveness of flipped-classroom instruction on college students’ computational thinking skills (CTS). Participants were enrolled in the basic computer course from two classes at a university in central China. One class as an experimental group was chosen for the flipped-classroom instruction method (n=55); the other as a control group used the traditional lecture-based instruction method (n=54). The results show that learning through the flipped-classroom approach can significantly promote students’ levels of creativity, algorithmic thinking, cooperativity, and critical thinking, compared with the traditional lecture-based instruction approach. The findings of this research suggest that instructors should be encouraged to take the flipped-classroom instruction method to teach.","2766-2144","978-1-6654-2859-0","10.1109/ISET52350.2021.00050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9546563","computational thinking skills;flipped-classroom instruction;traditional lecture-based instruction;quasi-experiment","Educational technology;Creativity","","","","15","IEEE","24 Sep 2021","","","IEEE","IEEE Conferences"
"CS for ALL: Introducing Computational Thinking with Hands-On Experience in College","A. Jung; J. Park; A. Ahn; M. Yun","Department of Computer Science, Framingham State University, Framingham, MA; Department of STEM Education & Teacher Development, University of Massachusetts Dartmouth, Dartmouth, MA; E-Service IR LLC, Tempe, AZ; Department of Computer Science and Networking, Wentworth Institute of Technology, Boston, MA",2017 International Conference on Computational Science and Computational Intelligence (CSCI),"6 Dec 2018","2017","","","1073","1078","CS for ALL is a new education initiative launched in 2016 to empower a generation of American students with the computer science skills they need to thrive in a digital economy. In order to keep up with trends in the growing technology-driven world, students should have the ability to analyze and consider the consequences of computing problems critically. However, introducing CS and computational thinking skills to the first year students in college is a difficult task because the nature of the subject tends to be dry and conceptual. Thus, we introduce a computer science course that helps all undergraduate students to prepare for digital life as well as enhance their critical thinking skills through hands-on learning experiences. The course contents introduce the general concept of computer science such as computing system, basic networking, algorithms and programming with Scratch and mBot robot exercises. Our student feedback shows a high level of enthusiasm and engagement among the students. The strong hands-on learning nature of the course helped our students to have more engaging and interactive classroom experiences.","","978-1-5386-2652-8","10.1109/CSCI.2017.187","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560947","Computer Science Education;Computational Thinking;Hands-on;Robot programming","","","","","16","IEEE","6 Dec 2018","","","IEEE","IEEE Conferences"
"Cultivating Computational Thinking through Game-Based Learning","K. Adam; R. Lightfoot; M. Chowdhury; J. Phillip Donaldson","Center for Teaching Excellence, Texas A&M University, College Station, United States; Department of Computer Science, Texas A&M University, College Station, United States; Center for Teaching Excellence, Texas A&M University, College Station, United States; School of Education, University of Alabama at Birmingham, Birmingham, United States",2023 IEEE Frontiers in Education Conference (FIE),"5 Jan 2024","2023","","","1","4","Game-based learning (GBL) can motivate learners and enable them to engage in their learning experience. Additionally, the popularity of GBL has grown in computer science and programming courses, where it can be used to develop computational thinking (CT) skills. CT is critical thinking used to apply fundamental concepts and reasoning derived from computing and computer science. Research has shown that digital GBL can improve critical thinking skills and help learners understand programming concepts, structures, and problem-solving strategies. Despite the popularity of digital GBL, analog card games and bingo games are still valuable and effective tools for learning. However, most studies on GBL that aim to train critical thinking skills have focused on digital approaches. This indicates a gap in the body of knowledge because few studies have explored the effectiveness of analog games for developing CT skills through GBL. The theoretical framework of this study is grounded in two learning theories. Constructivist theory frames learning as the construction of knowledge through a process of action, reflection, and construction. Constructionist learning theory calls for construction of artifacts, learner agency, authentic purpose, or authentic audience during the process. To investigate the design of GBL for developing CT skills and to generate discourse for its widespread adoption, the current study implemented design-based research (DBR) in an undergraduate computer science course for non-computer science majors. By addressing the gap in the literature on GBL for CT skill development, the study aimed to investigate complex learner experiences, including learner struggles and successes, alignment with learning theory principles, and design moves for future iterations of the project. The research question posed is: how can we optimize CT learning through GBL, based on learner experiences and learning theories? Prior to this study, the instructor used GBL in which learners played an analog, three-dimensional tic-tac-toe game with ping pong balls and then wrote a computer program that simulated that game. We chose to conduct DBR to strengthen the learning associated with this activity. DBR uses iterative designs to develop knowledge that improves educational practices. In the spring of 2023, we assessed the extent to which the non-digital game and programming the simulated game enhanced learners' CT skills by analyzing their experiences with CT. This involved collecting and analyzing learner surveys to gain insight into their learning experiences. Using network analysis and betweenness centrality measures, the data will be analyzed to identify learner struggles and successes. The results are expected to be available by August 2023. The contributions of this study include identifying effective design principles for GBL, optimizing CT learning, and generating discourse for the widespread adoption of GBL in computer science education.","2377-634X","979-8-3503-3642-9","10.1109/FIE58773.2023.10342931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10342931","game-based learning (GBL);design-based research (DBR);computational thinking;computer science;undergraduate;constructivist;constructionist;analog","Surveys;Education;Digital simulation;Games;Solids;Reflection;Computer science education","","","","30","IEEE","5 Jan 2024","","","IEEE","IEEE Conferences"
"A Computational-thinking-oriented Progressive Teaching Mode for Python Course","H. Ren; L. Yang; L. Jiang; Y. Bai; W. Lu; J. Chang","Zhejiang Normal University Library, Jinhua, P.R.China; School of Medicine Information Wannan Medical College, Wuhu, P.R.China; Electronic Commerce College Anhui Business College, Wuhu, P.R.China; School of Medicine Information Wannan Medical College, Wuhu, P.R.China; School of Medicine Information Wannan Medical College, Wuhu, P.R.China; School of Medicine Information Wannan Medical College, Wuhu, P.R.China",2021 IEEE 3rd International Conference on Computer Science and Educational Informatization (CSEI),"19 Jul 2021","2021","","","81","84","The monotonicity of traditional teaching mode and the high demandingness of modern project-oriented teaching method determine that single teaching mode cannot reach adequate teaching performance. In consistence with the teaching characteristics of Python course and the current situation of computational thinking applied in college computer education, this paper proposed the progressive hybrid teaching mode which adopts staged teaching methods for ability enhancement to comprehensively improve students' practical skills in Python programming.","","978-1-7281-8473-9","10.1109/CSEI51395.2021.9477642","Chizhou University; Wannan Medical College; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9477642","Computational thinking;Python;Socratic method;Case analysis method.","Conferences;Computational modeling;Education;Problem-solving;Programming profession;Python","","","","7","IEEE","19 Jul 2021","","","IEEE","IEEE Conferences"
"The Reform and Practice of College Computer Basic Courses Towards Computational Thinking and Empowerment Education Under the Background of New Liberal Arts","S. Zhang; X. Fang; F. Yuan; T. Zhou","School of Information Engineering, Shandong Management University, Jinan, China; School of Information Engineering, Shandong Management University, Jinan, China; School of Information Engineering, Shandong Management University, Jinan, China; School of Information Engineering, Shandong Management University, Jinan, China",2023 13th International Conference on Information Technology in Medicine and Education (ITME),"25 Apr 2024","2023","","","220","223","Research purpose of the article is to explore new ideas for the reform of university computer basic courses. The proposed method starts with the background of the construction of new liberal arts and the demand for computational thinking and empowerment education. It aims at the current teaching status of college computer basic courses in application-oriented local undergraduate universities, and deeply analyzes the new situation faced by the reform of college computer basic courses. The result is to explore the path and methods of computer basic course reform in liberal arts universities from three aspects: setting course modules, reconstructing teaching content, and reforming teaching methods. The conclusion is a new idea for the reform of computer basic courses in universities.","2474-3828","979-8-3503-1915-6","10.1109/ITME60234.2023.00053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10505486","College Computer;Basic courses;New liberal arts;Computational thinking;Empowerment education","Technological innovation;Career development;Art;Correlation;Education;Organizations;Information technology","","","","6","IEEE","25 Apr 2024","","","IEEE","IEEE Conferences"
"Effects of integrating Collaboration Scripts into Pair Programming for Developing Computational Thinking","Z. Ma; Y. Liu; M. Chen","Dept. of Educational Technology, Jiangnan University, Wuxi, China; Dept. of Educational Technology, Jiangnan University, Wuxi, China; Dept. of Educational Technology, Jiangnan University, Wuxi, China",2020 Ninth International Conference of Educational Innovation through Technology (EITT),"19 Jan 2021","2020","","","246","249","Pair programming (PP) is an effective and operable approach to improve Computational Thinking (CT). However, the process of PP is complex to understand for students at the elementary level, which needs to be supported. Collaboration scripts is a promising way to structure the collaborative process through three mechanisms: pp forming mechanism, role-task mechanism, the feedback mechanism. We conducted a pilot study to examine the effectiveness of collaboration in students' use of collaboration scripts and furthermore to evaluate the development of CT and math. Both quantitative and qualitative data about the students' CT skills, mathematical achievements and perceptions of collaboration scripts were collected. The results showed that the PP with collaboration scripts can improve the CT skills, mathematical achievements; facilitate higher collaborative relationship; give students good perceptions by teacher's feedback.","2166-0549","978-1-7281-9171-3","10.1109/EITT50754.2020.00050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9320720","computational thinking;pair programming;collaboration scripts","Task analysis;Programming profession;Technological innovation;Teamwork;Interviews;Terminology;Standards","","","","24","IEEE","19 Jan 2021","","","IEEE","IEEE Conferences"
"Teaching of the Yupana with the Tawa Pukllay method for developing the Computational Thinking in children","L. Alvarado; C. Falcon; J. Gutiééérrez-Cááárdenas; V. S. Romero-Romero","Carrera de Ingeniería de Sistemas, Universidad de Lima, Lima, Perú; Carrera de Ingeniería de Sistemas, Universidad de Lima, Lima, Perú; Carrera de Ingeniería de Sistemas, Universidad de Lima, Lima, Perú; Carrera de Ingeniería de Sistemas, Universidad de Lima, Lima, Perú",2022 IEEE World Engineering Education Conference (EDUNINE),"31 May 2022","2022","","","1","5","The present research aimed to assess if the teaching of the Yupana using the Tawa Pukllay method developed by Prem [16] enables to develop the computational thinking (CT) in children of 10 and 11 years old. For this purpose, a quasi-experiment with 52 children of two elementary schools located in Lima, Peru was performed. The obtained results were statistically significant showing that the experimental group, comprised with the students who were trained with the Yupana improved their CT compared to the control group, in which the students kept doing their regular activities. This highlights the fact that using this ancestral math tool could serve as an instrument to develop the CT in children.","","978-1-6654-8336-0","10.1109/EDUNINE53672.2022.9782386","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9782386","Computational thinking;Yupana;distance learning;quasi-experiments","Instruments;Conferences;Engineering education","","","","21","IEEE","31 May 2022","","","IEEE","IEEE Conferences"
"Gamified forms: a proposal for teaching training based on Computational Thinking","C. F. Rodrigues; I. F. Silveira","Professor da rede pública de ensino, Mestrando em ensino de Ciências e Matemática, Taubaté, SP, Brasil; Universidade Presbiteriana Mackenzie-SP Universidade Cruzeiro do Sul-SP, São Paulo, SP, Brasil",2021 XVI Latin American Conference on Learning Technologies (LACLO),"8 Mar 2022","2021","","","570","573","The disappointing results that Brazilian education has been showing in external evaluations by international organizations cause us concern. Technologies are here to stay and it is therefore necessary, in some way, to change this paradigm with regard to the role that the teacher plays, from consumer to producer of technological resources. And, trying to contribute to this extremely complex scenery, this paper intends to show how a proposal launched in teacher education combined aspects of gamification and computational thinking, aiming to bring another look at teaching practice, or at least, increase the pedagogical repertoire of fellow Science and Mathematics teachers who participated in the meeting promoted by the Department of Education of the city of Taubaté, in the state of São Paulo. As a proposal, a suggestion of gamified activity in the style of a game known as “escape room” was presented, using the Google Forms tool. We note that insecurity with technological tools or lack of knowledge about some features of these same tools is still a factor that causes many concerns among teachers. We concluded that reflection on ourpractice is fundamental, and, in a way, we realize that we have managed to broaden our horizons about the use of certain technological tools.","","978-1-6654-2358-8","10.1109/LACLO54177.2021.00105","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725170","Computational Thinking;Gamification;Teacher Training","Training;Urban areas;Organizations;Games;IEEE Fellows;Reflection;Mathematics","","","","0","IEEE","8 Mar 2022","","","IEEE","IEEE Conferences"
