"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Real Time Assessment of Computational Thinking","K. H. Koh; A. Basawapatna; H. Nickerson; A. Repenning","Department of Computer Science, University of Colorado Boulder; AgentSheets Inc., Boulder, USA; Department of Computer Science, University of Colorado Boulder; AgentSheets Inc., Boulder, USA",2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),"28 Aug 2014","2014","","","49","52","This paper suggests a Cyberlearning tool based on a highly innovative assessment methodology that helps teachers with computer science education. Currently, there is a strong push to integrate aspects of programming and coding into the classroom environment. However, few if any tools exist that enable real-time formative assessment of in-class programming tasks. The proposed REACT (Real Time Evaluation and Assessment of Computational Thinking) system is a first step toward allowing teachers to see which high-level concepts students have mastered and which ones they are struggling with as students code in real time. REACT supports and facilitates the teaching of 21st century computing skills such as computational thinking [1] in the classroom environment.","1943-6106","978-1-4799-4035-6","10.1109/VLHCC.2014.6883021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883021","Computational Thinking;Online Assessment;Real Time Assessment;Computational Thinking Pattern;Computational Thinking Pattern Analysis","Real-time systems;Games;Programming profession;Pattern analysis;Educational institutions;Computer science education","","28","","16","IEEE","28 Aug 2014","","","IEEE","IEEE Conferences"
"Performance-based evaluation of computational thinking skills using machine learning","E. Karakaş; M. Turhan Yöndem","Mühendislik Fakültesi, İstanbul Okan Üniversitesi, İstanbul, TÜRKİYE; Mühendislik Fakültesi, İstanbul Okan Üniversitesi, İstanbul, TÜRKİYE",2020 Turkish National Software Engineering Symposium (UYMS),"9 Nov 2020","2020","","","1","5","This thesis study is an evaluation tool that measures the user's Computational Thinking (CT) according to its performance on Block-Based Programming Languages (BBPL) by using Machine Learning Techniques. The evaluation tool makes an evaluation for Machine Learning Model and each of the Computational Thinking seven fields. Via this developed tool, the objective is to product an alternative to the limited evaluation tools on Block-Based Programming Languages. Literature research was brought out in two sides as Machine Learning and Block-Based Programming Languages. In the first stage, on Machine Learning, the data set and the methods used in educational field were researched. In the second stage, the devices which are used to measure the performance on Block- Based Programming Languages were analyzed. On literature, there are various sources for teaching Computational Thinking ,but it occurs that measuring instruments that evaluates Computational Thinking are inadequate. To evaluate Computational Thinking a machine learning model was trained. Trained model was turned into online evaluation tool by which both the tutors and the students evaluate Computational Thinking easily. In the final stage, the developed online evaluation tool and the outcome was analyzed.","","978-1-7281-8541-5","10.1109/UYMS50627.2020.9247066","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9247066","Machine Learning;Block-Based Programming Languages;Computational Thinking","Performance evaluation;Computer languages;Computational modeling;Machine learning;Tools;Programming profession;Software engineering","","","","19","IEEE","9 Nov 2020","","","IEEE","IEEE Conferences"
"COMPUTATIONAL THINKING","P. J. Denning; M. Tedre",NA; NA,Computational Thinking,"","2019","","","1","6","","","9780262353410","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8709361.pdf&bkn=8709327&pdfType=chapter","","","","","","","","9 May 2019","","","MIT Press","MIT Press eBook Chapters"
"Computational Thinking Education: Who Let the Dog Out?","S. Swaid; T. Suid","Department of Computer Science, Philander Smith College, Little Rock, AR; Department of Computer Science, University of Arkansas at Little Rock, Little Rock, AR",2019 International Conference on Computational Science and Computational Intelligence (CSCI),"20 Apr 2020","2019","","","788","792","Today, Computational Thinking is seen as an important competency and the fourth skill that every child should process. Several significant attempts have been made to increase a student's exposure to Computational Thinking at the K-12 level, however the process is complex and requires systematic planning and comprehensive curriculum. In this paper, we describe the STEPP-UP program that aims to introduce middle schoolers to Computational Thinking via Scratch and Java coding sessions. A comprehensive curriculum and hands-on activities are applied to introduce Computational Thinking for a total of 41 students for a period of five semesters from Fall 2017 until Fall 2019. To assess the learning objectives, we used three methods of evaluation; design-scenarios, paper-assessments, and learner-documentation. Findings indicate that the students have increased knowledge of Computational Thinking and its applications for problem solving.","","978-1-7281-5584-5","10.1109/CSCI49370.2019.00150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9071265","Computational Thinking, K -12, Problem Solving, Java, Scratch Linear Search, Coding Literacy","Java;Programming;Sprites (computer);Tools;Education;Dogs;Computed tomography","","4","","19","IEEE","20 Apr 2020","","","IEEE","IEEE Conferences"
"Bringing Computational Thinking Skills Into Physics Classroom Through Project-Based Learning","R. D. Handayani; A. D. Lesmono; S. B. Prastowo; B. Supriadi; N. M. Dewi","Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia",2022 8th International Conference on Education and Technology (ICET),"23 Dec 2022","2022","","","76","80","Computational thinking is a fundamental thinking skill for students in the 21st-century learning era. This study aims to integrate computational thinking skills in physics through project-based learning. Data were gathered through observation, interviews, and portfolio documents. The results indicated three main categories of computational thinking: decomposition, abstraction, and simulation. The implementation of project-based learning can develop students’ computational thinking skills. Students are trained to solve physics problems analytically and precisely in structured and logical thinking through a project. This research is expected to be the information for physics teachers to integrate computational thinking in the classroom as a 21st-century learning skill.","2770-4807","978-1-6654-9214-0","10.1109/ICET56879.2022.9990631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990631","computational thinking;physics classroom;project-based learning","Computational modeling;Education;Problem-solving;Interviews;Physics;Portfolios","","3","","34","IEEE","23 Dec 2022","","","IEEE","IEEE Conferences"
"Comparing computational thinking skills of engineering students in urban and rural areas of Peru","N. A. Nunez; G. Cornejo-Meza; S. A. Sánchez","Departamento de Ingeniería Industrial, Facultad de Ciencias Físicas y Matemáticas, Universidad de Chile, Santiago, Chile; Departamento Académico de Psicología, Pontificia Universidad Católica del Perú, Lima, Perú; Centrum Católica Graduate Business School, Pontificia Universidad Católica del Perú, Lima, Perú",2020 IEEE ANDESCON,"1 Dec 2020","2020","","","1","5","The present study focuses on comparing the achievement levels of computational thinking skills in first-year engineering students at two Peruvian universities, one located in an area with a high human development index (Lima) and the other in a more vulnerable area (Amazonas). The study is based on a computational thinking competence assessment model carried out with 112 students who were given challenges and problems. The results show that: (a) the achievement levels of computational thinking competences differ significantly between the Lima group and the Amazonas group, (b) the highest levels of competence achievement are associated with students who had some level of previous instruction in secondary education, and (c) the differences in the achievement of computational thinking skills according to student gender are not significant.","","978-1-7281-9365-6","10.1109/ANDESCON50619.2020.9272097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272097","computational thinking;education in engineering;Peru;Latin America;vulnerable environments","Education;Analysis of variance;Programming profession;Conferences;Training;Standards;Engineering students","","2","","23","IEEE","1 Dec 2020","","","IEEE","IEEE Conferences"
"Discussing the Challenges Related to Deployment of Computational Thinking in Brazilian Basic Education","T. Carvalho; D. Andrade; J. Silveira; V. Auler; S. Cavalheiro; M. Aguiar; L. Foss; A. Pernas; R. Reiser","Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil",2013 2nd Workshop-School on Theoretical Computer Science,"27 Mar 2014","2013","","","111","115","Computational thinking aims to employ Computer Science foundations to solve problems in different knowledge areas. This paper describes projects related to computational thinking and starts a discussion on the challenges for implementing computational thinking in primary and secondary education in Brazil.","","978-1-4799-3057-9","10.1109/WEIT.2013.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6778575","Computational thinking;Basic education;Informatics in education;Computer-aided learning;Constructive thinking","Educational institutions;Computer science;Games;Proposals;Computers;Google","","4","","18","IEEE","27 Mar 2014","","","IEEE","IEEE Conferences"
"The effects of constructing robot-based storytelling system on college students' computational thinking skill and technology comprehension","C. -C. Hu; M. -H. Chen; I. Yuadi; N. -S. Chen","Department of Information Management, Tatung University No.40, Sec. 3, Zhongshan N. Rd., Taipei City, Taiwan; Department of Information Management, Tatung University No.40, Sec. 3, Zhongshan N. Rd., Taipei City, Taiwan; Department of Information and Library Science, Airlangga University Jl. Airlangga 4-6, Surabaya, Indonesia; Institute for Research Excellence in Learning Sciences and Program of Learning Sciences, National Taiwan Normal University 162, Section 1, Heping E. Rd., Taipei City, Taiwan",2022 24th International Conference on Advanced Communication Technology (ICACT),"11 Mar 2022","2022","","","496","500","Recent college students have been observed to be motivated and engaged in acquiring information and communication technology (ICT) knowledge and skills with robots and digital media. The purpose of this study is to develop students’ technology comprehension through a learning activity by constructing robot-based storytelling systems. A sample of 15 college students participated in the program. Data collected include the pre-and post-computational thinking tests (CTt) and computational thinking skill (CTs) tests for evaluating their learning effects of technology comprehension (TC) in terms of computational thinking knowledge and skills and their perceptions toward the robot-based storytelling development environment and learning activities. The results show that the learning activities were an effective approach for enhancing the students’ TC as shown in the post-test. The differences between the students’ CT and perceptions were also confirmed. The results revealed that the learning activities with the robot-based storytelling development environment could improve the students’ TC knowledge and skills, and learning perceptions.","1738-9445","979-11-88428-08-3","10.23919/ICACT53585.2022.9728803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9728803","Technology comprehension;Computational thinking;Robot-based storytelling;Information and communication technology","Education;Media;Information and communication technology;Robots;Creativity","","4","","14","","11 Mar 2022","","","IEEE","IEEE Conferences"
"A Study of Micro:bit Teaching Design Based on the Development of Computational Thinking of Secondary School Students","J. Liu; X. Xia; Y. Bai; P. Liu","Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science, Ministry of Education, Southeast University, Nanjing, China; Nanjingshi Yuanshengxiang elementary school, Nanjing, China",2022 4th International Conference on Computer Science and Technologies in Education (CSTE),"15 Dec 2022","2022","","","198","201","With the rapid development of human society and technology, it's necessary for contemporary students to have the ability to quickly adapt to social development. Meanwhile, traditional educational concepts have to be transformed in time, and a full understanding of computational thinking plays an important role in promoting students' life-long development. Based on in-depth analysis and research on computational thinking theory, this paper integrates micro: bit into teaching from the perspective of practical application. After analyzing the teaching objectives, teaching contents, and teaching process, this paper proposes an instructional design for the development of computational thinking for secondary school students.","","978-1-6654-8188-5","10.1109/CSTE55932.2022.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973092","computational thinking;micro:bit;instructional design","Visualization;Technological innovation;Knowledge acquisition;Education;Focusing;Market research;Computational efficiency","","1","","24","IEEE","15 Dec 2022","","","IEEE","IEEE Conferences"
"COEDU-IN Project: an inclusive co-educational project for teaching computational thinking and digital skills at early ages","C. S. González-González; P. Caballero-Gil; A. García-Holgado; F. J. García-Peñalvo; J. Molina; J. M. del Castillo-Olivares; B. C. San Juan; S. G. Cuesta; I. Perdomo; C. Caballero-Gil; F. Gutíerrez-Vela; P. Paderewski; V. V. Holz; R. G. Iranzo; S. Ramos","IUEM, University of La Laguna, La Laguna, Spain; IUEM, University of La Laguna, La Laguna, Spain; University of Salamanca, Salamanca, Spain; University of Salamanca, Salamanca, Spain; IUEM, University of La Laguna, La Laguna, Spain; University of La Laguna, La Laguna, Spain; University of La Laguna, La Laguna, Spain; IUEM, University of La Laguna, La Laguna, Spain; IUEM, University of La Laguna, La Laguna, Spain; University of La Laguna, La Laguna, Spain; Universidad de Granada, Granada, Spain; Universidad de Granada, Granada, Spain; University of Barcelona, Barcelona, Spain; University of Lleida, Lleida, Spain; University of Valencia, Valencia, Spain",2021 International Symposium on Computers in Education (SIIE),"28 Oct 2021","2021","","","1","4","Learning to program is the new literacy of the 21st century. Computational thinking, closely related to programming, requires thinking and solving problems with different levels of abstraction and is independent of hardware devices. The early childhood education stage provides teachers with the opportunity to lay the foundations for a comprehensive quality education using innovative tools and technologies. Educational robotics in early childhood education becomes a tool that facilitates the acquisition of knowledge to children, playfully, based on the principles of interactivity, social interrelationships, collaborative work, creativity, constructivist and constructionist learning, and a student-centered didactic approach, allowing in turn that student can acquire digital competencies and develop logical and computational thinking in an underlying way. This project explores the current state of teaching and learning computational thinking and programming in early childhood education in an inclusive manner. Moreover, the lack of diversity and inequality is particularly latent in science, Technology, Engineering, and Mathematics (STEM) fields. Therefore, this work considers this problem and presents an inclusive coeducation approach to this new literacy, eliminating gender stereotypes and extending them to people with Down syndrome and hospitalized minors.","","978-1-6654-4024-0","10.1109/SIIE53363.2021.9583648","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9583648","Computational thinking;programming;inclusion;digital literacy;STEM;childhood education","Computers;Education;Tools;Collaborative work;Hardware;Programming profession;Robots","","1","","24","IEEE","28 Oct 2021","","","IEEE","IEEE Conferences"
